id,created_at,school_id,data_source_id,sync_type,started_at,completed_at,status,error_message,records_processed,records_created,records_updated,records_deleted,records_skipped,details,errors,triggered_by,triggered_by_user_id,duration_ms
c46e0e0b-b4d5-46ac-8a15-07fae18d6223,2025-11-15T12:55:31.420Z,930d6afd-4225-4c87-6245-39cb7a7a0d26,a1f30e02-a3b3-4ee1-4e8a-1f2796ca0f17,sample_text_6966,2025-12-13T02:39:25.879Z,2026-02-22T00:19:17.263Z,sample_text_9387,sample_text_7964,31,123,282,823,717,sample_text_6087,sample_text_6071,sample_text_1304,ea49fb72-2050-42e2-81c3-091e5dbcc276,138
c26e7d67-a987-41a5-356c-2f4839525191,2025-05-16T09:33:47.299Z,314cdd92-266e-488d-cf88-6e18f6db8ca6,606bc1e5-22f8-45fc-651a-de6e5b8a9b14,sample_text_2448,2026-04-05T19:07:52.458Z,2026-02-03T02:33:07.111Z,sample_text_9917,sample_text_4890,409,114,293,872,165,sample_text_432,sample_text_649,sample_text_8067,3bfa1ef4-6a42-4cc6-e6e5-1989f79cca90,464
81d45ae5-dd61-4b3c-cb2b-eb4dfb317ffc,2025-10-14T04:21:06.095Z,13f8f388-7de1-4383-f922-a0d8a397e76c,77c70c39-68bc-4a57-3bd4-94ff6fa9c20f,sample_text_8659,2026-02-13T16:08:02.342Z,2025-12-17T10:08:37.268Z,sample_text_6549,sample_text_2452,323,544,354,165,11,sample_text_3914,sample_text_9405,sample_text_1079,7eb2d58e-90b4-4cb6-235b-f52575ca8c43,152
e63c4136-cb7f-414f-284b-ed6e75e2164c,2025-10-28T22:48:08.757Z,2d706e75-fd47-4d6b-cc14-10a1bf804d62,758806c0-525f-4bde-64b4-d586733bbf36,sample_text_4800,2025-05-06T15:11:10.614Z,2025-10-24T10:38:42.114Z,sample_text_7404,sample_text_4424,133,378,65,809,342,sample_text_1645,sample_text_968,sample_text_3480,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87,723
a0927555-8c98-4c1c-6843-ed38a609bcf0,2025-08-16T22:42:31.201Z,615ffcad-04ca-4584-4505-45cbefd50d58,4e5e66cb-a2d7-469b-1095-23ae5b6f30cb,sample_text_5179,2025-06-26T22:45:38.216Z,2025-04-26T19:40:12.292Z,sample_text_1472,sample_text_533,857,695,775,82,877,sample_text_3965,sample_text_2536,sample_text_2457,54566fd8-2ce9-43f1-d9c4-3262fe0540e9,682
f8922b6e-fc62-4bee-171f-5e5a3c630686,2025-10-06T13:59:54.379Z,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,db59e9fb-9c46-42f7-9297-eae81799e050,sample_text_1322,2025-06-15T13:21:45.826Z,2025-04-22T21:23:03.848Z,sample_text_9148,sample_text_1718,681,964,167,654,62,sample_text_4477,sample_text_33,sample_text_2888,034eaa7e-6ebe-4134-5494-fbfbc43c72ec,243
cb2b03c3-7395-4ddc-b2a4-8589545374f5,2026-03-31T23:16:17.496Z,7006fd96-e3f8-4225-33e4-be34d610ffbb,11227f85-7942-4dd4-a923-849e24255b42,sample_text_4614,2025-04-29T22:07:03.505Z,2025-09-12T13:36:58.694Z,sample_text_1518,sample_text_3569,880,637,754,107,847,sample_text_3402,sample_text_1251,sample_text_5926,234b0627-79ac-4de2-9e5f-3deaab1f438f,586
d85f3d8a-d35a-42e2-2a8b-b84e50b95e17,2025-07-13T12:14:57.653Z,1c4d8e9f-05af-4567-fc15-60738335dd73,da3b0395-5367-4023-fdf8-08e751273d3b,sample_text_6270,2026-02-01T12:57:36.965Z,2025-08-28T18:22:46.462Z,sample_text_1839,sample_text_7095,212,184,335,70,677,sample_text_741,sample_text_5011,sample_text_7148,52f0edcc-bfb7-4f33-ad2e-fd54c484c769,35
7b1ebe96-2b21-4d49-a505-c0f5838bd7a0,2025-10-15T17:57:57.024Z,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,3cc00d58-32eb-4b92-0b84-ab67df685bc2,sample_text_6052,2025-06-12T08:40:43.401Z,2025-10-22T00:36:18.061Z,sample_text_5094,sample_text_7178,71,827,457,842,361,sample_text_7877,sample_text_1815,sample_text_5289,fa8263d2-b6b1-4514-4f07-6307b13d93f7,708
faf89ec8-5973-4cbb-f7be-55d9aeb4ea3a,2025-06-26T12:32:18.076Z,521d1584-627e-495f-893e-82a12f5344be,c19aa16e-fa66-4f77-16fc-deabf85c047f,sample_text_9556,2025-06-02T22:12:01.355Z,2025-04-30T17:45:17.269Z,sample_text_3478,sample_text_849,580,392,305,49,559,sample_text_952,sample_text_4933,sample_text_6522,74bd910d-f592-4d1d-0e88-4bd9512f610b,821
12334e0c-a2bb-40f9-1528-a92f2fed0850,2025-09-27T04:32:02.922Z,e536d26c-1212-499f-3401-979cc6978147,dc904175-347a-4715-35d5-f9d315c23487,sample_text_5037,2025-10-31T16:17:49.931Z,2025-08-16T19:04:13.575Z,sample_text_4934,sample_text_4401,793,950,382,183,296,sample_text_8457,sample_text_6495,sample_text_3145,699866f4-eda9-4222-4727-7702d9d050eb,108
9aab28e1-c479-43ef-050a-2f0cb32b5831,2025-07-11T19:55:36.168Z,2e858920-a13b-46d3-3f94-8050bb03f098,edbbf18f-ee9f-4fc6-7d05-6fb0832a105d,sample_text_1627,2026-04-03T00:45:00.145Z,2026-03-05T06:29:54.744Z,sample_text_5984,sample_text_8086,866,798,401,837,39,sample_text_5618,sample_text_9516,sample_text_3659,addfc86c-41af-41c3-ce53-f3cc7fcccdf6,53
d7904a99-0318-420e-5f81-656d04bd001f,2025-05-01T19:29:19.025Z,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,5abeea08-009e-4c2d-c3a4-e50362454af1,sample_text_2477,2025-04-20T08:20:57.568Z,2025-12-03T21:38:08.335Z,sample_text_4000,sample_text_6834,630,50,936,593,705,sample_text_5594,sample_text_7798,sample_text_5492,9eaa373f-8df1-4b6c-b2c9-c62b6f3363fe,782
c6b35ea1-dc4f-464d-382c-1d7be63afb6b,2025-08-03T04:45:58.435Z,7e8192d3-756a-4974-209e-dc1ea1cca26e,c44765c5-fef7-4425-8fec-6518509fa281,sample_text_4469,2025-04-27T19:56:14.175Z,2026-04-10T00:24:07.918Z,sample_text_3922,sample_text_9519,656,548,164,27,315,sample_text_6018,sample_text_6864,sample_text_2103,c99158d6-bd93-42cc-6585-6fedbda473c8,858
fd49e315-47a2-4dd4-c921-a8b17a08b869,2025-10-15T14:01:00.243Z,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,cda0512d-a6ff-4192-5c5f-a973bd7bd3c5,sample_text_7044,2025-09-06T13:20:40.679Z,2025-07-02T02:03:00.724Z,sample_text_2591,sample_text_9473,543,323,894,791,383,sample_text_6652,sample_text_3374,sample_text_9839,367ec86b-33cc-4e1c-99be-6d4f3680b591,48
44a94901-e1ed-439c-3d9b-0780f76cbb0d,2026-03-14T16:00:01.429Z,13f8f388-7de1-4383-f922-a0d8a397e76c,2264933f-647a-4432-da14-8bac6117dc40,sample_text_6003,2026-01-29T10:36:51.276Z,2026-03-28T01:53:22.177Z,sample_text_6884,sample_text_2485,798,768,932,804,199,sample_text_6906,sample_text_2047,sample_text_2948,c6fb6b4b-9efd-4a20-fd85-28ef5167ab5d,546
1f785ba0-57d5-44b4-c0de-3c532aeddfa5,2025-08-06T10:41:20.212Z,4c81bc97-321d-48c5-d316-8243b2e8187e,758806c0-525f-4bde-64b4-d586733bbf36,sample_text_39,2026-03-02T17:14:48.851Z,2026-03-30T04:07:18.131Z,sample_text_4646,sample_text_1579,636,247,417,362,391,sample_text_9275,sample_text_4508,sample_text_2462,cb8fa579-1a0f-4b56-d0df-17115e069361,985
2ca1daa4-8da1-4320-52ef-de4ae37faf65,2025-11-17T00:21:39.007Z,af7db41b-a69f-4ae5-eb9c-f59fa17dcd26,ada2ccdf-e557-4aa4-fdf9-37c0f0667428,sample_text_4115,2026-02-12T23:55:05.581Z,2025-11-30T08:37:49.244Z,sample_text_980,sample_text_7185,891,234,830,684,631,sample_text_9216,sample_text_1639,sample_text_5560,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,956
9ebbe365-9b1d-4fa7-2e9a-f3e55c56e878,2025-11-19T14:20:17.511Z,7cc152ca-2334-4efd-8c58-4327009bcdb6,2224c2f4-90b7-4075-7afa-59b67fbee93b,sample_text_7802,2026-01-13T00:09:49.306Z,2026-02-01T11:53:35.833Z,sample_text_8900,sample_text_5228,935,782,795,19,802,sample_text_7612,sample_text_6532,sample_text_5961,74bd910d-f592-4d1d-0e88-4bd9512f610b,161
2f08a2ab-c213-4c2f-ccd9-a158ad699643,2025-12-17T00:17:40.608Z,c41be56c-1b03-4f83-3798-7ff82c84c273,5b95313a-6c03-4454-e4fa-3c33382680e3,sample_text_8479,2026-01-27T03:04:02.445Z,2025-10-21T11:26:44.692Z,sample_text_4911,sample_text_4955,38,194,549,583,186,sample_text_7127,sample_text_5863,sample_text_8706,47f67693-54d3-499f-af1f-6dc1264f95f8,163
56763ad9-59fb-46d1-3242-fbd1bdd9f4c3,2025-08-29T18:38:34.550Z,3a19d003-2447-4c77-d435-69866c42a3e8,dc90b501-b502-40f5-d807-924e1428083d,sample_text_3625,2025-10-07T21:49:58.469Z,2026-02-02T23:37:30.080Z,sample_text_7845,sample_text_1757,228,165,255,360,829,sample_text_3094,sample_text_529,sample_text_9055,91481a49-39f6-4c85-9a87-3de01f285177,801
15856045-f95e-48f7-c15e-c63dc5c3ff0a,2025-11-14T10:24:54.486Z,521d1584-627e-495f-893e-82a12f5344be,b1ae47bd-a9cc-4452-cc1f-6e8a2d2cdd9e,sample_text_6253,2025-09-26T04:14:02.584Z,2025-12-21T09:48:16.593Z,sample_text_999,sample_text_404,965,91,481,137,331,sample_text_8343,sample_text_1835,sample_text_8868,699866f4-eda9-4222-4727-7702d9d050eb,73
4e878906-66f8-4478-d062-d75b349ce6eb,2025-07-18T11:25:14.516Z,e536d26c-1212-499f-3401-979cc6978147,c19aa16e-fa66-4f77-16fc-deabf85c047f,sample_text_5436,2025-07-21T07:57:42.455Z,2025-08-07T00:56:53.607Z,sample_text_5048,sample_text_7266,874,299,909,597,512,sample_text_1084,sample_text_5932,sample_text_7863,13815186-454f-4056-c0e4-2d163f76617d,701
9bc70daa-279d-4055-89c8-1e6fbb60e783,2025-05-14T23:14:35.454Z,7e8192d3-756a-4974-209e-dc1ea1cca26e,68fb14ff-ef93-4dc9-2081-e0a8b9f32fd0,sample_text_7252,2025-09-08T06:42:14.440Z,2025-08-06T09:18:26.004Z,sample_text_4789,sample_text_3684,923,491,759,796,407,sample_text_1452,sample_text_7182,sample_text_6768,7a4c360c-bb74-4deb-f15e-c8b948e7a622,553
6ca4b342-7989-45fe-647f-d6904fc58db6,2025-07-19T05:26:47.049Z,5eca5363-069f-462b-ef13-7dba299c99d9,bdf17f3a-c09c-4f63-ac18-85368f790bc6,sample_text_3376,2026-03-24T15:32:06.752Z,2025-09-23T14:07:47.809Z,sample_text_2303,sample_text_1618,940,847,650,628,895,sample_text_3822,sample_text_7279,sample_text_12,7d07d517-dedd-404d-c698-f00e2aeb820f,36
6063ffca-012b-45c6-5166-8a299a743614,2025-05-18T02:04:05.139Z,219980cb-3f77-4414-faeb-5f70b1472a36,84c5ca44-c486-4bc1-15b7-9a982f8771bb,sample_text_8962,2026-02-19T09:40:05.257Z,2025-10-30T05:29:38.043Z,sample_text_6748,sample_text_9270,61,109,301,67,167,sample_text_1200,sample_text_6495,sample_text_9029,d686c193-7466-44fb-b1a6-37325154df4c,177
b1086bdd-b317-4048-72d2-9c9646002cc2,2025-08-28T08:36:09.629Z,e112e16e-d7d4-47de-a1f6-038db1f702ae,c8de0eb5-8a85-47ee-f668-afb6cb7af7bf,sample_text_5838,2025-09-01T21:47:59.784Z,2025-07-12T11:25:15.003Z,sample_text_5573,sample_text_4210,664,751,96,940,7,sample_text_8577,sample_text_3462,sample_text_6769,e4b1ae0d-39bf-42a5-dfb9-7a9275ba3f82,203
3a025bb7-1ded-4c43-fe39-818236b4ed26,2026-02-19T07:00:31.735Z,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,bdf17f3a-c09c-4f63-ac18-85368f790bc6,sample_text_9869,2025-10-28T14:22:38.979Z,2025-10-26T14:00:57.102Z,sample_text_2791,sample_text_4693,121,685,828,970,118,sample_text_8882,sample_text_290,sample_text_1923,f1f1b656-b2d4-47c0-837f-3221be4d02cd,755
eb11b561-de64-469e-daf4-c4d1678ddf23,2025-09-17T12:01:18.543Z,615ffcad-04ca-4584-4505-45cbefd50d58,338601fc-d3a3-4a67-3509-9a7caf72e0a7,sample_text_352,2026-03-15T01:36:51.552Z,2025-07-08T15:04:54.647Z,sample_text_2605,sample_text_3334,137,470,654,815,101,sample_text_6258,sample_text_3262,sample_text_246,7275a4a2-65a3-47ed-3d1e-7026f453021d,453
db355336-a000-422c-94a1-753b422569c3,2026-04-04T14:59:05.691Z,5b1b6bbb-ac85-477d-9a11-d480281a4b21,2224c2f4-90b7-4075-7afa-59b67fbee93b,sample_text_2490,2025-07-29T02:19:24.923Z,2025-04-12T12:07:07.319Z,sample_text_1010,sample_text_6090,932,679,990,832,39,sample_text_4831,sample_text_237,sample_text_5797,074f3f9d-1d98-495a-36ce-ea4c10de32e7,65
bc535182-9d7f-4574-56da-682b0221b385,2025-12-31T11:49:34.530Z,32a1daeb-123e-4dbe-b622-aea59b73722d,db59e9fb-9c46-42f7-9297-eae81799e050,sample_text_452,2025-05-08T18:13:04.921Z,2025-09-01T15:02:56.388Z,sample_text_627,sample_text_6258,975,930,698,98,709,sample_text_6400,sample_text_7346,sample_text_3784,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a,335
f1f357f9-5491-4acc-0432-7175acc2996c,2026-04-09T01:28:56.470Z,13f8f388-7de1-4383-f922-a0d8a397e76c,5306dc58-8fa2-48b8-1146-880020ee7d2c,sample_text_7593,2025-07-05T23:16:27.144Z,2026-03-29T05:02:24.553Z,sample_text_6997,sample_text_3804,95,849,894,605,519,sample_text_889,sample_text_4101,sample_text_3663,6a49f986-fadb-4bcd-512c-c56d68c9b08b,102
b9d4debf-6850-412c-8709-0aa4998c8e9b,2025-11-06T16:30:24.617Z,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,edfa7eba-68e3-43d2-6209-06391e3461d3,sample_text_9880,2026-02-11T04:55:35.951Z,2025-09-22T06:55:54.292Z,sample_text_2973,sample_text_8614,17,613,949,657,136,sample_text_4992,sample_text_2492,sample_text_4154,59b39d5f-196d-4a89-1b1d-30029759628a,924
112efdf3-2cb8-4965-43cb-fbe2807db875,2025-09-28T07:13:40.319Z,1eca3985-996e-497f-4644-294968d742b8,aca68b25-3efc-4132-dcb8-0838d618e9f1,sample_text_3501,2026-02-09T00:38:42.946Z,2025-06-04T09:44:54.594Z,sample_text_4676,sample_text_1099,541,225,877,271,77,sample_text_9708,sample_text_9364,sample_text_1519,52f0edcc-bfb7-4f33-ad2e-fd54c484c769,60
d901f42d-c63a-4c35-ab34-c3ee00ffbaac,2025-06-12T10:52:12.229Z,343e4691-d779-4742-a9b6-c828fbb55b61,b8949423-75fc-4fc3-92b1-765df791f70b,sample_text_7376,2025-08-06T09:01:04.296Z,2025-12-21T19:51:43.337Z,sample_text_6762,sample_text_4064,700,694,943,146,989,sample_text_7980,sample_text_2869,sample_text_829,e4a45791-4bec-432e-83c4-834772750abf,800
05b7d300-31a6-417a-5ea4-09f123cf470e,2025-10-27T10:12:18.818Z,f902ac6e-7076-46f8-2ee0-d0970401682b,c8de0eb5-8a85-47ee-f668-afb6cb7af7bf,sample_text_6656,2026-02-14T00:04:01.324Z,2026-04-01T21:47:51.679Z,sample_text_8280,sample_text_8591,798,51,567,599,723,sample_text_5330,sample_text_8884,sample_text_1058,47f67693-54d3-499f-af1f-6dc1264f95f8,621
2352aa99-9eaf-48f2-862c-9ba4b9991af2,2025-10-08T20:28:15.503Z,469af544-bb26-4d4c-4b28-ab15c4812991,cda0512d-a6ff-4192-5c5f-a973bd7bd3c5,sample_text_715,2025-10-05T06:22:50.976Z,2025-10-30T00:04:52.427Z,sample_text_7362,sample_text_9798,546,807,493,527,321,sample_text_7087,sample_text_3424,sample_text_2460,367ec86b-33cc-4e1c-99be-6d4f3680b591,538
6b46737a-dd09-4a6d-7277-a72c37e301d9,2025-10-22T17:31:35.125Z,00e48b05-b6cb-410f-1525-6668c44bdb40,c19aa16e-fa66-4f77-16fc-deabf85c047f,sample_text_8847,2026-03-25T17:07:30.336Z,2025-11-25T18:47:35.558Z,sample_text_3269,sample_text_1573,342,46,562,280,669,sample_text_3695,sample_text_8927,sample_text_7787,b941f6ec-4ce0-4310-9221-6be0482727a0,580
8e7f9833-c2ee-4529-f994-41d3b089ee62,2025-09-09T14:39:29.471Z,1c4d8e9f-05af-4567-fc15-60738335dd73,edbbf18f-ee9f-4fc6-7d05-6fb0832a105d,sample_text_8446,2026-01-15T21:50:42.767Z,2025-09-30T18:36:24.412Z,sample_text_5133,sample_text_9622,514,104,27,678,931,sample_text_7866,sample_text_3227,sample_text_9431,760e9861-7716-4fc7-6676-f5213f248cda,857
5814edb2-7096-4abb-2aa0-f463fe35dc3a,2025-09-13T04:33:58.188Z,837a9baf-7fed-4fe4-630e-eeaf60164bcb,84d40715-045e-4f17-73fa-4416bebd67d4,sample_text_8590,2025-11-24T09:26:56.663Z,2025-11-19T03:10:36.270Z,sample_text_1386,sample_text_9010,204,388,279,356,652,sample_text_386,sample_text_2539,sample_text_5655,cb8fa579-1a0f-4b56-d0df-17115e069361,386
4cfb6f1a-fafd-4734-e7bd-994f832f4a06,2025-06-21T16:10:28.654Z,291d99ad-c85c-4557-8915-25527607d5cf,84c5ca44-c486-4bc1-15b7-9a982f8771bb,sample_text_6008,2025-04-24T16:11:53.183Z,2026-01-10T16:07:00.026Z,sample_text_2917,sample_text_1423,758,972,852,681,731,sample_text_4949,sample_text_8055,sample_text_9975,54566fd8-2ce9-43f1-d9c4-3262fe0540e9,407
c228f648-f94e-4c39-dbc1-4ac8dfda6912,2025-09-27T00:49:11.362Z,2bd4f3bc-df4b-49c7-997f-c11868da495a,c8de0eb5-8a85-47ee-f668-afb6cb7af7bf,sample_text_4970,2026-03-09T08:14:35.187Z,2025-06-15T12:20:20.001Z,sample_text_1640,sample_text_291,279,309,988,242,255,sample_text_4620,sample_text_6714,sample_text_3218,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,84
ec12296a-8b70-4040-7d4b-f27146546958,2025-12-29T21:10:02.143Z,eb97341d-2385-4175-9a86-c3256608e18e,a5633500-6373-4169-7d21-5b951a759811,sample_text_1575,2025-06-28T01:00:30.264Z,2025-06-16T22:17:42.112Z,sample_text_2662,sample_text_173,306,885,906,681,993,sample_text_4319,sample_text_9961,sample_text_841,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a,467
fecf231c-663a-4022-eb1b-1ff7f59c0c42,2025-12-31T22:09:01.443Z,aed83b90-feeb-480d-e57c-176768104c81,edbbf18f-ee9f-4fc6-7d05-6fb0832a105d,sample_text_9386,2025-12-09T09:30:17.341Z,2026-04-10T04:30:33.109Z,sample_text_9260,sample_text_5312,794,886,92,693,503,sample_text_8604,sample_text_3813,sample_text_4955,af45888d-3cda-415b-1d81-91022a417bde,655
4b615c4b-c046-46b6-acf0-20c8cb62ea1b,2026-03-09T21:46:17.838Z,1c4d8e9f-05af-4567-fc15-60738335dd73,c4141f97-5e27-4b33-0bf4-2f27d4da5d15,sample_text_3178,2026-02-26T04:11:20.377Z,2025-07-14T18:59:07.149Z,sample_text_4809,sample_text_3252,495,844,227,760,9,sample_text_6846,sample_text_5374,sample_text_1959,59b39d5f-196d-4a89-1b1d-30029759628a,532
f8ac79eb-f074-467d-0560-948fc03d85d2,2025-05-10T22:55:10.821Z,c41be56c-1b03-4f83-3798-7ff82c84c273,1cf97b53-c321-4446-daf9-fb039e7940c0,sample_text_5400,2025-07-05T21:57:30.895Z,2025-06-21T21:49:08.822Z,sample_text_9416,sample_text_1141,770,327,118,993,988,sample_text_5848,sample_text_9610,sample_text_8896,01576ed3-e96e-415a-7c79-d2b4e79c9251,130
247e8e18-f153-444b-c511-cecd8186004e,2025-07-06T19:50:31.440Z,59faa8f0-e266-467f-aa62-7fd97008cad7,5b95313a-6c03-4454-e4fa-3c33382680e3,sample_text_2787,2026-02-26T18:06:29.615Z,2026-01-22T22:27:07.822Z,sample_text_6185,sample_text_4455,31,400,583,182,460,sample_text_5939,sample_text_7529,sample_text_4467,cf7e2aea-c07d-4ed1-1fc0-69c3d64d741c,263
bbc591cf-6ad8-481b-f285-533abcdb2a17,2026-01-28T06:49:55.463Z,e394ca10-b5a0-45cc-8730-3524aff8641a,a1f30e02-a3b3-4ee1-4e8a-1f2796ca0f17,sample_text_9322,2025-06-19T11:41:08.011Z,2025-10-08T20:03:40.262Z,sample_text_2776,sample_text_5670,438,191,792,529,875,sample_text_4243,sample_text_3209,sample_text_6348,54566fd8-2ce9-43f1-d9c4-3262fe0540e9,908
dfdcfe39-4f01-4b1e-641c-ba71de193e33,2025-11-29T04:52:35.302Z,16c0f045-ad9e-4d23-8922-374a2534b914,1cf97b53-c321-4446-daf9-fb039e7940c0,sample_text_5425,2026-02-09T00:40:39.863Z,2025-04-25T22:28:52.110Z,sample_text_5549,sample_text_593,978,613,872,365,326,sample_text_7732,sample_text_6243,sample_text_9657,47f67693-54d3-499f-af1f-6dc1264f95f8,456
df81a958-9f45-4147-7e0c-3902551d3482,2025-12-02T18:35:00.664Z,2bd4f3bc-df4b-49c7-997f-c11868da495a,8e3a08e4-8a8d-4350-dfb1-417ca60f9bb0,sample_text_2333,2025-09-04T03:54:09.302Z,2025-08-09T15:46:01.503Z,sample_text_6789,sample_text_5641,803,136,615,283,245,sample_text_4528,sample_text_5251,sample_text_8583,13815186-454f-4056-c0e4-2d163f76617d,397
ad191881-ecb7-4f9c-d1ac-8243a66e92e2,2026-01-27T22:18:08.428Z,f3e56a9d-701d-4138-17b4-468168466ac1,edbbf18f-ee9f-4fc6-7d05-6fb0832a105d,sample_text_6719,2026-01-27T22:02:21.290Z,2025-04-22T20:12:29.430Z,sample_text_2369,sample_text_982,860,455,904,957,753,sample_text_2423,sample_text_8953,sample_text_6551,074f3f9d-1d98-495a-36ce-ea4c10de32e7,605
