status,id,evaluation_id,student_id,school_id,rule_id,alert_type,severity,title,message,risk_score,risk_level,data,acknowledged_by,acknowledged_at,resolved_by,resolved_at,resolution_notes,intervention_id,cooldown_key,created_at,updated_at
new,9fb51f26-b6d2-4b93-1175-a381b4864f81,5fee1928-3824-4587-ea86-7c19e05b2a36,2815d421-fa85-4846-4e67-32f2b052db68,545d1106-2b34-4e12-24da-7673253ca1d7,sample_text_9998,chronic_absence,warning,Rapid decline in math performance,sample_text_462,196.88,at_risk,sample_text_4892,ea49fb72-2050-42e2-81c3-091e5dbcc276,,62a9a1d7-9f49-48d7-cd45-e5cf69a2994c,,,1324442d-05e7-4e13-b8ac-4c2aea5d1728,sample_text_6850,2026-03-21T02:54:27.152Z,2026-02-11T07:18:07.280Z
resolved,9dfe3c5f-20ac-43a1-e394-c7e4370226d9,03bd54ec-2e39-47cd-caa1-9c2199efc92c,36fa19ad-37fd-44f9-4a36-73f18ecfe5f4,aed83b90-feeb-480d-e57c-176768104c81,sample_text_7450,rapid_decline,warning,New student identified as at-risk,sample_text_8474,143.29,critical,sample_text_754,c6fb6b4b-9efd-4a20-fd85-28ef5167ab5d,2025-10-02T18:19:37.928Z,7d07d517-dedd-404d-c698-f00e2aeb820f,2025-11-18T07:22:40.869Z,sample_text_6538,8445b8d0-fa6a-4454-0ffa-e73de69b3697,sample_text_3235,2025-12-10T18:47:40.644Z,2025-07-19T08:10:10.396Z
in_review,4aaaa992-06cd-4b43-cc77-92cd993072b3,24aab6b7-1c54-41f1-08a5-d7472519a229,8a50d483-aa92-4384-4deb-3d5c6bf0f0f7,f3e56a9d-701d-4138-17b4-468168466ac1,sample_text_3308,chronic_absence,urgent,Behavior incidents increasing,sample_text_9764,360.83,at_risk,sample_text_577,3f95f74e-1bdc-41c3-893d-2d90a62d76bc,2025-07-27T14:09:09.190Z,e4a45791-4bec-432e-83c4-834772750abf,2025-05-05T18:24:01.552Z,sample_text_635,31fb5354-049b-46e1-41fa-bbca63b07359,sample_text_1264,2026-02-15T14:12:27.040Z,2025-05-15T16:00:15.177Z
resolved,195ffa52-8cf7-4e27-c3ad-918a6c163944,e521efd9-9cf9-4b39-35be-03b2443ce625,440eba09-b8a9-4df2-7ce2-88916df0536d,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,sample_text_2880,chronic_absence,warning,Intervention overdue for review,sample_text_6857,588.76,at_risk,sample_text_5216,ea49fb72-2050-42e2-81c3-091e5dbcc276,2026-02-02T01:13:52.181Z,6601188e-454e-46f8-39d3-12e3a2450d73,2025-11-18T22:12:25.823Z,sample_text_9592,0a6828b5-4d55-4c26-d7ba-a1b99663b2fe,sample_text_9134,2026-04-10T03:24:15.460Z,2025-07-05T00:17:27.286Z
acknowledged,1c7a89bf-3f14-4658-f615-a1fd51747b01,70b027fb-fe76-4d5f-5b16-a24df3d3f0ee,72ea06ea-6647-4b34-faa9-4b6acc59b996,545d1106-2b34-4e12-24da-7673253ca1d7,sample_text_7841,new_risk_detected,warning,Rapid decline in math performance,sample_text_6210,524.05,at_risk,sample_text_6898,59b39d5f-196d-4a89-1b1d-30029759628a,2025-07-05T15:44:56.749Z,6a49f986-fadb-4bcd-512c-c56d68c9b08b,2026-01-18T17:55:11.628Z,sample_text_7684,8f80124e-7fab-4583-99a9-6b1f15ac293c,sample_text_9016,2025-12-13T05:38:04.866Z,2025-08-26T10:03:27.854Z
in_review,1574ebd5-3b59-400a-6d80-238bd6107f18,5fd2cde9-8bc5-4474-9226-7eaf3dcbfdff,43a0c009-5096-4beb-ceb2-2e90d29fa6d1,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,sample_text_5066,trend_warning,warning,Intervention overdue for review,sample_text_246,22.28,critical,sample_text_9535,621e454c-d590-4953-4dc4-27d658cef254,2025-10-13T11:48:44.849Z,52f0edcc-bfb7-4f33-ad2e-fd54c484c769,2026-03-05T11:30:51.042Z,sample_text_490,5b87189e-f2c1-4df6-c8e6-85342cf1a109,sample_text_8014,2025-12-12T09:30:21.357Z,2025-10-08T15:22:49.416Z
acknowledged,3aa000fe-5a86-48cc-f009-fc8056b0c5bf,3f4531c3-d950-42a7-248f-e23192b1e1d8,3f1eb67e-af2a-4430-00e8-036be32a0239,b017f20d-2b75-45dd-64d2-722f145a78d0,sample_text_8332,threshold_breach,urgent,Missing assignment rate above 20%,sample_text_3157,358.93,critical,sample_text_9031,65b719d4-a6d4-4c9f-1165-ea0ebe168811,2026-03-21T02:35:46.878Z,234b0627-79ac-4de2-9e5f-3deaab1f438f,2025-12-14T13:25:45.216Z,sample_text_6010,6e60c3c1-79e3-49f2-3701-c8f0fce81cb1,sample_text_9823,2025-07-22T18:34:18.519Z,2025-10-16T16:12:41.725Z
dismissed,8f69c379-f333-4eb7-5ecd-61bf94ae9c84,88051589-ff5b-4af0-2bab-37ca91510a39,8a50d483-aa92-4384-4deb-3d5c6bf0f0f7,5b1b6bbb-ac85-477d-9a11-d480281a4b21,sample_text_7618,grade_decline,urgent,Student at risk of chronic absence,sample_text_1867,642.1,critical,sample_text_6569,62a9a1d7-9f49-48d7-cd45-e5cf69a2994c,2025-06-08T05:17:47.425Z,59b39d5f-196d-4a89-1b1d-30029759628a,2025-12-10T05:28:15.552Z,sample_text_9081,093f659d-b7ea-45cd-f8d9-33ac23698fa0,sample_text_3346,2025-05-18T00:37:50.691Z,2025-11-03T02:53:03.367Z
new,a6e0490a-877c-4a11-bacc-2ecc82a511df,47338ab3-3520-4bb9-1bbc-c9ea2483c3bf,2de16969-104d-43a0-bfd9-fe690d9d6eac,24557b57-0c13-4c0c-a3e9-39903a1a94a3,sample_text_4750,trend_warning,warning,Student at risk of chronic absence,sample_text_7737,581.25,at_risk,sample_text_9969,ade33206-8c00-4f20-4bf1-7781c1eb9609,,3f95f74e-1bdc-41c3-893d-2d90a62d76bc,,,e3365cd7-81d6-41a6-c786-86fd08bb2298,sample_text_8475,2025-06-27T14:59:02.727Z,2025-06-01T09:52:04.425Z
new,d7bdb992-fb01-467e-0ad8-3e2629d594b8,f01d6f36-2f2d-4e5b-22c1-15e319cb530e,4ca4247e-c61f-4837-bf77-9c36a300d1a6,2bd4f3bc-df4b-49c7-997f-c11868da495a,sample_text_1754,chronic_absence,critical,Behavior incidents increasing,sample_text_2092,958.66,at_risk,sample_text_276,a7fdde05-87ad-4532-1887-2448d13ec652,,7eb2d58e-90b4-4cb6-235b-f52575ca8c43,,,c9e85a3d-88f7-4ead-d63e-86c9e54e124f,sample_text_2744,2026-01-14T17:04:01.680Z,2026-04-04T19:48:58.564Z
in_review,89424979-278c-46cc-f4a5-f43b14ff3dab,acba1946-32d2-4dfe-93ba-3ec4a403102f,ca649c96-10ee-4d76-dcea-e4beca9603df,837a9baf-7fed-4fe4-630e-eeaf60164bcb,sample_text_3588,trend_warning,warning,Student at risk of chronic absence,sample_text_7114,320.21,at_risk,sample_text_2809,3bfa1ef4-6a42-4cc6-e6e5-1989f79cca90,2025-04-13T22:26:46.226Z,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,2025-08-19T14:12:01.217Z,sample_text_9945,7278e65a-9c24-4acf-5b35-796f64dbce30,sample_text_2660,2025-09-29T04:20:44.130Z,2026-02-23T03:00:24.032Z
new,161b1b66-42d9-46fc-60d1-835722b1660a,0901b1ee-5691-47c2-d497-49e93857f1a1,2de16969-104d-43a0-bfd9-fe690d9d6eac,4fab3abf-dd8f-4d4b-ef39-52d4314418ca,sample_text_4589,chronic_absence,critical,Grade decline detected,sample_text_1265,459.53,at_risk,sample_text_4177,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87,,af45888d-3cda-415b-1d81-91022a417bde,,,b67c6dd5-03b5-49d6-f6fa-91a5dcce714c,sample_text_7560,2025-08-17T15:49:11.638Z,2025-06-26T19:30:12.015Z
resolved,57e7e30a-8285-49d7-c07a-e88a72e95149,3a77f1f6-1e6f-438d-6d8e-b8b886fb2b50,5354d00b-34f0-4a88-58d4-8decde6ce2ee,b1160aa4-615e-46be-c33f-53b664f1618f,sample_text_4813,trend_warning,warning,3+ consecutive absences,sample_text_8041,515.37,at_risk,sample_text_9878,760e9861-7716-4fc7-6676-f5213f248cda,2025-12-14T06:07:56.818Z,9eaa373f-8df1-4b6c-b2c9-c62b6f3363fe,2025-12-14T02:56:05.057Z,sample_text_3908,e3365cd7-81d6-41a6-c786-86fd08bb2298,sample_text_3041,2025-08-07T13:03:59.412Z,2025-10-09T23:39:04.639Z
new,4edea515-a0ac-4580-d0d5-9154f644e9ff,5746325c-82be-4434-f48d-1bced7dde4bf,4ca4247e-c61f-4837-bf77-9c36a300d1a6,343e4691-d779-4742-a9b6-c828fbb55b61,sample_text_3867,chronic_absence,warning,3+ consecutive absences,sample_text_3851,65.96,critical,sample_text_5433,8a0aa082-f148-423d-fd6f-c28d86c0215a,,2f694710-7063-42cd-b6b6-33ab87581536,,,2816ccd1-fce4-4fb5-0fbb-dfb23ed54240,sample_text_7161,2026-01-09T03:15:22.080Z,2025-10-26T17:52:29.897Z
resolved,6bcd797b-d5b6-4b87-aeae-7e78694cee16,85b74049-f75e-454d-ec4f-d43cd6879fa9,f3bdc0f5-709a-4443-3bcd-690202dcd619,c41be56c-1b03-4f83-3798-7ff82c84c273,sample_text_5931,threshold_breach,warning,Attendance dropped below 90%,sample_text_704,872.25,critical,sample_text_4230,4983674c-e15e-4015-0eb3-50b01d7810f8,2025-12-10T09:36:00.645Z,9b6a74d9-b351-48c9-fd99-3ea43ff586df,2025-06-05T13:37:35.269Z,sample_text_4528,4eb401f1-2970-4058-6e97-a97a6fb8e8b7,sample_text_5089,2026-02-18T15:22:14.588Z,2025-06-02T00:40:56.272Z
acknowledged,297a0f23-86e4-45df-2049-50af310842c1,2aea477a-e481-499d-3646-8e78012420c5,8e053e88-8c6b-4a2d-0248-e26f6841348e,2a4e5e57-fab3-47be-aa17-438ff8cedd26,sample_text_7913,attendance_drop,urgent,Student at risk of chronic absence,sample_text_5420,618.38,at_risk,sample_text_1423,cf7e2aea-c07d-4ed1-1fc0-69c3d64d741c,2025-09-17T23:03:31.102Z,3bfa1ef4-6a42-4cc6-e6e5-1989f79cca90,2025-06-03T14:03:02.858Z,sample_text_5633,04f767dc-1a7c-43e8-2019-c5577d3ae052,sample_text_5119,2026-03-24T05:44:07.806Z,2026-01-16T23:31:12.429Z
new,59f78d3d-2e78-4094-164a-a12e41220082,1c3027bb-c906-40de-87ce-32f88f5c70ac,f3bdc0f5-709a-4443-3bcd-690202dcd619,eb97341d-2385-4175-9a86-c3256608e18e,sample_text_8543,threshold_breach,urgent,Student at risk of chronic absence,sample_text_65,244.03,at_risk,sample_text_4523,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9,,fa8263d2-b6b1-4514-4f07-6307b13d93f7,,,81bdd85f-842c-462f-80f2-77e9a08b68bb,sample_text_3657,2026-02-15T16:39:54.322Z,2025-11-06T04:11:34.687Z
resolved,381464c1-3db8-4cbe-3d9b-4f6447562c30,c5dde937-f934-40e8-2d9a-c05b5caf8b32,afb57115-93e2-41e4-19fb-726afc7dc847,f3e56a9d-701d-4138-17b4-468168466ac1,sample_text_451,chronic_absence,critical,Rapid decline in math performance,sample_text_2960,588.95,at_risk,sample_text_7623,54566fd8-2ce9-43f1-d9c4-3262fe0540e9,2025-11-06T08:56:32.001Z,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a,2025-04-18T23:34:29.794Z,sample_text_9389,b99d9240-0c15-492c-bcb5-5dab6f5707ac,sample_text_4015,2026-01-12T14:38:13.179Z,2025-07-18T00:44:53.706Z
resolved,9d89dd61-60ba-400a-d8c2-4e2e5722ee1b,4854b8cc-d657-4670-69ac-bab3ae151a76,98dc63d7-8988-4ff8-b7ca-2ab8d1f39352,59faa8f0-e266-467f-aa62-7fd97008cad7,sample_text_5705,rapid_decline,critical,Behavior incidents increasing,sample_text_7341,408.91,critical,sample_text_2983,1f944d7a-c145-4606-b226-ca59addffefd,2026-01-08T18:07:23.762Z,6601188e-454e-46f8-39d3-12e3a2450d73,2025-04-26T19:45:36.405Z,sample_text_2115,0fe15401-d8c6-475b-c190-0d88ceee9427,sample_text_4413,2025-10-22T08:02:43.248Z,2025-10-09T02:04:31.418Z
new,2763aa55-4bae-43c9-be23-703223a52e94,df5876b3-bb9a-4aa1-0990-8c0cd9da05b3,09e8d1ef-f5f0-41fa-38f3-10bac079d03c,1eca3985-996e-497f-4644-294968d742b8,sample_text_2709,grade_decline,info,3+ consecutive absences,sample_text_5209,422.37,at_risk,sample_text_5326,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87,,af45888d-3cda-415b-1d81-91022a417bde,,,0f853a45-92cb-4e08-bb3a-9f894364a97f,sample_text_1794,2026-02-19T15:04:12.501Z,2025-09-28T02:53:59.069Z
dismissed,aebe70e0-391f-4a06-0f3d-774991d3237a,e2e9981d-ba1c-406d-9dc3-a025aef110b3,36fa19ad-37fd-44f9-4a36-73f18ecfe5f4,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,sample_text_7880,consecutive_absences,critical,Student at risk of chronic absence,sample_text_9259,404.2,critical,sample_text_1058,d1707a15-e071-4bbb-65ff-4dfa7f902567,2025-07-08T06:52:09.096Z,8a0aa082-f148-423d-fd6f-c28d86c0215a,2025-07-05T00:29:05.605Z,sample_text_5706,a9d01c6e-83df-4c25-d0c3-0543543bbe63,sample_text_4008,2025-11-09T01:15:49.587Z,2026-01-13T18:40:17.444Z
in_review,76f553e6-da08-4163-971e-3f0ff5c26f84,778368ea-6484-4c2a-ced0-bf3535db3e70,5354d00b-34f0-4a88-58d4-8decde6ce2ee,59faa8f0-e266-467f-aa62-7fd97008cad7,sample_text_1940,attendance_drop,critical,3+ consecutive absences,sample_text_6579,129.96,critical,sample_text_2573,e4b1ae0d-39bf-42a5-dfb9-7a9275ba3f82,2025-10-17T03:09:58.986Z,af45888d-3cda-415b-1d81-91022a417bde,2025-10-03T03:48:30.851Z,sample_text_2831,ba7a4b0f-ab5c-4d6a-5299-a5cc023c573d,sample_text_6391,2025-11-18T18:48:48.980Z,2025-09-11T05:36:25.140Z
resolved,fecd6034-2769-41d6-827e-793d40b81f4d,d9dfb02c-cc3c-43cb-acaa-b64919b30601,12c936b7-76a2-4244-3342-f64b193771af,b1160aa4-615e-46be-c33f-53b664f1618f,sample_text_4308,trend_warning,warning,3+ consecutive absences,sample_text_1777,883.65,at_risk,sample_text_22,d1707a15-e071-4bbb-65ff-4dfa7f902567,2025-06-11T02:37:27.716Z,4b5660c5-6ded-4e88-5938-1722c262ea15,2025-09-15T09:19:35.737Z,sample_text_5094,c9e85a3d-88f7-4ead-d63e-86c9e54e124f,sample_text_3694,2025-07-13T14:58:26.942Z,2025-09-17T13:05:54.808Z
new,480aba91-f73b-444a-c1b6-537dd93cc0cd,b00dbb2b-45c3-495f-dd6d-abe10db2d9c3,5bcd0cf0-44a3-4e73-1c78-3d3c73e703b3,13f8f388-7de1-4383-f922-a0d8a397e76c,sample_text_8870,grade_decline,urgent,Grade decline detected,sample_text_4560,230.98,at_risk,sample_text_7296,addfc86c-41af-41c3-ce53-f3cc7fcccdf6,,c99158d6-bd93-42cc-6585-6fedbda473c8,,,7b01d302-0a70-4c31-f833-da69c718f73d,sample_text_3767,2025-08-21T03:47:58.922Z,2026-02-18T21:58:46.351Z
in_review,c350a3fc-5986-47d7-2866-016af533a23a,7cdc6961-bc88-447b-385f-88d4a914fb17,2d6bfb42-752b-4b9d-3444-de223d3aae60,837a9baf-7fed-4fe4-630e-eeaf60164bcb,sample_text_3617,rapid_decline,urgent,New student identified as at-risk,sample_text_6862,602.82,at_risk,sample_text_4025,faab496b-a78d-4496-aa0f-1f0957801a80,2025-12-08T14:33:42.053Z,699866f4-eda9-4222-4727-7702d9d050eb,2025-12-03T08:18:04.261Z,sample_text_2782,e4e629c5-87d4-4ff9-a454-60a9e53957d8,sample_text_2872,2025-06-24T02:11:41.219Z,2025-09-16T02:36:34.990Z
new,a4b4651e-33cd-4380-f2d2-6bd1a257dfc8,e2a531e6-e639-4f87-3a35-99b584a1e57c,3e4e588f-bb13-48f9-ae27-231d699b174f,4ca6797c-e546-4f8b-df90-dbb08907d99e,sample_text_8667,attendance_drop,warning,Grade decline detected,sample_text_2399,561.46,at_risk,sample_text_2548,f8d9b2f5-6abe-4500-e812-54aa85e6d1f7,,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,,,aafbdce4-b166-4344-e700-6fcd4aaa8f29,sample_text_9145,2026-03-19T22:53:20.198Z,2026-02-13T09:52:44.471Z
resolved,162ed0fa-a06f-4717-0360-d653a4235741,64a181e4-5f4e-49f7-1d95-889f74cc97e1,43a0c009-5096-4beb-ceb2-2e90d29fa6d1,16c0f045-ad9e-4d23-8922-374a2534b914,sample_text_5069,attendance_drop,warning,Missing assignment rate above 20%,sample_text_2346,291.16,critical,sample_text_7417,b8378524-c3b6-4652-6983-adbddb7aa9dd,2025-07-06T11:23:34.081Z,7eb2d58e-90b4-4cb6-235b-f52575ca8c43,2025-08-30T16:46:31.403Z,sample_text_6014,a27d74e2-2d9c-4728-84c3-cf4dbccaa5ee,sample_text_5950,2025-09-25T12:00:06.721Z,2025-08-28T19:41:30.217Z
new,9be64883-6337-4af1-847f-dc4ae7eb62ed,434f54d2-0de2-448e-3aa6-31e89513afed,a9f9f807-e129-4f29-9091-c45f8770da1a,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,sample_text_9949,intervention_overdue,urgent,Student at risk of chronic absence,sample_text_600,714.39,at_risk,sample_text_623,367ec86b-33cc-4e1c-99be-6d4f3680b591,,faab496b-a78d-4496-aa0f-1f0957801a80,,,3821dac3-4b74-4883-4b91-de100fbd6258,sample_text_3640,2025-11-30T17:47:34.775Z,2025-06-15T13:38:05.097Z
dismissed,97af90b0-a322-4af0-5496-e83ef8c621a4,e68f8c95-8f88-4368-2e1e-f6fa66151225,8e053e88-8c6b-4a2d-0248-e26f6841348e,c41be56c-1b03-4f83-3798-7ff82c84c273,sample_text_4027,chronic_absence,warning,Grade decline detected,sample_text_7187,380.19,critical,sample_text_5291,7a4c360c-bb74-4deb-f15e-c8b948e7a622,2025-10-24T18:02:29.044Z,db60da3b-65f5-43f8-0cf6-3a1af6e416bd,2025-06-06T11:24:27.413Z,sample_text_8585,c9e85a3d-88f7-4ead-d63e-86c9e54e124f,sample_text_8505,2025-08-29T01:54:07.247Z,2025-07-07T13:37:40.957Z
resolved,04d814b3-4abd-4c82-f400-7661ba759565,4e3a6ab3-04ca-4137-4bcf-1bae5d52b60a,49c0f8d8-fcc1-4c41-a548-3ff914a66692,3a19d003-2447-4c77-d435-69866c42a3e8,sample_text_9643,rapid_decline,info,Behavior incidents increasing,sample_text_7363,274.21,critical,sample_text_9206,65b719d4-a6d4-4c9f-1165-ea0ebe168811,2026-03-13T23:30:35.452Z,7275a4a2-65a3-47ed-3d1e-7026f453021d,2025-08-05T13:00:23.011Z,sample_text_1173,5859fef3-05c8-484e-150b-75f6cf06c810,sample_text_1041,2025-10-22T13:04:07.763Z,2025-04-26T17:06:12.334Z
resolved,e87be047-74a2-4df7-efa8-0e85ded36ef1,7be4bb45-ba49-4910-a4a1-cb5189855e2b,8896db36-2d61-437b-b2c1-dc033ac04606,343e4691-d779-4742-a9b6-c828fbb55b61,sample_text_1556,chronic_absence,warning,Rapid decline in math performance,sample_text_1304,303.98,at_risk,sample_text_1893,034eaa7e-6ebe-4134-5494-fbfbc43c72ec,2026-01-09T23:16:51.353Z,4983674c-e15e-4015-0eb3-50b01d7810f8,2025-09-27T02:21:03.573Z,sample_text_7582,e5536f1d-70a4-4729-c482-8f7e415dd89b,sample_text_9151,2025-09-17T11:15:59.870Z,2025-09-29T19:16:00.150Z
new,ed38832b-d289-4315-99d5-c522269cbc78,8ab6a7a1-e9a6-419f-f82d-614eccd824b9,12c936b7-76a2-4244-3342-f64b193771af,545d1106-2b34-4e12-24da-7673253ca1d7,sample_text_2292,grade_decline,urgent,Grade decline detected,sample_text_4265,610.95,at_risk,sample_text_8969,6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,,47f67693-54d3-499f-af1f-6dc1264f95f8,,,4298b1e0-3106-4cb3-2217-06e177b7279a,sample_text_3233,2026-03-08T00:23:20.625Z,2026-04-02T13:18:57.027Z
new,d13fe259-9470-49e8-d1fe-62450193f1ca,9d09d6ae-99a1-4efd-db2a-c77cd06ea491,73e655b7-927f-4010-5d38-ed87d5958465,aed83b90-feeb-480d-e57c-176768104c81,sample_text_2858,trend_warning,urgent,Student at risk of chronic absence,sample_text_5156,123.93,critical,sample_text_7343,034eaa7e-6ebe-4134-5494-fbfbc43c72ec,,47f67693-54d3-499f-af1f-6dc1264f95f8,,,0fe15401-d8c6-475b-c190-0d88ceee9427,sample_text_1407,2025-05-31T19:46:20.811Z,2025-10-09T02:38:29.248Z
