id,school_id,monthly_token_limit,monthly_cost_limit_cents,current_month_tokens,current_month_cost_cents,period_start,alert_threshold_percent,alert_sent_at,created_at,updated_at
bc1702c2-126e-4ae2-d2db-5af481e4d31b,4fab3abf-dd8f-4d4b-ef39-52d4314418ca,682,543,742,911,2025-10-10T19:42:44.370Z,779,2025-11-12T12:37:31.534Z,2026-02-12T11:32:54.801Z,2025-10-17T19:43:37.715Z
f49306fc-43b7-492d-9719-5b712ef04c60,24557b57-0c13-4c0c-a3e9-39903a1a94a3,665,863,988,19,2025-07-11T18:32:11.276Z,266,2025-06-07T23:06:54.070Z,2025-05-07T12:13:31.335Z,2025-06-04T17:59:37.675Z
b6d05aef-4bd2-4f31-4721-b35c9aa9e7f5,fecc715c-91cf-4144-4e6d-27d53565cfa5,403,566,180,737,2025-08-12T04:08:25.847Z,756,2025-12-11T04:34:44.711Z,2025-06-30T00:19:05.897Z,2025-05-19T18:03:58.034Z
660f0657-9339-409a-dc43-4ea96e7d4016,13f8f388-7de1-4383-f922-a0d8a397e76c,299,851,296,184,2025-05-12T18:58:37.438Z,355,2025-08-27T06:48:11.265Z,2026-02-23T19:34:11.664Z,2025-04-21T03:55:57.950Z
e88b18cb-da05-40a3-8f3a-dc9e8e754279,291d99ad-c85c-4557-8915-25527607d5cf,440,592,362,992,2026-01-19T00:12:00.176Z,338,2026-01-26T00:38:14.762Z,2025-07-10T01:13:28.482Z,2025-05-26T04:03:33.308Z
4fd60764-4d44-40fc-1df7-c42a76fae9a9,fe4720c1-f369-4760-b122-6b324f08f3a3,29,170,370,328,2025-08-18T04:42:55.897Z,701,2025-11-09T10:57:05.800Z,2025-06-11T05:26:35.361Z,2025-05-13T00:54:20.328Z
5ea0ba25-5f35-44cf-2b73-67bae573b742,af7db41b-a69f-4ae5-eb9c-f59fa17dcd26,558,19,705,225,2026-02-13T07:59:05.512Z,388,2026-02-21T14:32:13.136Z,2025-05-10T19:53:00.093Z,2026-03-24T21:11:37.418Z
48ba3bf1-e3d4-47ff-b002-68bb00d91cce,7d85b267-ac94-499b-94c1-eff3632a4d8b,949,86,269,280,2025-05-14T08:55:41.636Z,106,2026-01-13T12:53:00.658Z,2025-10-18T22:46:06.429Z,2025-08-07T06:24:00.248Z
f306771a-2fa7-42af-f476-2c24cfa164a1,a41d4030-6171-4181-a953-5d0104c592fd,356,173,930,410,2026-04-11T14:59:09.664Z,121,2026-03-27T15:42:03.922Z,2025-07-10T09:37:58.295Z,2025-04-13T08:54:27.564Z
61c95163-d208-485b-d89b-9951c0fccbe1,521d1584-627e-495f-893e-82a12f5344be,633,256,631,74,2026-03-27T18:51:59.955Z,740,2025-06-29T15:03:04.610Z,2025-05-02T01:42:16.923Z,2025-10-30T17:05:53.827Z
9ec072bc-9843-4793-9ec5-3a6ce13ca1e6,c8bf5171-97bd-4a3c-df89-c4059e1474e2,708,514,798,670,2026-02-04T16:41:26.548Z,305,2025-08-08T03:59:18.399Z,2025-08-09T07:31:08.897Z,2026-02-14T22:08:54.077Z
024c478d-3fed-4538-3537-8f7d4c93c4c6,c0b731c7-72d6-4cbc-7d82-0603fe27478a,604,16,502,251,2026-04-04T00:54:07.453Z,470,2026-03-27T03:43:22.343Z,2025-11-10T17:10:27.621Z,2025-08-20T19:12:47.134Z
ac67a0d2-7b26-4620-ff68-2d99533c52fc,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,963,273,70,493,2025-04-15T11:48:18.569Z,99,2025-10-10T21:59:51.561Z,2025-12-25T21:28:03.710Z,2025-10-11T04:03:23.883Z
1f124137-e9d4-4e5e-0cbf-42ddd13e584a,76fb7096-3d5c-4180-3013-e7a55c8b02bb,290,991,154,886,2025-06-19T21:08:23.076Z,76,2025-05-03T12:20:14.432Z,2026-03-03T11:02:13.810Z,2025-06-17T21:58:22.269Z
aa6090bb-89ce-4634-6ca9-b88fce8022a9,b9a92613-a49f-49ac-02ac-12389b77c55c,479,701,287,355,2025-12-25T07:06:00.133Z,571,2026-02-26T05:11:27.393Z,2025-05-04T08:28:14.167Z,2025-07-30T08:04:13.198Z
4d1135c7-e364-4f40-f045-d86be86023cc,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,986,545,833,710,2025-07-01T04:42:27.416Z,838,2025-12-06T00:52:31.673Z,2025-10-21T09:26:06.420Z,2025-07-18T02:52:28.774Z
bc136fe5-219f-47a5-b33b-b12bbb2bbb44,837a9baf-7fed-4fe4-630e-eeaf60164bcb,421,661,432,203,2025-07-30T12:58:58.958Z,929,2026-01-25T17:30:25.436Z,2026-03-09T23:50:13.467Z,2026-01-12T21:56:30.215Z
2d835438-f9fc-4c9e-e7f2-cb012b0035c0,343e4691-d779-4742-a9b6-c828fbb55b61,993,518,897,614,2025-07-07T01:31:25.032Z,484,2026-03-28T17:12:50.880Z,2025-08-13T10:35:42.211Z,2026-03-25T09:17:52.772Z
1c273cb6-a290-4c3a-aa81-378a28a4c480,5eca5363-069f-462b-ef13-7dba299c99d9,114,474,4,969,2025-08-15T14:05:19.439Z,752,2026-02-05T01:52:49.129Z,2026-02-03T02:21:47.871Z,2026-01-13T18:29:00.594Z
a0bfa6d1-ec31-45fe-f17a-1a209962af77,59faa8f0-e266-467f-aa62-7fd97008cad7,890,828,243,9,2026-04-08T20:43:52.819Z,185,2026-03-20T10:29:44.732Z,2025-12-13T02:24:43.280Z,2026-03-10T02:34:17.446Z
50a0c6cd-7d93-4712-d3f7-ea7398a427f4,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,622,960,618,912,2025-08-04T17:48:22.220Z,12,2025-08-09T21:54:11.724Z,2025-04-23T11:41:26.163Z,2025-11-29T22:29:14.730Z
5c8e037f-5641-4763-031c-6f86211d59f9,930d6afd-4225-4c87-6245-39cb7a7a0d26,340,805,226,449,2025-10-07T06:23:46.637Z,265,2026-03-21T16:56:22.755Z,2025-09-19T19:35:24.273Z,2025-07-07T11:22:29.082Z
577ac725-563b-4c50-c0ae-aeeb37a60ea5,1eca3985-996e-497f-4644-294968d742b8,520,597,56,537,2025-11-19T05:18:55.389Z,791,2025-08-20T02:52:08.002Z,2026-03-29T18:23:34.481Z,2025-11-17T09:30:44.612Z
82b299c6-968c-4bb5-53cb-82ed7457ca9b,7e8192d3-756a-4974-209e-dc1ea1cca26e,154,469,264,902,2026-01-13T00:12:37.492Z,911,2025-11-05T17:41:42.864Z,2026-01-08T07:00:50.891Z,2025-11-29T10:49:47.067Z
b9395962-9271-40d9-50b5-5fd33074a842,f0fe80e2-ee98-4631-fd46-bedaa4937130,992,269,978,526,2025-07-02T14:41:17.488Z,284,2026-02-12T00:38:23.815Z,2026-04-05T07:45:49.951Z,2026-01-28T04:14:21.850Z
5a61e9b6-7b64-44e0-947d-3c57ea31dd18,314cdd92-266e-488d-cf88-6e18f6db8ca6,788,586,609,595,2025-08-10T22:36:06.300Z,407,2026-03-08T18:29:12.039Z,2025-11-26T20:10:09.957Z,2025-08-08T16:45:46.510Z
cb4144b9-0732-4f8d-0937-094932223ea0,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,220,995,98,298,2025-11-20T11:09:41.213Z,471,2026-02-06T18:40:33.591Z,2025-08-07T18:21:02.418Z,2025-12-25T20:27:28.484Z
2baf3c27-148f-439d-74cc-239ddcee0065,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,798,983,394,408,2025-06-30T12:31:50.365Z,707,2025-08-17T16:27:04.998Z,2025-06-12T08:15:44.883Z,2025-05-29T02:16:50.882Z
725f11b4-ac17-44e5-065a-11b4fed6103d,fe4720c1-f369-4760-b122-6b324f08f3a3,980,228,682,543,2025-07-31T12:20:45.194Z,302,2026-01-15T08:54:32.670Z,2025-04-17T17:30:02.414Z,2025-11-22T04:43:00.485Z
b724e517-845f-42a1-d4a7-c8228821ed9a,a41d4030-6171-4181-a953-5d0104c592fd,193,577,261,647,2025-07-08T05:20:18.431Z,794,2025-10-29T05:17:31.375Z,2025-05-14T02:00:58.524Z,2025-04-16T16:30:55.957Z
d18e3707-97b7-4297-1619-f13b3bfd3bae,fecc715c-91cf-4144-4e6d-27d53565cfa5,913,602,205,519,2025-12-13T16:08:41.323Z,426,2025-12-08T00:50:19.712Z,2025-12-18T05:40:14.803Z,2025-11-04T09:07:17.579Z
cad7b926-a065-48b9-9a05-d3ae903beabf,32a1daeb-123e-4dbe-b622-aea59b73722d,802,432,55,7,2025-05-28T12:05:57.877Z,457,2025-05-29T21:34:33.826Z,2026-02-15T23:15:49.530Z,2025-10-19T13:12:30.680Z
8afa63e6-27af-4140-51ac-acbcbe21437a,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,607,856,823,500,2025-09-27T22:43:52.233Z,56,2026-02-12T23:32:23.232Z,2025-09-18T03:40:38.459Z,2025-07-25T00:44:40.133Z
722c6571-ad92-4607-4ba9-ef89a3d59d74,2d706e75-fd47-4d6b-cc14-10a1bf804d62,996,407,181,149,2025-04-14T02:22:09.134Z,660,2025-12-30T09:10:59.306Z,2025-07-11T04:44:11.370Z,2025-08-24T01:03:43.979Z
9f137e05-a07e-4dbf-5e7e-d37d851127a1,615ffcad-04ca-4584-4505-45cbefd50d58,462,427,168,854,2026-03-13T18:21:16.577Z,406,2026-01-05T23:42:58.669Z,2025-10-30T19:57:56.932Z,2025-12-29T07:09:19.071Z
3b46fcce-9ce3-4f7b-aef0-4f26c67cb13f,76fb7096-3d5c-4180-3013-e7a55c8b02bb,174,304,636,598,2026-03-17T20:40:17.787Z,627,2025-08-08T03:47:49.267Z,2025-07-21T02:36:01.712Z,2026-02-06T07:59:52.708Z
cf91bd19-2859-4785-704c-40e731584cf8,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,679,159,839,748,2026-02-17T14:04:27.977Z,804,2025-12-09T19:56:30.799Z,2025-09-30T05:21:45.172Z,2026-04-11T04:40:58.464Z
ec57a720-b3ef-4c93-66c6-4310e3b9af38,76fb7096-3d5c-4180-3013-e7a55c8b02bb,842,788,193,801,2026-01-26T12:56:56.266Z,322,2026-03-28T03:53:07.116Z,2025-10-13T12:50:28.453Z,2025-05-05T09:00:31.735Z
8647ee1c-9848-4374-1648-4ba7bb3bc384,e394ca10-b5a0-45cc-8730-3524aff8641a,446,741,593,54,2025-08-11T14:56:27.386Z,204,2026-01-23T18:00:40.227Z,2026-03-19T00:37:29.355Z,2026-03-24T22:31:14.116Z
22280716-b822-4e7a-8e3f-86cc2b390ff0,930d6afd-4225-4c87-6245-39cb7a7a0d26,286,55,570,843,2025-04-26T03:21:49.659Z,236,2025-07-09T11:37:54.793Z,2025-06-14T13:49:56.016Z,2026-03-09T19:23:32.724Z
b1bcfc5c-f830-47b3-6488-d2ddb086e93b,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,666,516,600,290,2026-01-06T17:03:44.370Z,88,2025-12-24T08:27:48.895Z,2026-01-24T07:54:57.298Z,2025-10-06T11:46:43.621Z
dd0a2ff6-046c-4399-3934-9221fdb42bcb,469af544-bb26-4d4c-4b28-ab15c4812991,558,382,328,845,2025-09-07T13:19:12.497Z,266,2026-01-17T19:28:52.122Z,2025-07-16T18:09:37.957Z,2025-10-18T14:12:54.767Z
519417dd-3b96-4cb6-dc01-775bf67a4324,16c0f045-ad9e-4d23-8922-374a2534b914,253,958,157,552,2025-10-29T07:55:08.591Z,427,2025-12-24T03:36:49.462Z,2025-06-11T15:19:23.252Z,2026-01-11T19:09:08.702Z
240592a3-75a9-48f2-3aaa-9c3f62dd46ee,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,161,209,850,721,2025-11-20T18:59:56.068Z,591,2026-03-20T17:36:22.963Z,2026-02-26T17:42:09.507Z,2025-06-03T02:24:27.420Z
7fd1d85a-4857-41c7-be68-f7f31a2dd70d,343e4691-d779-4742-a9b6-c828fbb55b61,975,564,45,355,2026-01-16T17:37:58.035Z,952,2025-10-04T08:22:19.182Z,2026-02-16T07:54:34.341Z,2026-02-02T02:29:55.349Z
f8eb69d4-a6f7-401c-bf45-4bcab9004f20,e112e16e-d7d4-47de-a1f6-038db1f702ae,254,628,134,157,2025-05-16T01:42:23.710Z,700,2025-10-09T02:43:09.674Z,2025-11-15T01:06:30.734Z,2025-07-17T02:28:24.200Z
4c35bf0a-938d-43aa-5c5c-58670da0dcf5,837a9baf-7fed-4fe4-630e-eeaf60164bcb,509,6,402,851,2025-08-18T11:52:17.320Z,160,2025-10-09T20:53:32.687Z,2025-05-30T23:16:43.569Z,2026-03-31T21:11:07.352Z
8cb09eb8-f487-4be5-678b-e68c73274fa0,c0b731c7-72d6-4cbc-7d82-0603fe27478a,369,568,137,457,2025-06-06T11:21:47.049Z,199,2025-08-03T12:13:54.541Z,2026-01-17T01:21:02.488Z,2026-02-12T14:48:31.200Z
c12626b0-3d46-463b-ecce-dd3c40ed3e94,73370ee3-24e1-494c-b530-e79710873eeb,92,265,810,896,2025-07-24T00:53:56.272Z,480,2025-05-29T03:46:02.733Z,2026-03-31T20:25:55.774Z,2025-06-02T06:46:37.673Z
c2e2154d-b428-431a-0cf2-88747042ee36,e536d26c-1212-499f-3401-979cc6978147,336,649,510,597,2026-04-11T11:57:36.532Z,640,2025-10-31T21:01:47.859Z,2026-03-28T18:37:40.523Z,2025-05-14T09:57:35.195Z
e56f5b5c-8e38-47cf-efb9-3b1a18968768,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,612,73,579,704,2026-01-02T10:30:15.896Z,413,2025-08-19T06:44:57.850Z,2025-06-21T13:10:22.945Z,2026-02-12T12:45:21.663Z
7d6ded6a-32ce-479e-b46f-dec01c5a5692,b017f20d-2b75-45dd-64d2-722f145a78d0,738,333,119,433,2025-05-06T17:32:05.229Z,360,2025-10-30T23:29:11.924Z,2025-08-24T20:08:22.787Z,2025-04-28T16:47:26.166Z
4662fb48-1aac-4bdb-f642-d7ffb8abcd1f,5b1b6bbb-ac85-477d-9a11-d480281a4b21,935,428,956,472,2025-07-11T06:26:56.106Z,835,2025-04-14T14:34:21.470Z,2025-04-24T01:54:02.025Z,2025-10-12T03:54:31.345Z
c4c3a938-c210-45c6-749d-c266e5b94577,1eca3985-996e-497f-4644-294968d742b8,74,553,119,132,2025-12-30T10:32:21.430Z,202,2025-07-19T07:30:00.259Z,2026-03-28T15:37:59.869Z,2025-05-14T06:50:19.255Z
6ce60883-5c43-43c2-4ae8-228c7d80a80a,94519cc1-bdc7-4549-769e-8964efcea7c6,652,93,723,358,2025-04-23T04:06:11.484Z,884,2026-01-29T12:25:55.985Z,2025-09-04T18:49:14.253Z,2025-04-23T19:15:41.729Z
