status,id,intervention_id,school_id,student_id,scheduled_date,scheduled_start_time,scheduled_duration_minutes,actual_date,actual_start_time,actual_duration_minutes,cancellation_reason,delivered_by,location,modality,group_size,fidelity_checklist,fidelity_score,fidelity_notes,student_engaged,engagement_notes,session_notes,skills_practiced,homework_assigned,parent_communication,created_at,updated_at,created_by
cancelled,0087bdb2-fb4c-4770-450b-14f3befed550,a9d01c6e-83df-4c25-d0c3-0543543bbe63,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,f3bdc0f5-709a-4443-3bcd-690202dcd619,2025-07-25T06:50:01.694Z,sample_text_2534,982,,sample_text_958,,sample_text_9357,6601188e-454e-46f8-39d3-12e3a2450d73,sample_text_1476,virtual,424,sample_text_4240,,sample_text_8311,true,sample_text_3249,sample_text_6088,sample_text_7099,sample_text_5461,true,2025-04-25T21:00:18.506Z,2025-07-17T06:54:44.194Z,034eaa7e-6ebe-4134-5494-fbfbc43c72ec
completed,878842f2-017c-47b3-33df-898631c3209e,ec1ba003-ffce-4ac3-4d22-9142d9c5f0ee,e394ca10-b5a0-45cc-8730-3524aff8641a,c679812d-8719-424c-f810-c17bf20e8d10,2026-01-26T08:30:34.527Z,sample_text_3241,928,2026-01-23T00:11:41.894Z,sample_text_483,504,sample_text_7202,034eaa7e-6ebe-4134-5494-fbfbc43c72ec,sample_text_8961,in_person,149,sample_text_9795,537.29,sample_text_3705,true,sample_text_2065,sample_text_3838,sample_text_1987,sample_text_8325,true,2025-07-09T23:15:59.289Z,2025-07-27T18:22:45.736Z,af45888d-3cda-415b-1d81-91022a417bde
no_show,400ea834-3bd6-4d66-86c0-4a9862340edd,e4e629c5-87d4-4ff9-a454-60a9e53957d8,c41be56c-1b03-4f83-3798-7ff82c84c273,6ca9565d-394f-4984-5af6-b337411ec843,2026-04-10T02:54:04.177Z,sample_text_4166,802,2025-07-04T03:47:41.049Z,sample_text_6174,607,sample_text_6197,52f0edcc-bfb7-4f33-ad2e-fd54c484c769,sample_text_5827,virtual,438,sample_text_9392,148.9,sample_text_7542,false,sample_text_1178,sample_text_8329,sample_text_4145,sample_text_8832,true,2025-12-08T22:12:20.974Z,2025-12-02T04:40:36.954Z,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9
completed,f687c436-7b68-4bfa-122b-936c06858f58,35da515d-35a2-4861-590b-fb685b51a2fd,545d1106-2b34-4e12-24da-7673253ca1d7,3e4e588f-bb13-48f9-ae27-231d699b174f,2026-02-19T01:04:10.358Z,sample_text_84,108,2025-08-24T10:33:26.044Z,sample_text_7176,544,sample_text_442,e4a45791-4bec-432e-83c4-834772750abf,sample_text_5678,virtual,893,sample_text_9078,427.73,sample_text_6527,true,sample_text_5240,sample_text_5519,sample_text_8117,sample_text_2785,true,2025-05-16T11:48:37.685Z,2025-11-14T06:40:07.702Z,4983674c-e15e-4015-0eb3-50b01d7810f8
completed,10c9e107-2dc9-4733-3f9d-0118430ccec5,22a0a6d0-f90a-40bf-5c2c-2c0d989b6a0d,291d99ad-c85c-4557-8915-25527607d5cf,942582d6-df90-465e-0a7c-344463dcc5fc,2025-08-23T06:25:16.110Z,sample_text_3520,604,2025-12-14T10:27:15.837Z,sample_text_7087,595,sample_text_2063,1f944d7a-c145-4606-b226-ca59addffefd,sample_text_498,in_person,331,sample_text_1631,578.66,sample_text_3430,true,sample_text_6708,sample_text_8174,sample_text_3266,sample_text_9524,false,2025-10-29T04:42:14.624Z,2025-10-29T20:32:08.759Z,7a4c360c-bb74-4deb-f15e-c8b948e7a622
partial,de9088c0-8971-47c1-ebc2-de6235ebbb16,7278e65a-9c24-4acf-5b35-796f64dbce30,2bd4f3bc-df4b-49c7-997f-c11868da495a,12c936b7-76a2-4244-3342-f64b193771af,2025-05-04T08:55:59.426Z,sample_text_2993,434,2025-10-11T18:02:21.841Z,sample_text_3121,24,sample_text_9485,760e9861-7716-4fc7-6676-f5213f248cda,sample_text_511,in_person,557,sample_text_8882,961.32,sample_text_8153,true,sample_text_7296,sample_text_4345,sample_text_4187,sample_text_2979,false,2025-09-05T01:03:30.620Z,2025-09-08T07:06:36.994Z,1f8bb59a-e0eb-4b2b-fe13-07a0c2675cb8
completed,a8c13955-7982-4809-4151-21516287c55e,3e90a57e-4981-458b-1a9c-b59ffc169491,4c81bc97-321d-48c5-d316-8243b2e8187e,857fcefe-5faf-4a3c-df5d-917321d0ed26,2025-07-31T14:42:31.884Z,sample_text_9295,453,2026-03-02T08:46:04.532Z,sample_text_8525,430,sample_text_9824,52f0edcc-bfb7-4f33-ad2e-fd54c484c769,sample_text_1629,in_person,451,sample_text_652,640.93,sample_text_5700,true,sample_text_4481,sample_text_5508,sample_text_899,sample_text_2373,true,2025-11-18T11:16:07.209Z,2025-12-01T15:52:15.894Z,d9edb57f-a55c-4a07-df66-d6f8356c9964
partial,4feddfcb-61e0-4363-90e1-56cb5ab79017,3e90a57e-4981-458b-1a9c-b59ffc169491,00e48b05-b6cb-410f-1525-6668c44bdb40,3e4e588f-bb13-48f9-ae27-231d699b174f,2025-07-09T17:27:39.754Z,sample_text_1739,771,2025-06-27T22:51:12.284Z,sample_text_767,420,sample_text_7757,4b5660c5-6ded-4e88-5938-1722c262ea15,sample_text_3180,in_person,435,sample_text_6705,923.43,sample_text_7677,false,sample_text_9286,sample_text_6147,sample_text_7787,sample_text_1161,true,2025-10-03T07:40:18.027Z,2025-07-06T00:54:21.445Z,9eaa373f-8df1-4b6c-b2c9-c62b6f3363fe
completed,5f59a131-9ec7-4a3c-7c86-10f21d6ae9a6,b67c6dd5-03b5-49d6-f6fa-91a5dcce714c,b1160aa4-615e-46be-c33f-53b664f1618f,0ba497e7-4a6e-4b40-b8d5-7f23952ad2cd,2025-09-22T13:22:11.498Z,sample_text_854,746,2025-09-18T19:55:55.476Z,sample_text_8642,679,sample_text_1478,b68d9d85-277a-4f14-1564-cbb9598388f9,sample_text_1815,virtual,904,sample_text_6050,688.04,sample_text_1605,true,sample_text_1481,sample_text_1890,sample_text_370,sample_text_526,true,2026-01-12T04:43:19.785Z,2025-07-06T19:39:18.548Z,47f67693-54d3-499f-af1f-6dc1264f95f8
completed,45236f3d-799e-4012-2204-11c02bf4cccd,cc19aa3d-8df7-4ba6-943a-ebbf9970c3bc,b1160aa4-615e-46be-c33f-53b664f1618f,2d6bfb42-752b-4b9d-3444-de223d3aae60,2025-06-01T06:44:49.007Z,sample_text_3850,967,2025-11-11T02:15:15.913Z,sample_text_9974,940,sample_text_3813,2f694710-7063-42cd-b6b6-33ab87581536,sample_text_8251,in_person,210,sample_text_221,872.76,sample_text_8484,true,sample_text_6949,sample_text_5941,sample_text_5667,sample_text_8279,true,2026-01-07T05:35:56.935Z,2026-03-09T21:40:36.488Z,9b6a74d9-b351-48c9-fd99-3ea43ff586df
completed,0d02ccd0-4534-499d-4c42-965873e2484b,22a0a6d0-f90a-40bf-5c2c-2c0d989b6a0d,2bd4f3bc-df4b-49c7-997f-c11868da495a,3e4e588f-bb13-48f9-ae27-231d699b174f,2025-05-24T08:02:09.471Z,sample_text_2767,8,2025-07-08T04:30:54.687Z,sample_text_9221,637,sample_text_5273,91481a49-39f6-4c85-9a87-3de01f285177,sample_text_6402,in_person,42,sample_text_4450,454.11,sample_text_4605,true,sample_text_1790,sample_text_8713,sample_text_5389,sample_text_1477,false,2025-07-08T11:41:50.058Z,2025-05-23T02:07:06.011Z,3f95f74e-1bdc-41c3-893d-2d90a62d76bc
scheduled,22541851-367c-4e22-bff2-f91d8a691a5e,ec3dd584-9571-48a4-dbfd-905d9bdad20d,4c81bc97-321d-48c5-d316-8243b2e8187e,5cca90e9-35ef-4b60-da97-176e79a801fd,2025-10-24T14:40:32.807Z,sample_text_9839,809,2025-10-24T13:12:52.599Z,sample_text_6165,877,sample_text_4964,b8378524-c3b6-4652-6983-adbddb7aa9dd,sample_text_6896,in_person,941,sample_text_9232,361.83,sample_text_7526,false,sample_text_9452,sample_text_5348,sample_text_1917,sample_text_7764,false,2025-09-13T10:24:54.426Z,2025-11-16T03:08:30.914Z,8a0aa082-f148-423d-fd6f-c28d86c0215a
no_show,af54de4b-e046-4d53-9e78-a237200a3fa8,8f80124e-7fab-4583-99a9-6b1f15ac293c,7e8192d3-756a-4974-209e-dc1ea1cca26e,4459d0bc-ac12-45e0-2241-37b73184e150,2025-08-03T17:51:27.015Z,sample_text_6698,659,2025-11-08T21:56:27.926Z,sample_text_3560,479,sample_text_9024,b68d9d85-277a-4f14-1564-cbb9598388f9,sample_text_8910,in_person,844,sample_text_869,460.64,sample_text_4032,true,sample_text_1048,sample_text_3177,sample_text_1721,sample_text_7443,false,2025-12-28T03:08:13.551Z,2025-09-09T18:23:36.231Z,616cd82a-150d-43e4-e90b-50dd3877886b
completed,538a52e4-94c3-4365-7edf-dfcc1c9b4ede,36a2bd98-8d6a-422c-04cc-be071c7128f3,291d99ad-c85c-4557-8915-25527607d5cf,ab6bc2eb-0064-48a7-7f0c-9a1783bcd064,2025-05-17T15:20:54.619Z,sample_text_2006,512,2025-07-09T07:36:05.860Z,sample_text_5659,244,sample_text_4055,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,sample_text_2504,hybrid,110,sample_text_3685,30.79,sample_text_4127,false,sample_text_854,sample_text_7937,sample_text_941,sample_text_2108,true,2025-11-30T03:34:46.529Z,2025-11-16T22:07:39.364Z,367ec86b-33cc-4e1c-99be-6d4f3680b591
completed,18af7a05-8234-41fd-ef0c-a14a12b42a75,c9e85a3d-88f7-4ead-d63e-86c9e54e124f,13f8f388-7de1-4383-f922-a0d8a397e76c,ca649c96-10ee-4d76-dcea-e4beca9603df,2025-06-12T10:18:21.993Z,sample_text_2053,83,2025-10-30T00:13:22.136Z,sample_text_8598,986,sample_text_978,b941f6ec-4ce0-4310-9221-6be0482727a0,sample_text_5636,virtual,421,sample_text_8979,892.43,sample_text_7548,true,sample_text_2816,sample_text_3846,sample_text_7814,sample_text_7391,true,2025-07-01T14:35:55.450Z,2025-12-05T20:33:42.760Z,3f95f74e-1bdc-41c3-893d-2d90a62d76bc
completed,28accb31-9cad-496f-bc4b-99917c108e79,093f659d-b7ea-45cd-f8d9-33ac23698fa0,1c4d8e9f-05af-4567-fc15-60738335dd73,2f04b13c-c50c-4de2-5f7d-f7ef75d312f1,2025-12-18T00:34:49.387Z,sample_text_5188,557,2025-09-28T21:11:39.662Z,sample_text_6255,154,sample_text_9323,6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,sample_text_9356,hybrid,731,sample_text_8745,50.94,sample_text_3840,true,sample_text_6792,sample_text_6609,sample_text_8398,sample_text_3009,true,2025-07-20T09:03:17.716Z,2026-02-27T09:53:24.902Z,91481a49-39f6-4c85-9a87-3de01f285177
completed,8345b22b-0d31-4cf4-4e24-85bce379c63e,e4ebc728-43de-4dc6-8cfd-0a6e04ab4faf,e112e16e-d7d4-47de-a1f6-038db1f702ae,7e8ad38f-d17c-4824-3c91-c8579a6b5e5f,2026-03-20T08:03:04.135Z,sample_text_1827,220,2025-12-14T20:39:26.179Z,sample_text_4867,300,sample_text_3069,6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,sample_text_2386,in_person,507,sample_text_5915,130.87,sample_text_207,true,sample_text_2973,sample_text_960,sample_text_4474,sample_text_6768,true,2026-02-06T00:08:31.016Z,2025-04-24T15:22:43.440Z,b8378524-c3b6-4652-6983-adbddb7aa9dd
cancelled,20ba8ee5-0daa-420c-071a-9501235b996e,7b01d302-0a70-4c31-f833-da69c718f73d,820e0d69-1dec-4fa2-7dff-4973e37417e7,72ea06ea-6647-4b34-faa9-4b6acc59b996,2026-04-06T07:56:51.109Z,sample_text_6536,589,,sample_text_5529,,sample_text_6916,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a,sample_text_6896,virtual,263,sample_text_6966,,sample_text_2564,false,sample_text_7147,sample_text_4620,sample_text_6796,sample_text_7284,false,2025-10-13T01:18:04.711Z,2025-10-06T00:40:38.017Z,4983674c-e15e-4015-0eb3-50b01d7810f8
cancelled,2670cf14-2ed5-47d3-fbc6-8f97dbd0f3e5,ddaebb0c-208f-4c1d-99d6-3c94ad714d88,7e8192d3-756a-4974-209e-dc1ea1cca26e,ab6bc2eb-0064-48a7-7f0c-9a1783bcd064,2025-10-27T20:36:53.640Z,sample_text_2700,691,,sample_text_473,,sample_text_1883,0a5b5544-8433-485d-8477-4051a66c59da,sample_text_7822,hybrid,805,sample_text_945,,sample_text_4740,true,sample_text_3263,sample_text_5233,sample_text_6140,sample_text_5693,false,2025-06-11T06:01:55.254Z,2025-09-10T10:30:30.372Z,367ec86b-33cc-4e1c-99be-6d4f3680b591
completed,0bd4ccde-fbd2-4906-4649-f5141bc3a716,e3365cd7-81d6-41a6-c786-86fd08bb2298,13905047-dc05-4f11-21d1-ceb2ff2a4ead,09e8d1ef-f5f0-41fa-38f3-10bac079d03c,2025-08-24T09:18:44.752Z,sample_text_8429,603,2025-11-23T14:17:37.755Z,sample_text_4109,647,sample_text_2510,65b719d4-a6d4-4c9f-1165-ea0ebe168811,sample_text_1826,in_person,228,sample_text_9276,199.48,sample_text_9110,true,sample_text_2866,sample_text_7412,sample_text_7165,sample_text_485,false,2025-09-28T00:48:08.963Z,2025-12-12T06:52:28.674Z,699866f4-eda9-4222-4727-7702d9d050eb
no_show,7596d4a1-ee39-45b5-1653-e86b3f9b6e47,7278e65a-9c24-4acf-5b35-796f64dbce30,7d85b267-ac94-499b-94c1-eff3632a4d8b,63b3d997-8d4b-4027-f32c-5ba74efdff76,2025-06-28T12:36:07.968Z,sample_text_9933,986,2025-05-01T06:46:10.234Z,sample_text_2541,121,sample_text_3521,db60da3b-65f5-43f8-0cf6-3a1af6e416bd,sample_text_2926,hybrid,571,sample_text_4437,238.52,sample_text_5635,false,sample_text_7234,sample_text_2347,sample_text_3683,sample_text_3338,true,2025-07-05T04:05:38.190Z,2025-06-03T09:40:00.032Z,367ec86b-33cc-4e1c-99be-6d4f3680b591
completed,53cd94d1-1a6f-437b-f8a3-f90f1eabcf7c,0660e705-3f95-4fd9-a41a-321262e51eb3,7cc152ca-2334-4efd-8c58-4327009bcdb6,7abd7935-415a-4e5c-0200-73c72eee9749,2025-08-22T13:18:47.236Z,sample_text_2450,864,2026-03-18T15:03:22.630Z,sample_text_2571,433,sample_text_660,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,sample_text_6641,in_person,383,sample_text_2910,634.56,sample_text_576,false,sample_text_2591,sample_text_7372,sample_text_6330,sample_text_1347,false,2025-06-12T07:12:20.845Z,2025-07-21T22:10:03.189Z,9c9bf7cc-e7e9-4ae2-6497-3685d6fe38d9
partial,2845d453-c4f4-4673-e419-a0deda36fefe,6d2954e1-a294-4f4c-a73e-cd9374c16466,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,3aaad658-14e8-4861-52c9-2341f1d4e7da,2025-07-08T13:14:34.588Z,sample_text_4448,541,2026-01-16T23:15:47.434Z,sample_text_8563,669,sample_text_2408,74bd910d-f592-4d1d-0e88-4bd9512f610b,sample_text_8095,in_person,864,sample_text_8039,437.19,sample_text_2720,true,sample_text_5600,sample_text_3830,sample_text_7307,sample_text_5018,true,2026-03-03T01:50:17.210Z,2025-09-30T08:11:18.328Z,9b6a74d9-b351-48c9-fd99-3ea43ff586df
completed,16125732-25a2-4415-31e4-80ba32732bd8,ec3dd584-9571-48a4-dbfd-905d9bdad20d,2d706e75-fd47-4d6b-cc14-10a1bf804d62,1458a564-2503-4c4e-98fd-ff8eee30f920,2025-10-11T03:09:25.819Z,sample_text_1637,227,2025-11-02T19:13:48.457Z,sample_text_8885,210,sample_text_9827,3f95f74e-1bdc-41c3-893d-2d90a62d76bc,sample_text_4290,virtual,535,sample_text_2186,913.78,sample_text_6101,false,sample_text_973,sample_text_2443,sample_text_3722,sample_text_9348,true,2025-09-05T20:24:09.366Z,2025-10-28T22:44:25.139Z,9eaa373f-8df1-4b6c-b2c9-c62b6f3363fe
completed,c3211022-70e4-4dd5-4017-fdd754bd4b30,7b01d302-0a70-4c31-f833-da69c718f73d,661bcb95-f84e-4871-e1c4-675bf8171439,230051a7-77f6-49c9-6d7a-c1c341da56c9,2026-03-11T15:08:25.954Z,sample_text_1098,492,2025-11-11T13:16:58.589Z,sample_text_5358,957,sample_text_9574,3f95f74e-1bdc-41c3-893d-2d90a62d76bc,sample_text_9157,in_person,426,sample_text_6610,915.92,sample_text_3161,false,sample_text_7552,sample_text_4573,sample_text_4501,sample_text_9892,true,2025-11-13T06:51:57.028Z,2026-02-04T22:58:36.140Z,3f95f74e-1bdc-41c3-893d-2d90a62d76bc
no_show,418ee086-b841-457b-fcbc-e444388909a4,cc19aa3d-8df7-4ba6-943a-ebbf9970c3bc,eb97341d-2385-4175-9a86-c3256608e18e,2d6bfb42-752b-4b9d-3444-de223d3aae60,2025-05-03T14:57:46.745Z,sample_text_3748,909,2025-10-19T17:52:37.856Z,sample_text_3442,101,sample_text_6331,d1707a15-e071-4bbb-65ff-4dfa7f902567,sample_text_3505,virtual,370,sample_text_5689,938.72,sample_text_6303,false,sample_text_3650,sample_text_5777,sample_text_8544,sample_text_7835,false,2026-01-26T00:26:33.356Z,2025-12-06T06:53:10.386Z,03983122-261d-403c-9284-32860383f137
partial,d9c42f5e-d2bc-40f7-1ada-94a6d9f95186,01063723-1de5-41a1-e5d1-0089f90f19b6,4fab3abf-dd8f-4d4b-ef39-52d4314418ca,8896db36-2d61-437b-b2c1-dc033ac04606,2026-03-23T23:28:07.988Z,sample_text_9162,680,2025-11-14T15:02:15.894Z,sample_text_5899,587,sample_text_3902,cb8fa579-1a0f-4b56-d0df-17115e069361,sample_text_7258,virtual,599,sample_text_6530,764.77,sample_text_5396,false,sample_text_8210,sample_text_6534,sample_text_6737,sample_text_773,false,2025-11-18T03:24:01.093Z,2025-10-15T02:39:23.339Z,59b39d5f-196d-4a89-1b1d-30029759628a
completed,f0572085-ce3e-4911-5aab-c7ff8c1b5c46,b67c6dd5-03b5-49d6-f6fa-91a5dcce714c,f902ac6e-7076-46f8-2ee0-d0970401682b,afb57115-93e2-41e4-19fb-726afc7dc847,2025-10-12T00:05:28.239Z,sample_text_12,738,2025-09-01T12:13:43.654Z,sample_text_2599,475,sample_text_1311,ea49fb72-2050-42e2-81c3-091e5dbcc276,sample_text_4186,hybrid,970,sample_text_7009,19.96,sample_text_7504,false,sample_text_1909,sample_text_4333,sample_text_704,sample_text_8311,false,2026-01-16T07:25:58.929Z,2026-03-15T00:51:20.216Z,fa8263d2-b6b1-4514-4f07-6307b13d93f7
no_show,01724af1-7bca-439c-2aee-7068f4757b50,7b01d302-0a70-4c31-f833-da69c718f73d,930d6afd-4225-4c87-6245-39cb7a7a0d26,31e6dcd8-7b5b-4c54-b419-66da1259c0d7,2025-11-20T08:57:58.382Z,sample_text_6558,547,2025-06-30T14:43:14.539Z,sample_text_145,783,sample_text_8311,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87,sample_text_4236,hybrid,893,sample_text_5674,246.96,sample_text_8097,true,sample_text_7779,sample_text_8289,sample_text_6745,sample_text_2532,false,2025-06-05T16:52:33.948Z,2026-04-01T18:58:56.445Z,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a
completed,d859b4fc-b6c8-484d-9a36-3e300bf1df2d,7cd8bff5-4341-4461-ae03-af249bc974f9,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,9a9475d1-a832-46dc-d803-59feef06073e,2026-04-05T05:29:20.181Z,sample_text_7830,93,2025-11-29T18:58:11.285Z,sample_text_7931,73,sample_text_2027,367ec86b-33cc-4e1c-99be-6d4f3680b591,sample_text_3901,in_person,142,sample_text_1530,535.62,sample_text_8181,true,sample_text_583,sample_text_1469,sample_text_9172,sample_text_9138,true,2025-05-12T01:15:19.774Z,2026-02-14T12:42:59.472Z,4983674c-e15e-4015-0eb3-50b01d7810f8
completed,b3ece3d0-3ab9-47b5-d08a-c613851fb26e,0660e705-3f95-4fd9-a41a-321262e51eb3,e536d26c-1212-499f-3401-979cc6978147,fb441a9a-76af-4633-ef6e-1ccf7e88caa7,2025-08-04T05:41:29.612Z,sample_text_8489,749,2025-09-23T10:11:45.950Z,sample_text_5042,811,sample_text_7819,a7fdde05-87ad-4532-1887-2448d13ec652,sample_text_9175,in_person,191,sample_text_7581,191.57,sample_text_8450,true,sample_text_143,sample_text_6021,sample_text_4047,sample_text_7921,true,2025-11-28T22:45:07.630Z,2026-03-24T18:53:35.414Z,2fd3b0e9-a8a5-42ef-ecf1-96898dccef87
