id,created_at,school_id,data_source_id,integration_id,billing_period_start,billing_period_end,students_synced,sync_operations,records_processed,base_cost,student_cost,sync_cost,record_cost,total_cost,discount_amount,discount_reason,invoiced,invoice_id,invoiced_at
6615467a-57b9-409f-f139-351c655e264d,2026-03-11T00:33:41.683Z,e112e16e-d7d4-47de-a1f6-038db1f702ae,758806c0-525f-4bde-64b4-d586733bbf36,sample_text_3297,2026-03-31T12:45:06.885Z,2025-08-24T06:13:38.585Z,716,197,85,119.8,563.45,365.62,657.12,911.81,51.82,sample_text_7985,true,sample_text_1192,2025-05-19T07:59:59.117Z
0e9004b7-81dc-4890-f662-2797d126658a,2025-09-18T09:39:47.291Z,59faa8f0-e266-467f-aa62-7fd97008cad7,dc90b501-b502-40f5-d807-924e1428083d,sample_text_9175,2025-08-04T03:23:58.064Z,2025-09-05T09:30:35.376Z,330,675,67,834.9,425.15,269.96,316.16,221.53,354.35,sample_text_3430,true,sample_text_6883,2025-05-01T05:08:08.271Z
102f7643-1aa1-427e-2016-50455c86b05e,2025-07-15T21:04:38.587Z,343e4691-d779-4742-a9b6-c828fbb55b61,2ff1903b-2cd7-42b8-8d34-ed9bd5031b21,sample_text_2664,2025-11-27T07:04:25.464Z,2025-11-08T21:20:14.852Z,828,851,547,572.01,252.14,345.36,633.91,340.42,878.73,sample_text_4040,true,sample_text_3911,2026-03-06T20:32:22.900Z
c2206cfc-bbc6-441b-2f19-949a9979321d,2025-10-28T03:28:57.362Z,291d99ad-c85c-4557-8915-25527607d5cf,5b95313a-6c03-4454-e4fa-3c33382680e3,sample_text_1942,2025-04-16T03:25:22.875Z,2025-11-22T17:35:26.012Z,851,343,479,248.13,973.24,772.04,954.8,63.75,623.58,sample_text_5425,true,sample_text_4431,2026-03-07T09:32:27.160Z
7d937a5a-b3c0-458a-c097-1fed119ff219,2026-04-10T19:27:44.273Z,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,84d40715-045e-4f17-73fa-4416bebd67d4,sample_text_3,2025-09-02T02:17:01.123Z,2026-03-27T16:37:14.131Z,168,385,898,446.81,880.26,572.46,429.51,137.66,864.75,sample_text_3644,true,sample_text_9584,2025-12-28T23:38:35.089Z
e49bcbc4-9d23-4f9c-d887-6315d519d9e8,2025-04-18T09:39:04.939Z,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,758806c0-525f-4bde-64b4-d586733bbf36,sample_text_9316,2025-10-06T08:54:38.615Z,2025-09-21T10:07:07.736Z,695,668,145,810.46,66.2,11.39,79.92,40.51,314.9,sample_text_9229,false,sample_text_5341,2026-04-08T14:41:03.183Z
90084250-ed97-4796-c16a-97526fdff063,2025-06-27T21:12:40.728Z,e536d26c-1212-499f-3401-979cc6978147,bdf17f3a-c09c-4f63-ac18-85368f790bc6,sample_text_2967,2025-04-25T01:44:54.587Z,2025-05-23T20:40:33.316Z,982,639,917,507.08,61.47,932.2,387.48,579.97,438.89,sample_text_2120,false,sample_text_1942,2026-01-14T17:50:00.354Z
0c25492b-5f75-405b-c718-12bf7714f843,2025-12-18T03:27:25.849Z,baeb778f-0236-4ea0-497b-a0d46e5c6619,99802c72-29db-46cc-83bb-cfbff82cd086,sample_text_1780,2026-04-02T09:19:47.542Z,2025-07-09T00:42:37.412Z,113,532,656,932.77,486.44,405.81,628,364.64,914.02,sample_text_1604,false,sample_text_7079,2025-07-15T19:55:45.755Z
ce6ebffa-39b2-49d6-2986-64db7f19ac6d,2025-11-30T19:12:43.985Z,c41be56c-1b03-4f83-3798-7ff82c84c273,c44765c5-fef7-4425-8fec-6518509fa281,sample_text_7348,2026-01-21T18:40:09.536Z,2026-02-05T02:08:16.313Z,748,467,122,332.58,760.37,734.4,833.01,907.28,928.57,sample_text_639,true,sample_text_206,2025-05-21T08:49:28.784Z
0c8eab01-4e55-4c73-2bfc-c3f781388fb3,2026-01-03T03:59:59.214Z,3a19d003-2447-4c77-d435-69866c42a3e8,b8949423-75fc-4fc3-92b1-765df791f70b,sample_text_2677,2026-01-15T19:07:15.033Z,2026-02-20T06:29:40.435Z,496,538,38,684.65,304.46,280.61,289.28,595.33,393.51,sample_text_5476,true,sample_text_4407,2025-11-04T17:29:42.836Z
ae952eae-4b5f-415e-5cec-71f32fa4d764,2026-02-07T20:46:10.026Z,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,99802c72-29db-46cc-83bb-cfbff82cd086,sample_text_4514,2026-03-12T06:56:08.983Z,2025-05-29T07:34:53.365Z,932,924,846,809.55,266.65,710.75,84.87,868.83,458.74,sample_text_2050,false,sample_text_3312,2025-04-14T15:15:40.091Z
6c147d1a-3118-451d-2d5f-b67b7fa9c71c,2026-02-01T13:44:48.325Z,32a1daeb-123e-4dbe-b622-aea59b73722d,8cbff490-9d1a-4e62-9195-9deaabb5abc1,sample_text_1527,2025-11-24T18:57:47.987Z,2025-09-21T05:57:38.242Z,622,815,997,473.79,74.25,864.76,867.98,24.47,178.04,sample_text_6617,true,sample_text_3295,2026-01-08T19:27:30.885Z
52fba83f-4019-40e2-faf5-7562ecf5af73,2025-04-16T07:08:56.774Z,2d706e75-fd47-4d6b-cc14-10a1bf804d62,5306dc58-8fa2-48b8-1146-880020ee7d2c,sample_text_2492,2025-04-25T05:21:55.021Z,2025-12-19T10:22:17.354Z,601,21,865,507.11,140.07,218.82,208.24,861.69,621.89,sample_text_8375,false,sample_text_423,2025-07-15T04:50:48.458Z
036b9d3c-84b8-4688-0c5e-0cd25baa1e90,2025-11-14T06:09:26.791Z,4ca6797c-e546-4f8b-df90-dbb08907d99e,852adb01-52fc-4591-48d0-aacd111a0a52,sample_text_9229,2025-12-26T23:51:17.903Z,2026-04-11T10:02:36.040Z,444,34,55,173.93,658.37,407.35,596.71,223.98,872.03,sample_text_6201,false,sample_text_5864,2025-09-03T02:08:12.960Z
fd01c3c6-df91-4d52-b6eb-1858eb4d2b88,2025-11-27T02:30:40.059Z,2e858920-a13b-46d3-3f94-8050bb03f098,8eaf783f-e462-418d-9d46-d2bd372dd409,sample_text_9975,2026-02-15T09:55:14.248Z,2025-07-09T10:40:23.489Z,101,278,114,686.49,121.65,872.63,438.76,884.29,649.1,sample_text_4784,false,sample_text_7392,2025-08-30T06:12:44.834Z
76e49f60-6814-418f-eba3-5db33207acfa,2025-07-27T14:18:35.288Z,59faa8f0-e266-467f-aa62-7fd97008cad7,f435d1ee-b6ee-454d-9148-bbd2d14f849e,sample_text_2504,2025-05-01T01:37:40.808Z,2025-10-08T03:06:51.316Z,593,851,59,221.2,643.33,302.63,649.17,885.29,380.8,sample_text_3648,false,sample_text_8443,2025-08-29T16:59:12.025Z
39d105ca-7716-494c-27e1-6d533779cc9f,2025-05-26T01:19:48.279Z,f0fe80e2-ee98-4631-fd46-bedaa4937130,b8949423-75fc-4fc3-92b1-765df791f70b,sample_text_9871,2025-06-10T04:19:51.432Z,2025-12-03T00:22:54.660Z,764,465,435,718.97,288.61,174.24,727.9,960.03,780.61,sample_text_2149,false,sample_text_8608,2025-06-08T14:44:04.224Z
f5b26945-2fc4-4880-70ac-dcc81901e95f,2025-09-16T16:42:44.960Z,837a9baf-7fed-4fe4-630e-eeaf60164bcb,ada2ccdf-e557-4aa4-fdf9-37c0f0667428,sample_text_1598,2026-03-17T20:15:44.031Z,2025-06-02T06:01:57.730Z,74,262,376,994.53,734.03,924.65,336.06,456.88,677.43,sample_text_2598,false,sample_text_1788,2026-03-04T20:02:38.748Z
26921248-39e3-4be0-10c2-8b317458cd5c,2025-12-31T15:05:29.106Z,1eca3985-996e-497f-4644-294968d742b8,909260b9-185e-4ce7-db55-59790433a4e8,sample_text_5644,2025-12-10T23:09:48.263Z,2025-12-04T16:42:15.084Z,805,249,765,782.58,317.24,870.05,668.41,116.78,521.47,sample_text_1312,false,sample_text_5996,2026-03-04T12:09:25.940Z
4c2dff36-536b-4d91-f035-c82eb38400f1,2025-05-17T11:37:39.338Z,4fab3abf-dd8f-4d4b-ef39-52d4314418ca,3cc00d58-32eb-4b92-0b84-ab67df685bc2,sample_text_2574,2026-03-30T22:24:20.917Z,2025-07-22T11:11:12.426Z,869,610,389,227.79,128.55,425.81,902.79,836.58,111.83,sample_text_9417,false,sample_text_2209,2025-07-04T06:34:30.715Z
f19a3e30-8b6e-41e8-4d6f-c59ab05472bd,2026-03-21T11:46:57.148Z,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,f80bad2e-7c5e-44d2-4b10-c35f8bcf39d8,sample_text_9254,2025-06-02T18:20:22.224Z,2025-06-26T00:43:52.113Z,294,281,232,224.7,608.45,426.02,241.4,238.94,763.91,sample_text_3196,true,sample_text_3082,2026-02-11T18:23:53.414Z
06b2bfd0-2066-4d36-61b5-469702b0c82c,2025-12-28T09:17:05.713Z,16c0f045-ad9e-4d23-8922-374a2534b914,78bf769c-1eda-459a-5900-22c4952e96e6,sample_text_3069,2025-04-26T00:35:00.604Z,2026-02-10T01:03:57.885Z,475,859,472,645.34,397.41,650.48,866.71,685.35,41.8,sample_text_7692,true,sample_text_6461,2026-04-08T23:09:07.604Z
70ddb1cb-dbdd-49d5-9595-6a878d32c528,2026-03-28T16:04:33.325Z,a41d4030-6171-4181-a953-5d0104c592fd,62e93f66-9450-4e21-720e-6f8386b196c3,sample_text_8160,2025-07-25T03:25:33.611Z,2025-12-16T15:37:18.677Z,291,381,723,777.5,561.84,575.59,922.72,234.49,940.13,sample_text_9676,false,sample_text_2669,2026-03-12T10:04:02.534Z
ab87be2a-e239-48e4-e25b-6ec5ef362298,2026-02-16T09:36:01.061Z,13f8f388-7de1-4383-f922-a0d8a397e76c,99802c72-29db-46cc-83bb-cfbff82cd086,sample_text_5547,2026-04-05T09:05:30.075Z,2025-08-16T15:43:14.072Z,778,290,63,732.88,555.32,19.17,166.51,589.72,725.62,sample_text_9787,false,sample_text_3311,2025-05-09T04:01:31.153Z
d0983a70-803d-45c6-53d0-c447566c4b10,2025-09-14T08:45:51.044Z,b1160aa4-615e-46be-c33f-53b664f1618f,da3b0395-5367-4023-fdf8-08e751273d3b,sample_text_5658,2025-08-09T12:49:02.759Z,2025-07-10T15:45:52.834Z,385,979,721,948.86,804.47,746.84,141.2,696.31,278.86,sample_text_3580,true,sample_text_3899,2025-09-21T14:30:30.658Z
6c7e1e9b-6605-4bd2-325f-b31d9ece8c6b,2026-04-02T06:37:50.990Z,314cdd92-266e-488d-cf88-6e18f6db8ca6,c44765c5-fef7-4425-8fec-6518509fa281,sample_text_272,2025-07-26T02:12:24.225Z,2025-12-27T12:55:12.677Z,577,976,917,212.66,461.91,766.02,6.78,435,305.07,sample_text_383,false,sample_text_6068,2025-11-26T16:32:31.698Z
57e52b59-64c3-4a3c-d49a-bb90952fa56f,2025-08-06T14:32:10.318Z,545d1106-2b34-4e12-24da-7673253ca1d7,4e5e66cb-a2d7-469b-1095-23ae5b6f30cb,sample_text_4622,2026-03-02T15:47:34.393Z,2025-07-22T04:17:07.107Z,296,421,436,235.92,544.7,272.53,894.42,433.44,454.27,sample_text_4787,true,sample_text_8981,2025-08-08T06:18:35.987Z
ca6c4e1f-f7b9-4265-34da-322b63318c40,2025-07-08T22:11:29.745Z,f3e56a9d-701d-4138-17b4-468168466ac1,b8949423-75fc-4fc3-92b1-765df791f70b,sample_text_9037,2026-03-19T23:29:42.108Z,2025-11-05T08:35:14.003Z,241,775,988,974.68,669.93,938.1,780.68,881.86,344.43,sample_text_7451,false,sample_text_7116,2025-05-08T18:14:57.716Z
913fe253-bfbf-4879-3c27-6c6cafa43c78,2025-10-30T21:34:25.665Z,4ca6797c-e546-4f8b-df90-dbb08907d99e,1cf97b53-c321-4446-daf9-fb039e7940c0,sample_text_2856,2025-10-28T06:06:21.920Z,2026-04-01T21:47:33.994Z,367,777,198,256.18,79.16,886.61,315.48,237.3,854.95,sample_text_3804,true,sample_text_6289,2026-01-10T20:49:11.183Z
697e1f85-f1ba-46c5-4bb4-a4ede33f88dd,2025-10-25T12:36:10.656Z,5b1b6bbb-ac85-477d-9a11-d480281a4b21,3f9d7880-3721-49c6-b70f-afc7e2b691a8,sample_text_729,2025-08-18T06:44:06.881Z,2025-07-07T06:09:11.419Z,348,918,671,386.86,830.13,849.91,300.93,500.87,54.69,sample_text_9905,true,sample_text_6185,2025-09-20T17:34:44.147Z
758dcba3-a637-4521-7f4a-8985f97eb951,2026-02-03T07:18:11.082Z,7cc152ca-2334-4efd-8c58-4327009bcdb6,70a54517-6a84-4f2b-0012-e091aea06cfb,sample_text_347,2025-07-23T21:30:59.913Z,2025-04-14T10:32:55.323Z,24,21,251,584.5,207.7,691.12,353.34,172.74,672.58,sample_text_1341,true,sample_text_3467,2025-12-10T23:05:38.015Z
26e1b2ba-836b-4dfe-4c70-5c191043fc2c,2026-02-14T18:48:14.281Z,5b1b6bbb-ac85-477d-9a11-d480281a4b21,f91a5c51-3df4-48c0-c267-500a42d5dc6f,sample_text_8109,2025-10-13T13:25:21.581Z,2025-07-09T18:27:32.189Z,158,910,212,328.52,831.7,466.33,675.26,471.22,750.5,sample_text_3974,false,sample_text_732,2025-07-18T12:21:49.623Z
d9fe973d-fc90-44f8-dc43-3f5d8ecb1035,2025-11-11T02:14:11.762Z,fe4720c1-f369-4760-b122-6b324f08f3a3,8b412410-7039-474a-c83d-d263cd5c7a06,sample_text_5027,2025-10-03T16:05:28.047Z,2025-12-18T09:55:42.172Z,42,866,187,901.49,721.55,562.38,27.06,353.86,315.18,sample_text_7741,false,sample_text_5033,2025-11-22T20:11:52.890Z
9a99f81e-a0e7-48c4-1ddd-85f43a78d5ac,2025-05-27T00:48:11.754Z,aed83b90-feeb-480d-e57c-176768104c81,5b95313a-6c03-4454-e4fa-3c33382680e3,sample_text_6859,2026-03-03T14:25:49.191Z,2025-10-13T16:10:33.545Z,541,253,352,294.94,902.55,449.77,733.8,658.85,238.22,sample_text_1948,true,sample_text_147,2026-01-23T01:26:53.151Z
a3c37c44-a013-4d87-42c4-aeb8ffdd2dc9,2025-08-06T09:32:58.990Z,2bd4f3bc-df4b-49c7-997f-c11868da495a,70a54517-6a84-4f2b-0012-e091aea06cfb,sample_text_9762,2025-08-13T02:14:10.143Z,2026-03-26T00:14:49.613Z,309,522,33,520.62,247.53,707.64,696.6,79.74,433.89,sample_text_5336,false,sample_text_6964,2025-04-20T04:47:56.720Z
b3f39cbf-2f74-46d5-9fbf-8d0f7b545ba9,2025-07-19T12:02:27.186Z,f3e56a9d-701d-4138-17b4-468168466ac1,0e0f4c01-c760-4d52-7c20-e4755ceb5c97,sample_text_4230,2025-08-19T18:39:00.392Z,2025-04-30T02:35:52.222Z,547,996,803,938.79,984.29,983.23,475.35,907.35,609.81,sample_text_6308,true,sample_text_5299,2026-01-23T15:45:32.626Z
689d2a34-b701-421c-96d9-dbccb4308641,2025-07-29T18:49:30.926Z,219980cb-3f77-4414-faeb-5f70b1472a36,a5633500-6373-4169-7d21-5b951a759811,sample_text_5141,2025-04-17T10:23:49.853Z,2025-12-04T16:35:30.856Z,226,149,941,503.37,90.61,457.06,53.81,182.58,905.48,sample_text_9007,false,sample_text_1434,2026-03-28T23:38:15.867Z
aafd5617-ca04-499d-7cc6-d1db03588d89,2025-07-16T10:56:48.503Z,7006fd96-e3f8-4225-33e4-be34d610ffbb,f80bad2e-7c5e-44d2-4b10-c35f8bcf39d8,sample_text_2208,2025-05-28T09:04:18.672Z,2025-04-12T14:39:02.692Z,505,54,596,360.02,494.58,697.32,176.89,126.24,274.94,sample_text_4526,true,sample_text_1261,2026-01-08T20:47:23.910Z
a4119884-c7b6-4255-5a6f-1645c1db0975,2025-12-27T07:45:43.397Z,fecc715c-91cf-4144-4e6d-27d53565cfa5,9d4ad509-b312-4e93-1c15-3a3e8aeed2c0,sample_text_7821,2025-05-21T01:57:14.920Z,2025-07-16T10:39:35.073Z,80,921,91,85.36,925.42,952.78,541.19,375.59,77.68,sample_text_7937,false,sample_text_388,2025-09-05T05:32:18.305Z
36704243-550a-4425-1bd1-c491ba0cf875,2025-06-11T03:21:39.431Z,aed83b90-feeb-480d-e57c-176768104c81,99802c72-29db-46cc-83bb-cfbff82cd086,sample_text_7870,2026-03-02T13:20:48.533Z,2026-01-29T23:20:27.357Z,946,604,32,928.46,125.78,896.99,905.83,733,690.84,sample_text_207,true,sample_text_1358,2025-10-27T12:46:47.936Z
5e73e544-2e9d-46be-d931-cd753715d3f7,2025-07-15T18:24:06.460Z,615ffcad-04ca-4584-4505-45cbefd50d58,11227f85-7942-4dd4-a923-849e24255b42,sample_text_8280,2025-11-15T14:32:12.826Z,2026-02-26T19:39:34.093Z,230,549,751,184.13,909.64,763.42,215.64,630.34,658.72,sample_text_5298,false,sample_text_8414,2026-03-01T03:47:40.200Z
3ba686a2-45d5-46ce-676e-e8553995651b,2025-11-04T16:21:36.322Z,2e842555-494e-4eac-25b2-d2a4430cc9ed,338601fc-d3a3-4a67-3509-9a7caf72e0a7,sample_text_8827,2025-06-30T11:13:47.339Z,2026-01-03T17:34:58.850Z,224,129,681,459.36,141.62,526.02,614.09,159.67,372.25,sample_text_4574,true,sample_text_5855,2025-08-03T02:34:26.473Z
ad95bb42-1e47-46ad-c5c2-7a9e87979ce1,2025-06-29T03:53:02.938Z,291d99ad-c85c-4557-8915-25527607d5cf,83aa8c93-79c8-42e1-1b1e-8ca474ad1bbe,sample_text_2359,2025-06-04T09:22:38.740Z,2025-06-03T01:28:28.651Z,460,833,822,135.4,867.71,897.58,882.81,922.62,317.3,sample_text_2662,true,sample_text_6906,2025-07-02T19:25:07.441Z
3519881d-1d16-4166-3c8d-f1c02fccb606,2025-11-04T08:26:46.687Z,2e842555-494e-4eac-25b2-d2a4430cc9ed,dc904175-347a-4715-35d5-f9d315c23487,sample_text_2123,2025-11-04T22:26:40.328Z,2025-10-25T06:43:11.407Z,265,158,858,739.36,375.8,836.31,916.5,756.71,662.43,sample_text_5024,true,sample_text_5618,2025-08-24T14:02:46.065Z
00ab3535-04b8-4dd0-6134-b8a30821db8a,2025-06-30T04:08:23.235Z,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,99802c72-29db-46cc-83bb-cfbff82cd086,sample_text_3256,2026-01-19T11:07:36.881Z,2026-01-13T21:27:08.152Z,134,396,200,374.91,932.97,409.9,235.3,162.57,596.3,sample_text_8231,false,sample_text_2562,2025-10-25T00:56:15.228Z
43713306-6a44-4603-54fa-fa0e1bd75a59,2025-12-16T11:34:37.089Z,661bcb95-f84e-4871-e1c4-675bf8171439,edfa7eba-68e3-43d2-6209-06391e3461d3,sample_text_8323,2025-11-18T14:05:14.579Z,2025-05-20T14:35:02.970Z,761,581,121,456.41,263.18,608.91,719.16,384.82,806.7,sample_text_7149,true,sample_text_1612,2025-08-04T03:57:31.172Z
90d718dd-2008-46c7-8e33-83c7a76d8e64,2025-07-06T22:46:33.479Z,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,a1f30e02-a3b3-4ee1-4e8a-1f2796ca0f17,sample_text_6323,2025-05-19T17:23:57.307Z,2025-06-19T01:52:31.722Z,636,143,829,656.91,83.96,308.33,36.16,718.71,153.69,sample_text_8307,true,sample_text_1861,2025-08-06T14:11:59.591Z
5bac4565-6ead-4885-f00a-9130e408d0ce,2025-06-08T03:42:40.640Z,5b1b6bbb-ac85-477d-9a11-d480281a4b21,dc90b501-b502-40f5-d807-924e1428083d,sample_text_2556,2026-02-26T15:56:21.434Z,2025-06-21T19:42:30.880Z,79,963,597,248.2,107.08,770.13,892.5,961.26,999.31,sample_text_3051,true,sample_text_844,2025-09-11T03:40:34.411Z
89893c45-710e-4860-77d9-92b7e483c580,2025-10-11T18:06:39.008Z,c41be56c-1b03-4f83-3798-7ff82c84c273,c19aa16e-fa66-4f77-16fc-deabf85c047f,sample_text_5041,2025-12-18T14:20:38.630Z,2025-08-16T00:43:31.999Z,305,585,835,294.25,359.16,624.68,371.24,735.26,910.87,sample_text_5020,true,sample_text_5874,2025-12-03T23:33:09.512Z
e3b8be25-ca69-41c2-8a9c-f27d9140001b,2025-06-27T20:59:01.857Z,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,39329d12-3bfe-4809-48ac-bfd9de82b51d,sample_text_4163,2025-11-19T12:34:24.636Z,2025-08-24T01:20:33.384Z,462,774,990,554.76,192.25,451.75,568.48,945.44,949.65,sample_text_6578,false,sample_text_5771,2026-02-28T19:45:31.086Z
5cad406a-e60f-49ce-ffd8-f63e2dd5b8bb,2026-03-13T07:43:47.932Z,94519cc1-bdc7-4549-769e-8964efcea7c6,edfa7eba-68e3-43d2-6209-06391e3461d3,sample_text_2349,2025-11-12T07:29:51.128Z,2025-04-28T10:38:51.709Z,816,221,822,846.64,832.3,498.76,616.36,612.67,926.71,sample_text_2550,true,sample_text_2460,2025-08-25T07:54:51.853Z
f8808a72-a230-4155-0f66-dc6c93c4b220,2025-12-04T21:21:20.004Z,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,9d4ad509-b312-4e93-1c15-3a3e8aeed2c0,sample_text_86,2025-05-24T16:54:11.502Z,2026-03-26T00:37:09.595Z,113,991,494,416.69,267.42,977.82,553.71,788.12,702.02,sample_text_1531,false,sample_text_7425,2025-07-22T10:26:54.057Z
cd2f1de7-195b-43b5-ab62-01da2c3b1428,2025-05-15T02:22:18.697Z,2e858920-a13b-46d3-3f94-8050bb03f098,c44765c5-fef7-4425-8fec-6518509fa281,sample_text_9537,2025-07-15T12:38:09.272Z,2025-05-29T15:37:51.196Z,814,539,284,666.62,964.9,957.32,735.22,310.74,86.35,sample_text_886,false,sample_text_2850,2026-01-30T01:19:43.710Z
830fb30b-b3fb-4bae-c45c-93f54fe29318,2025-09-03T15:37:48.445Z,521d1584-627e-495f-893e-82a12f5344be,dc904175-347a-4715-35d5-f9d315c23487,sample_text_4658,2025-11-17T04:53:02.055Z,2025-08-03T13:09:16.843Z,98,317,602,349.35,357.99,987.62,83.78,227.51,404.59,sample_text_8651,true,sample_text_8407,2025-11-16T20:08:58.748Z
7446d680-1f7d-4c13-1a61-8c79ec8daaef,2025-10-10T18:55:49.604Z,4c81bc97-321d-48c5-d316-8243b2e8187e,641acc8c-ff63-4644-733b-3aeee767a76d,sample_text_3226,2025-05-10T11:25:39.428Z,2025-07-02T16:11:16.974Z,254,111,762,344.51,441.43,843.7,837.99,566.35,102.92,sample_text_989,false,sample_text_4100,2026-02-08T02:33:20.102Z
d3f45289-b275-4845-1b4f-4fe8468aaff1,2025-10-08T17:04:25.962Z,2a4e5e57-fab3-47be-aa17-438ff8cedd26,b1ae47bd-a9cc-4452-cc1f-6e8a2d2cdd9e,sample_text_5883,2026-03-05T19:55:14.459Z,2025-10-11T21:08:55.045Z,285,766,795,320.61,351.53,469.74,828.69,416.86,882.3,sample_text_4715,false,sample_text_7829,2026-02-04T16:32:28.173Z
461ceaf5-6588-4569-2c9f-317bec32449f,2026-04-04T06:57:03.102Z,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,2224c2f4-90b7-4075-7afa-59b67fbee93b,sample_text_3980,2026-03-31T14:32:43.506Z,2025-12-05T17:00:28.795Z,818,105,825,565.16,160.2,159.5,929.87,104.92,212.6,sample_text_1153,true,sample_text_3253,2026-03-08T03:54:49.487Z
