id,created_at,updated_at,user_id,email_notifications,push_notifications,digest_frequency,alert_critical_students,alert_attendance_drops,alert_assessment_results,alert_intervention_updates,alert_system_updates,theme,compact_mode,show_student_photos,default_dashboard,date_format,number_format,reduce_motion,high_contrast,share_usage_data,custom_preferences
e2fe03d8-4a93-43be-9fc6-a07a3c771ab7,2025-07-15T19:02:37.792Z,2026-02-08T08:06:18.760Z,cb8fa579-1a0f-4b56-d0df-17115e069361,true,false,sample_text_6159,true,true,false,true,true,sample_text_4739,true,false,sample_text_9639,sample_text_7769,sample_text_3125,false,true,true,sample_text_2712
cf708ade-9e15-4d1a-997a-83562541ca9b,2025-06-21T02:40:26.691Z,2026-03-19T08:14:36.658Z,addfc86c-41af-41c3-ce53-f3cc7fcccdf6,false,true,sample_text_5182,true,true,false,true,true,sample_text_5616,true,false,sample_text_6662,sample_text_5922,sample_text_2869,true,true,true,sample_text_3225
35a1855f-6051-4534-801c-6286ec0952db,2025-04-18T00:58:39.669Z,2025-07-12T09:09:31.274Z,af45888d-3cda-415b-1d81-91022a417bde,true,true,sample_text_6626,false,true,true,false,false,sample_text_3605,true,false,sample_text_381,sample_text_6928,sample_text_5932,true,false,false,sample_text_1306
ea94be9a-e368-42e1-918b-35980b802688,2026-03-22T07:56:03.705Z,2025-12-17T22:29:20.116Z,ea49fb72-2050-42e2-81c3-091e5dbcc276,false,true,sample_text_1509,true,true,false,true,false,sample_text_5904,false,false,sample_text_3461,sample_text_6465,sample_text_9124,true,false,false,sample_text_747
3542444c-d7f7-4220-f2ee-1ee7a004ce98,2025-04-27T04:45:22.102Z,2026-02-24T07:38:47.405Z,616cd82a-150d-43e4-e90b-50dd3877886b,false,false,sample_text_8902,false,true,false,true,true,sample_text_9975,false,false,sample_text_6468,sample_text_281,sample_text_3028,true,false,false,sample_text_6286
598714f3-af52-45e7-a2ff-1ac695dd71a3,2025-11-29T06:50:28.955Z,2025-06-27T10:17:21.232Z,ade33206-8c00-4f20-4bf1-7781c1eb9609,false,false,sample_text_1416,false,true,true,true,true,sample_text_3107,true,false,sample_text_2739,sample_text_78,sample_text_1692,true,false,false,sample_text_6987
59d2f7cb-7a63-4807-1f81-ba52cc794ed8,2025-11-03T13:45:46.935Z,2025-07-29T09:04:39.243Z,616cd82a-150d-43e4-e90b-50dd3877886b,false,false,sample_text_5707,false,false,true,true,false,sample_text_6286,true,false,sample_text_5777,sample_text_9944,sample_text_6829,true,true,false,sample_text_4531
577b6549-2bbe-4833-c88e-f8e2be88aa09,2025-08-23T12:54:43.599Z,2025-06-23T13:33:11.752Z,5bbe0d79-fac8-4b07-36d1-5a4ce3a79f5a,false,true,sample_text_2249,true,true,true,false,true,sample_text_2274,false,true,sample_text_4301,sample_text_3155,sample_text_7613,true,true,false,sample_text_5866
e8895b57-8d34-41e8-714e-100eb6067381,2026-04-09T20:30:02.735Z,2025-09-18T13:33:49.454Z,7a4c360c-bb74-4deb-f15e-c8b948e7a622,false,false,sample_text_2684,true,true,true,true,false,sample_text_6543,true,true,sample_text_1794,sample_text_5442,sample_text_3830,false,true,true,sample_text_4935
ba0751fe-24f9-46fc-f552-edf3f71c20e5,2025-11-23T02:18:21.417Z,2025-06-02T19:19:27.276Z,a7fdde05-87ad-4532-1887-2448d13ec652,false,true,sample_text_5274,false,true,false,false,false,sample_text_4727,true,false,sample_text_3053,sample_text_6418,sample_text_6807,true,false,true,sample_text_7715
a570d8af-68ae-4f65-1a55-fc2a936f27c2,2025-09-26T16:34:24.889Z,2025-07-01T10:50:38.686Z,6cd68fef-f7ed-4b57-a09f-e6e7ee2302bd,false,false,sample_text_5395,false,true,false,true,false,sample_text_953,false,false,sample_text_1586,sample_text_9474,sample_text_2015,true,false,false,sample_text_2185
97b7d667-1122-41df-f6ee-a00369fa77cf,2025-12-18T23:40:15.492Z,2025-08-24T13:32:51.869Z,72571b3c-f6ea-4a2a-2118-2d3a77def4dd,true,true,sample_text_9636,true,false,false,true,false,sample_text_4692,false,true,sample_text_9378,sample_text_3701,sample_text_3978,true,false,true,sample_text_1570
c7cf35e5-6dea-478d-1111-0fe3834d1deb,2025-07-05T21:21:57.661Z,2026-01-17T11:47:04.420Z,74bd910d-f592-4d1d-0e88-4bd9512f610b,false,true,sample_text_4682,false,true,true,false,false,sample_text_5780,true,false,sample_text_6231,sample_text_9730,sample_text_6479,true,false,false,sample_text_3116
48e5cca4-dd02-463b-df47-7ab3473e0d01,2025-05-03T18:18:24.157Z,2025-11-18T20:08:19.437Z,91481a49-39f6-4c85-9a87-3de01f285177,true,true,sample_text_7491,false,false,true,false,false,sample_text_4542,true,true,sample_text_3775,sample_text_3882,sample_text_8413,true,false,false,sample_text_8489
b872d54f-e5e4-4c49-d259-b347d54bd24b,2025-06-28T06:27:20.548Z,2025-09-03T17:04:58.335Z,91481a49-39f6-4c85-9a87-3de01f285177,true,true,sample_text_161,false,true,true,false,false,sample_text_8054,false,false,sample_text_5507,sample_text_8892,sample_text_726,true,true,false,sample_text_6695
62932ff0-46e4-484a-a2d3-7fd451f21bce,2025-06-08T03:54:20.009Z,2025-06-04T20:22:51.992Z,b941f6ec-4ce0-4310-9221-6be0482727a0,true,true,sample_text_4536,false,false,false,true,false,sample_text_6160,true,false,sample_text_3821,sample_text_8741,sample_text_3842,false,false,true,sample_text_1156
8dcb8d6d-f488-46f4-79be-250fa331cdf5,2026-03-25T15:31:41.437Z,2025-04-23T00:35:56.963Z,074f3f9d-1d98-495a-36ce-ea4c10de32e7,true,false,sample_text_3288,false,true,false,false,true,sample_text_5828,false,false,sample_text_4204,sample_text_3486,sample_text_2065,true,false,false,sample_text_6890
129b965e-3c0b-4d1d-3213-dbec670a9eab,2025-12-20T18:03:29.186Z,2025-10-15T13:39:49.799Z,7a4c360c-bb74-4deb-f15e-c8b948e7a622,true,false,sample_text_5507,false,true,true,true,false,sample_text_9320,false,false,sample_text_4518,sample_text_6138,sample_text_2946,true,true,true,sample_text_8769
a9b013c4-6855-4657-c353-959e499ec492,2026-04-04T12:01:13.955Z,2025-06-15T01:53:15.364Z,367ec86b-33cc-4e1c-99be-6d4f3680b591,false,true,sample_text_8304,false,false,false,true,false,sample_text_1264,true,false,sample_text_3062,sample_text_1154,sample_text_5115,false,false,true,sample_text_2792
ffee7046-9c56-4383-885d-38fb0e8be97e,2026-01-20T14:59:52.627Z,2025-06-23T20:32:29.186Z,4983674c-e15e-4015-0eb3-50b01d7810f8,true,true,sample_text_1344,true,true,false,true,true,sample_text_804,false,false,sample_text_6562,sample_text_7368,sample_text_1761,false,true,true,sample_text_283
313e5700-b717-47c6-f722-d00a16c9be70,2026-02-13T08:50:29.512Z,2025-05-02T14:59:30.174Z,b941f6ec-4ce0-4310-9221-6be0482727a0,true,true,sample_text_5110,false,true,false,false,true,sample_text_6227,false,true,sample_text_113,sample_text_6721,sample_text_2230,false,true,false,sample_text_6051
8d68b3ca-f305-4a93-4824-4118a0105dd7,2025-05-25T15:47:53.932Z,2026-01-08T15:04:44.505Z,1f8bb59a-e0eb-4b2b-fe13-07a0c2675cb8,false,true,sample_text_9205,true,false,false,false,true,sample_text_1540,true,true,sample_text_6826,sample_text_7864,sample_text_5629,true,true,true,sample_text_2520
faf307c9-37d7-41ce-1b2f-2bb138366a3c,2025-07-18T22:04:15.182Z,2025-05-01T10:03:00.109Z,367ec86b-33cc-4e1c-99be-6d4f3680b591,true,true,sample_text_905,false,true,false,true,false,sample_text_5035,true,false,sample_text_1846,sample_text_9802,sample_text_1585,false,true,true,sample_text_5140
58d04680-7705-4c17-9726-3ebc6ddaeee0,2025-06-28T09:11:34.105Z,2025-12-21T18:30:30.603Z,7eb2d58e-90b4-4cb6-235b-f52575ca8c43,true,true,sample_text_2575,false,false,false,false,true,sample_text_343,true,true,sample_text_1627,sample_text_7128,sample_text_6129,false,false,true,sample_text_4461
4013140d-69e9-48ab-0a64-1a6f731ab583,2025-06-01T13:57:20.315Z,2026-01-23T14:42:47.545Z,fa8263d2-b6b1-4514-4f07-6307b13d93f7,false,true,sample_text_6942,false,true,false,true,true,sample_text_3589,true,true,sample_text_888,sample_text_6706,sample_text_3836,false,true,true,sample_text_6758
54b1041b-d85a-43de-b63a-661562fdbea4,2025-10-03T09:43:33.019Z,2025-09-02T04:29:16.663Z,b19a9a30-5bc1-42f9-ac14-0842a27abbe0,false,true,sample_text_8698,false,true,false,false,false,sample_text_5425,true,true,sample_text_1198,sample_text_908,sample_text_6047,true,true,false,sample_text_6535
5b280a90-a707-4799-d9a2-028093efc902,2025-08-08T18:55:41.331Z,2026-03-04T02:00:37.481Z,b8378524-c3b6-4652-6983-adbddb7aa9dd,false,true,sample_text_3258,true,false,false,true,false,sample_text_6830,true,true,sample_text_9703,sample_text_3492,sample_text_9746,false,true,false,sample_text_7692
03025007-a496-4c4d-37ba-262f9a339f53,2025-04-29T11:40:59.483Z,2025-04-30T05:35:08.025Z,7eb2d58e-90b4-4cb6-235b-f52575ca8c43,false,true,sample_text_5077,false,false,true,true,true,sample_text_1280,false,false,sample_text_2776,sample_text_5877,sample_text_1207,false,false,false,sample_text_5662
6df1b9a0-5faa-4bdd-62e7-67402f629537,2026-01-27T08:42:14.004Z,2025-08-31T13:16:14.888Z,034eaa7e-6ebe-4134-5494-fbfbc43c72ec,true,false,sample_text_3468,true,false,false,true,true,sample_text_6883,false,false,sample_text_9072,sample_text_6096,sample_text_659,false,true,false,sample_text_8612
9bf7db89-70e6-4667-a0e8-473431eca7e1,2025-07-20T13:10:17.898Z,2025-05-27T09:11:16.987Z,59b39d5f-196d-4a89-1b1d-30029759628a,true,true,sample_text_801,false,true,true,true,true,sample_text_1695,false,true,sample_text_9905,sample_text_6799,sample_text_9130,false,true,false,sample_text_6230
3ec4398d-8f59-4b84-33e1-c034b3147113,2026-04-09T21:23:12.478Z,2026-04-07T09:17:23.328Z,7a4c360c-bb74-4deb-f15e-c8b948e7a622,true,false,sample_text_5269,true,true,false,true,true,sample_text_8729,false,true,sample_text_3810,sample_text_4798,sample_text_3976,true,true,true,sample_text_4056
3969ffba-9edf-4d34-c2d3-7477d071f7b9,2026-03-15T09:20:50.955Z,2025-11-18T08:27:25.681Z,74bd910d-f592-4d1d-0e88-4bd9512f610b,true,true,sample_text_1620,true,true,false,true,false,sample_text_3142,false,true,sample_text_3763,sample_text_9042,sample_text_2153,true,true,true,sample_text_7529
952b4d82-7bef-45b7-6c97-55b081115427,2025-09-02T12:07:34.885Z,2026-01-03T17:43:59.475Z,54566fd8-2ce9-43f1-d9c4-3262fe0540e9,true,false,sample_text_2195,false,false,true,false,true,sample_text_4628,true,false,sample_text_8073,sample_text_4397,sample_text_458,true,true,false,sample_text_4706
84f90763-2304-4ea4-68d0-5ad5fb67ecd6,2025-05-25T07:26:31.104Z,2026-03-20T13:55:14.228Z,fa8263d2-b6b1-4514-4f07-6307b13d93f7,false,true,sample_text_8118,true,false,true,false,false,sample_text_9712,false,true,sample_text_1773,sample_text_5832,sample_text_165,true,true,false,sample_text_4128
958c37d3-2304-448c-2a4d-a569ecfbc3b0,2025-11-29T08:25:16.293Z,2026-01-21T07:29:44.163Z,b19a9a30-5bc1-42f9-ac14-0842a27abbe0,false,true,sample_text_2286,false,false,false,false,false,sample_text_1247,true,false,sample_text_9789,sample_text_7145,sample_text_4371,true,false,true,sample_text_4320
56b66c8e-598c-4b60-8cc6-5ed7b18bea26,2025-06-16T16:11:16.011Z,2025-08-10T03:18:00.063Z,367ec86b-33cc-4e1c-99be-6d4f3680b591,true,false,sample_text_3122,false,true,true,false,false,sample_text_7200,true,true,sample_text_4546,sample_text_5159,sample_text_4175,true,true,true,sample_text_3613
e4b37ba8-91e6-42ce-d2da-f2376e5134f3,2025-11-29T15:31:02.614Z,2025-07-22T18:47:47.544Z,65b719d4-a6d4-4c9f-1165-ea0ebe168811,false,true,sample_text_9527,true,true,false,true,false,sample_text_2989,true,true,sample_text_544,sample_text_6924,sample_text_5792,false,false,false,sample_text_6741
10742262-2ca3-47fd-ecf6-b64661a35c0a,2025-05-10T20:14:38.647Z,2025-07-04T16:36:09.460Z,5b22fa71-538f-4f40-5599-52754e6eb443,false,true,sample_text_3031,true,true,true,true,false,sample_text_7597,false,true,sample_text_8374,sample_text_2307,sample_text_4135,true,true,false,sample_text_5407
6b7b6d47-cafb-42ec-7103-646684fdfb2a,2025-05-22T07:29:47.920Z,2025-07-08T15:29:55.883Z,234b0627-79ac-4de2-9e5f-3deaab1f438f,false,true,sample_text_2909,false,false,true,false,true,sample_text_26,false,false,sample_text_3376,sample_text_118,sample_text_2485,true,true,false,sample_text_2660
b825f268-cf04-44de-9058-ab6a3d31f41a,2025-11-06T05:42:11.865Z,2025-12-19T06:55:05.313Z,8ac01f7d-9c30-4771-a900-d8fc5dd68b28,false,false,sample_text_1117,false,false,true,true,false,sample_text_7646,true,false,sample_text_4021,sample_text_1441,sample_text_8770,false,true,false,sample_text_8842
751c630d-e422-4ba4-edaa-68f48a4a2ed9,2026-03-08T10:24:09.049Z,2025-08-30T19:45:55.337Z,cb8fa579-1a0f-4b56-d0df-17115e069361,true,false,sample_text_5581,true,false,true,true,true,sample_text_2746,false,true,sample_text_1699,sample_text_5446,sample_text_9954,true,false,false,sample_text_345
e630eacc-37d2-48a7-8f7e-a6e693b18145,2025-05-17T00:54:40.879Z,2026-01-07T13:22:38.148Z,addfc86c-41af-41c3-ce53-f3cc7fcccdf6,false,false,sample_text_5115,true,true,false,true,false,sample_text_1945,true,false,sample_text_6174,sample_text_1294,sample_text_8805,false,false,false,sample_text_2693
b29ce89c-198e-40ec-599c-922093db13ae,2026-03-28T00:47:58.768Z,2026-01-03T07:19:52.211Z,7a4c360c-bb74-4deb-f15e-c8b948e7a622,true,false,sample_text_5739,true,true,true,true,true,sample_text_135,false,true,sample_text_3640,sample_text_5762,sample_text_3211,false,true,true,sample_text_9442
7d94adc0-1aff-40ff-baf9-b41f08704194,2026-02-12T17:36:47.778Z,2025-12-03T06:21:45.565Z,b68d9d85-277a-4f14-1564-cbb9598388f9,true,false,sample_text_6360,false,false,false,true,false,sample_text_2497,true,false,sample_text_3155,sample_text_1363,sample_text_2860,true,true,false,sample_text_9405
66616246-a68d-482e-b375-47715b97c913,2025-06-18T17:47:29.017Z,2025-06-18T11:26:23.570Z,760e9861-7716-4fc7-6676-f5213f248cda,true,false,sample_text_6936,true,true,true,true,true,sample_text_146,true,true,sample_text_6209,sample_text_6367,sample_text_404,false,false,true,sample_text_8167
2270d347-51d8-47dd-aef9-33dbb49d0386,2025-09-14T14:45:49.086Z,2026-02-16T18:00:29.582Z,7275a4a2-65a3-47ed-3d1e-7026f453021d,false,false,sample_text_4465,false,true,true,true,false,sample_text_4170,false,false,sample_text_5539,sample_text_6076,sample_text_2477,true,false,true,sample_text_2709
d817cd1d-6005-4cbe-0771-e6b97bf9cba6,2025-08-19T11:05:11.142Z,2026-04-03T17:20:48.362Z,367ec86b-33cc-4e1c-99be-6d4f3680b591,true,true,sample_text_5256,false,false,false,false,true,sample_text_8859,false,true,sample_text_4778,sample_text_367,sample_text_4253,true,true,false,sample_text_6559
0dccec71-8d7b-4113-23a7-552549a66655,2025-08-03T17:10:37.921Z,2025-09-09T18:03:42.759Z,e4b1ae0d-39bf-42a5-dfb9-7a9275ba3f82,false,true,sample_text_1590,false,false,true,false,false,sample_text_9647,false,false,sample_text_504,sample_text_1736,sample_text_3617,true,false,true,sample_text_2095
2604db96-e019-410b-b760-ca3f6ff8d4dc,2025-05-15T16:47:07.055Z,2026-02-15T02:32:11.606Z,addfc86c-41af-41c3-ce53-f3cc7fcccdf6,true,false,sample_text_629,false,true,false,true,true,sample_text_1476,true,true,sample_text_3000,sample_text_481,sample_text_6211,true,true,true,sample_text_9597
7a6d601d-3c09-4759-73bf-f859e6b777f0,2025-07-14T20:53:38.098Z,2025-05-13T20:03:12.616Z,59b39d5f-196d-4a89-1b1d-30029759628a,false,true,sample_text_7212,false,false,false,true,false,sample_text_4374,true,false,sample_text_8840,sample_text_1691,sample_text_8161,false,true,true,sample_text_6742
f74d6f3c-90b4-4bc9-9494-c296dc15640f,2025-11-07T03:59:44.367Z,2025-12-05T21:46:47.193Z,7d07d517-dedd-404d-c698-f00e2aeb820f,true,false,sample_text_7951,false,false,true,true,false,sample_text_4168,true,false,sample_text_2257,sample_text_1514,sample_text_354,true,true,false,sample_text_6326
23394495-7866-4505-04a7-71b7c5232675,2026-01-17T13:07:50.844Z,2026-02-12T15:16:03.126Z,e4a45791-4bec-432e-83c4-834772750abf,false,false,sample_text_1412,false,false,true,false,true,sample_text_6928,true,true,sample_text_1173,sample_text_4138,sample_text_4907,true,false,true,sample_text_203
477fa558-dfaa-408d-a701-5c9298bea47c,2025-05-15T08:25:50.589Z,2025-07-21T20:21:30.603Z,e2e59b60-b37d-4442-b14f-f66ec99cab25,true,false,sample_text_2545,false,true,false,false,true,sample_text_9771,true,false,sample_text_2511,sample_text_7719,sample_text_9306,true,true,false,sample_text_9076
d54d94a9-87c3-44f1-c986-9ef3b42a5e80,2025-06-14T23:57:41.532Z,2026-01-15T07:05:00.957Z,af45888d-3cda-415b-1d81-91022a417bde,false,false,sample_text_3127,true,false,true,true,false,sample_text_3961,false,true,sample_text_4120,sample_text_141,sample_text_298,false,true,false,sample_text_4038
5be3a4ba-ff7d-4be5-5860-fb344b73dfb3,2025-10-14T03:59:04.203Z,2025-08-15T03:20:56.019Z,db60da3b-65f5-43f8-0cf6-3a1af6e416bd,false,false,sample_text_8073,false,false,true,true,false,sample_text_9257,true,false,sample_text_5611,sample_text_4721,sample_text_5237,true,true,false,sample_text_7693
61722b40-b9ec-411d-d20a-9e4bd8d00995,2026-01-11T11:04:21.378Z,2025-11-22T09:35:46.798Z,034eaa7e-6ebe-4134-5494-fbfbc43c72ec,false,false,sample_text_5469,true,true,true,false,false,sample_text_9293,false,false,sample_text_1233,sample_text_9668,sample_text_4534,false,false,true,sample_text_7892
f9d31ef1-bf55-418c-d19c-711ef525e6ba,2025-09-11T10:29:38.340Z,2025-06-01T07:04:20.365Z,6601188e-454e-46f8-39d3-12e3a2450d73,true,true,sample_text_7710,true,true,false,true,true,sample_text_1498,false,true,sample_text_1500,sample_text_7024,sample_text_270,true,false,true,sample_text_3485
056d1634-e19b-439d-3f12-ce227060f5f5,2025-06-12T18:16:57.484Z,2026-01-16T02:09:11.817Z,e4a45791-4bec-432e-83c4-834772750abf,false,true,sample_text_1362,false,true,true,false,true,sample_text_2910,false,false,sample_text_8476,sample_text_7939,sample_text_1837,false,true,true,sample_text_9106
3a5de4bf-4be3-4b1a-4182-a32ed0b9499b,2025-11-11T21:35:08.798Z,2026-04-10T23:07:38.734Z,e4b1ae0d-39bf-42a5-dfb9-7a9275ba3f82,true,true,sample_text_9318,false,true,true,true,false,sample_text_2251,true,false,sample_text_3919,sample_text_416,sample_text_3109,true,false,false,sample_text_2549
