id,school_id,user_id,provider,model,feature,input_tokens,output_tokens,total_tokens,cost_cents,latency_ms,success,error_message,anonymization_level,student_count,pii_detected,audit_id,created_at
5fb3e245-15df-47f1-9a4e-bffe2b2077ef,7cc152ca-2334-4efd-8c58-4327009bcdb6,93b10bff-e19e-40cc-2484-267fde0c1dd9,sample_text_1962,sample_text_5407,sample_text_1885,501,487,15,64,979,false,sample_text_6594,sample_text_1648,6952,true,sample_text_2162,2025-05-26T18:57:31.203Z
e0f03525-b816-40b5-b4aa-70c73648f68d,aed83b90-feeb-480d-e57c-176768104c81,ef9038d2-4500-4080-f39d-a106b86584a5,sample_text_8800,sample_text_8125,sample_text_6636,63,614,325,467,949,false,sample_text_4386,sample_text_6475,5876,true,sample_text_3523,2025-11-16T19:25:26.391Z
da4e2dff-adb8-4140-eca4-c5488bf42a99,13f8f388-7de1-4383-f922-a0d8a397e76c,f4380641-4eec-4835-b907-211214c3ab94,sample_text_626,sample_text_6915,sample_text_7182,746,126,277,266,879,true,sample_text_5247,sample_text_7994,1444,true,sample_text_7834,2025-06-28T17:39:17.441Z
05943513-1bba-4120-924a-4ba5ac35a071,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,dd273086-3a8e-4d0b-92e2-814533b886f8,sample_text_8802,sample_text_443,sample_text_70,902,783,834,841,965,true,sample_text_6782,sample_text_2461,4477,true,sample_text_5524,2025-06-22T19:48:22.096Z
954fe420-f913-4f56-d477-1a149088bd27,0898bc8a-8083-4b0c-faf9-0f5d0224e73e,7c6c01bd-0248-4075-acc4-53e035821a56,sample_text_2406,sample_text_4226,sample_text_3776,445,695,978,905,650,true,sample_text_7889,sample_text_2325,3665,true,sample_text_6833,2026-01-09T03:48:53.184Z
67295406-ace5-4660-933a-992fc249d4c1,94519cc1-bdc7-4549-769e-8964efcea7c6,41899235-9629-420a-9f68-faa8b15b9665,sample_text_768,sample_text_9026,sample_text_2373,668,475,9,305,821,true,sample_text_5015,sample_text_6922,1710,true,sample_text_7906,2025-08-25T14:01:36.148Z
43578712-a512-4de7-ec42-fab4dfa93013,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,15e8edb4-091b-4a44-c705-33ecefdf4ceb,sample_text_5790,sample_text_2768,sample_text_5133,742,965,546,278,48,true,sample_text_7876,sample_text_4253,5072,false,sample_text_1813,2026-01-27T18:29:39.649Z
c235d1d9-992e-49ba-e81a-366d5e8b535f,545d1106-2b34-4e12-24da-7673253ca1d7,850ec2b0-14e8-403d-2a33-d85d6e10f387,sample_text_6648,sample_text_8009,sample_text_7139,918,675,295,651,249,true,sample_text_7526,sample_text_6158,9885,true,sample_text_1152,2025-07-09T07:05:27.879Z
c025cca3-3ceb-4bdb-4191-1f8d1ebbad04,24557b57-0c13-4c0c-a3e9-39903a1a94a3,5634d3e4-5c8d-4e22-8c05-a446f4868eb8,sample_text_9831,sample_text_5294,sample_text_3863,585,213,221,885,703,true,sample_text_5392,sample_text_9413,8394,true,sample_text_8841,2025-05-03T01:09:01.250Z
d3e9c95b-2ac1-4157-e630-3e0088c1b590,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,bb61bc85-6a98-466a-d70e-50bef7034c8c,sample_text_3861,sample_text_5766,sample_text_6961,477,18,927,364,798,true,sample_text_3838,sample_text_9383,2930,true,sample_text_6257,2025-11-25T02:36:40.785Z
9a94de26-938b-48c9-07ae-c2269fb53824,00e48b05-b6cb-410f-1525-6668c44bdb40,aa8731fa-2988-4b67-8419-5acfec5bcd73,sample_text_3648,sample_text_6939,sample_text_4834,785,136,486,12,499,false,sample_text_9539,sample_text_9501,4192,false,sample_text_6151,2025-05-23T06:30:44.514Z
9dae4211-c900-4880-1bd7-484c2bf9ad79,f0fe80e2-ee98-4631-fd46-bedaa4937130,5f878572-a2a2-4d36-9572-de8aa6192381,sample_text_4004,sample_text_5933,sample_text_6344,638,303,284,765,200,false,sample_text_6165,sample_text_8187,2148,false,sample_text_4582,2025-12-16T03:13:18.986Z
88ffbdbf-e24c-4dad-caae-77a830c272eb,e112e16e-d7d4-47de-a1f6-038db1f702ae,f50a53ae-e5aa-402b-7fcd-ef22de2b0489,sample_text_4975,sample_text_3804,sample_text_6980,734,335,928,994,159,true,sample_text_7709,sample_text_6294,4263,false,sample_text_6024,2025-07-22T05:35:01.395Z
365bc03c-9404-4af2-cd6a-cf80e88a02b5,e112e16e-d7d4-47de-a1f6-038db1f702ae,4fc93e7c-058f-4d6d-2344-011da5840ec9,sample_text_4277,sample_text_3170,sample_text_7220,864,383,504,742,530,true,sample_text_7749,sample_text_3769,8326,false,sample_text_5682,2025-05-19T09:26:52.890Z
ee88bd0d-b065-4757-462b-24df5d098f7f,c8bf5171-97bd-4a3c-df89-c4059e1474e2,61ff8b44-ec55-4744-a821-bbd4a386fbc6,sample_text_2383,sample_text_4159,sample_text_1274,840,248,286,156,391,false,sample_text_9458,sample_text_2199,9737,true,sample_text_4214,2026-02-06T04:02:19.166Z
ad4b2e04-4d10-44fd-ad4d-c33f4e32313b,1c4d8e9f-05af-4567-fc15-60738335dd73,e436f865-ed9b-41b6-831e-7147834ddec5,sample_text_9539,sample_text_8099,sample_text_7548,252,213,291,579,112,true,sample_text_8030,sample_text_5714,4869,false,sample_text_5056,2025-10-15T07:56:04.971Z
be4cd9a9-b44c-47bb-5094-e01808657b3c,76fb7096-3d5c-4180-3013-e7a55c8b02bb,bbf61721-624a-40c8-0702-23f9e8709a85,sample_text_3921,sample_text_708,sample_text_9233,577,311,496,754,192,false,sample_text_1820,sample_text_1125,7176,true,sample_text_49,2025-09-17T11:54:41.243Z
e98aa501-c825-451b-9efa-b1154f9b8c18,291d99ad-c85c-4557-8915-25527607d5cf,0b3aa1df-4f5d-48e8-81f2-9a14c2b3fa32,sample_text_3407,sample_text_8960,sample_text_2870,361,637,482,655,260,true,sample_text_7747,sample_text_3371,3889,false,sample_text_1941,2025-12-21T03:35:57.225Z
72dc6f08-b192-416c-20e6-1b2270aff853,13905047-dc05-4f11-21d1-ceb2ff2a4ead,9ccf14b7-540c-4928-26c8-2f5151e33e69,sample_text_7403,sample_text_291,sample_text_543,393,497,21,797,568,true,sample_text_9646,sample_text_4056,4244,false,sample_text_7378,2025-05-28T03:04:13.564Z
a8754f35-7bcd-4586-4d8f-4506d98736ac,5eca5363-069f-462b-ef13-7dba299c99d9,cf77cac7-78c5-4ba4-9750-cae3ac7f4ebb,sample_text_8100,sample_text_6323,sample_text_2228,106,405,414,537,53,true,sample_text_56,sample_text_3174,7432,true,sample_text_6850,2025-12-06T19:40:02.024Z
06150c27-e517-4c49-6903-42b775cdc090,b1160aa4-615e-46be-c33f-53b664f1618f,ece3612b-96a5-4eb0-42e1-b902ccd46094,sample_text_7002,sample_text_675,sample_text_1015,125,860,632,427,404,false,sample_text_6256,sample_text_6831,5988,true,sample_text_7409,2026-02-28T20:43:22.031Z
924afa99-702b-474d-36b4-c52c463bffa7,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,6d8e8d00-4945-4336-dbe7-88155f0ece6a,sample_text_1855,sample_text_2009,sample_text_9613,703,305,184,687,545,true,sample_text_1853,sample_text_9241,2982,true,sample_text_4138,2026-03-10T03:14:07.294Z
e12efbdc-0d8d-446b-609f-14ddcd3a503a,921679af-a07e-442d-b254-00f81e5f665d,c2e96649-55e9-4d76-5926-1821c29d4ff7,sample_text_4417,sample_text_94,sample_text_3963,388,650,916,683,630,false,sample_text_9620,sample_text_6791,1797,true,sample_text_5839,2025-09-14T17:52:26.611Z
77fec624-e16a-4a74-8df0-220310c75de5,837a9baf-7fed-4fe4-630e-eeaf60164bcb,b06a3b07-5f87-4fbf-8b36-2377a4b7acff,sample_text_2455,sample_text_387,sample_text_6767,998,434,751,42,295,true,sample_text_3631,sample_text_9119,4398,false,sample_text_4523,2025-10-16T15:09:09.346Z
d56cd8aa-bf3a-4cde-87b0-23e6a332fd01,13f8f388-7de1-4383-f922-a0d8a397e76c,9adb0b27-e575-4f4e-f8ab-898729f842e8,sample_text_1153,sample_text_348,sample_text_7379,448,926,800,507,718,false,sample_text_7358,sample_text_9546,1363,true,sample_text_6188,2025-11-21T20:06:11.226Z
af7af25e-b1ed-4c3f-2382-a76c6d09d686,5eca5363-069f-462b-ef13-7dba299c99d9,4cd8c885-4ba9-4e27-08e1-ab9fedb3663b,sample_text_1572,sample_text_8177,sample_text_5519,824,662,433,606,667,true,sample_text_7741,sample_text_9884,8277,false,sample_text_7692,2025-07-10T08:43:07.318Z
60245217-4800-4bbe-f4c4-a1aafa719880,4fab3abf-dd8f-4d4b-ef39-52d4314418ca,dd0edfda-97da-44af-dcc6-a015de290cb1,sample_text_946,sample_text_9629,sample_text_4029,692,950,879,670,420,false,sample_text_3368,sample_text_6496,3659,true,sample_text_8026,2025-09-21T12:51:52.462Z
d086599c-2277-491a-9a75-18a5a1f6bcc9,1eca3985-996e-497f-4644-294968d742b8,b2c0e30b-96df-4141-1ed3-a2c5eeb06510,sample_text_8488,sample_text_6005,sample_text_1348,346,753,273,738,87,true,sample_text_8602,sample_text_9897,1054,false,sample_text_6162,2026-01-29T10:47:54.714Z
36c92924-db05-4b44-8152-e3f70fc60569,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,c7b54e76-c053-4d26-bb8a-ff8b7fc928c6,sample_text_8117,sample_text_4857,sample_text_6139,961,142,316,215,323,true,sample_text_2586,sample_text_726,632,false,sample_text_1886,2026-01-09T02:28:02.539Z
28bf2811-8829-4ab8-69d7-8713fdd11e82,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,c8288601-5bf6-4fe8-14c7-1ad29a32ae40,sample_text_6209,sample_text_8944,sample_text_7204,231,18,6,272,824,false,sample_text_9589,sample_text_8531,7226,false,sample_text_5895,2025-12-06T08:46:00.308Z
a5659d75-47ee-413e-6952-0dda5985fe39,3a19d003-2447-4c77-d435-69866c42a3e8,591117a8-f1fa-4736-bb0c-198b29aed35e,sample_text_1529,sample_text_2249,sample_text_7126,360,142,874,198,696,true,sample_text_7748,sample_text_1334,4869,false,sample_text_6243,2025-05-20T21:42:49.349Z
adc0781f-66fc-42d4-59c3-e240f022f1a2,615ffcad-04ca-4584-4505-45cbefd50d58,491676a2-5520-4e58-9b98-42a21492eb96,sample_text_7769,sample_text_6604,sample_text_3049,878,423,450,56,278,true,sample_text_2730,sample_text_7251,9462,false,sample_text_8279,2025-12-22T13:30:09.528Z
d922ff7b-1343-48d3-f013-f6aa2edb975a,3f4d6f7d-05f7-4310-de9f-ae93e46984db,fbe437ee-bcde-487d-2297-060fc30e8571,sample_text_7050,sample_text_5245,sample_text_1877,184,370,923,429,65,false,sample_text_9307,sample_text_4502,3473,false,sample_text_3334,2025-05-03T02:48:57.888Z
df4c442e-1ecb-40e8-5bd8-506b05f41dca,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,d92fa421-6e70-492a-54d4-20c41bef6792,sample_text_7037,sample_text_2056,sample_text_1925,287,69,950,520,90,false,sample_text_3174,sample_text_4202,1180,true,sample_text_4149,2026-03-19T09:16:52.410Z
a29aa562-9eca-401a-f3a3-39cca191084f,2d706e75-fd47-4d6b-cc14-10a1bf804d62,cbe45d4b-fa5a-4615-12bd-bf489b194a67,sample_text_3652,sample_text_2447,sample_text_2854,573,688,753,518,291,false,sample_text_3366,sample_text_6686,8490,false,sample_text_4383,2026-02-14T14:36:11.299Z
7b351df1-4a55-493a-b968-8fd6bc125616,16c0f045-ad9e-4d23-8922-374a2534b914,45b34e7e-e01e-4d37-11d8-67aa7a9dc252,sample_text_7799,sample_text_1655,sample_text_7346,629,492,17,681,95,false,sample_text_7976,sample_text_8636,6998,true,sample_text_2089,2025-09-14T16:59:09.138Z
cc419fdc-cf50-4835-ab17-53aac8bce834,c8bf5171-97bd-4a3c-df89-c4059e1474e2,8f74d762-a585-4afc-4039-77ae309c9b21,sample_text_1055,sample_text_8294,sample_text_5094,283,728,868,519,447,false,sample_text_3974,sample_text_7354,5490,true,sample_text_1546,2025-12-25T11:14:43.295Z
a479211c-5657-4f8a-0589-0f662aae7188,314cdd92-266e-488d-cf88-6e18f6db8ca6,47486196-e13d-466f-bb08-bf803718629d,sample_text_7678,sample_text_8091,sample_text_5261,362,190,274,442,661,true,sample_text_4839,sample_text_2485,7885,false,sample_text_1819,2025-12-12T05:02:32.571Z
9e4bde61-f401-4493-62c3-7dc4fef05878,fe4720c1-f369-4760-b122-6b324f08f3a3,e644432b-af6e-48d8-ecf8-fa3932835587,sample_text_8410,sample_text_330,sample_text_4336,424,762,3,131,611,false,sample_text_3597,sample_text_6576,5818,true,sample_text_2741,2026-04-12T00:55:27.474Z
3067fdbd-afbd-4dd0-83a0-6d9cd268a432,c8bf5171-97bd-4a3c-df89-c4059e1474e2,734c36f4-6ace-4eb9-1137-8f14d325ea99,sample_text_198,sample_text_759,sample_text_1862,809,966,737,689,929,true,sample_text_3567,sample_text_4405,4070,false,sample_text_1703,2026-01-15T17:19:58.050Z
8eb2a8ed-f49c-4967-4578-2c057a953d5a,8fcce2e7-79c7-439d-1c00-1a62a46a56f2,0a24a5e8-bfeb-4bd2-2b2b-56936010c068,sample_text_4477,sample_text_4194,sample_text_6913,502,954,922,176,342,true,sample_text_8639,sample_text_4392,5407,false,sample_text_9494,2025-05-19T06:34:19.494Z
5fa7f29e-2fec-4ce1-ce1a-08ee9b9e9b82,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,3512d2c3-a2f1-4804-9b1f-be44d7125796,sample_text_1606,sample_text_5069,sample_text_8679,160,61,274,542,193,true,sample_text_6035,sample_text_4086,5044,false,sample_text_2253,2025-12-05T04:39:15.035Z
97dc52c7-7ec8-4b22-a634-a97c29051060,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,d85d10f7-c601-4c18-0a01-2a0565969004,sample_text_6181,sample_text_6154,sample_text_1657,118,622,882,786,288,true,sample_text_334,sample_text_4602,1207,true,sample_text_2095,2025-12-14T17:51:29.156Z
fb6c76f5-6fee-443c-cb41-ee4189fd4d51,219980cb-3f77-4414-faeb-5f70b1472a36,231469b9-c24c-4983-50c7-d7361ee52087,sample_text_296,sample_text_7486,sample_text_659,911,887,666,786,529,true,sample_text_1500,sample_text_2850,1913,true,sample_text_2847,2026-03-22T07:11:45.724Z
34a3350c-8758-48b7-2626-e20d8abf82c1,2d706e75-fd47-4d6b-cc14-10a1bf804d62,5e1ad5fa-0c5a-4439-04dd-48e683ad5696,sample_text_6533,sample_text_3990,sample_text_2137,860,318,335,446,557,false,sample_text_9734,sample_text_4830,4878,true,sample_text_1343,2026-01-17T23:11:44.176Z
961b433c-2577-439f-ca87-5d58ae5eafa2,e394ca10-b5a0-45cc-8730-3524aff8641a,05b2e81f-a765-4c32-5df9-736b9dd05033,sample_text_7672,sample_text_1817,sample_text_21,88,864,135,462,703,false,sample_text_9659,sample_text_182,1482,false,sample_text_4329,2025-06-02T15:29:49.673Z
984999e9-c3a9-4799-4f17-eed800d4fee0,c0b731c7-72d6-4cbc-7d82-0603fe27478a,288da87e-b6d6-4d9c-6681-af6f624caf31,sample_text_4021,sample_text_5717,sample_text_4641,93,959,277,576,509,false,sample_text_4837,sample_text_6763,4823,true,sample_text_6145,2026-03-06T08:48:35.844Z
937a4c71-f121-46d2-c29e-b791a9310785,f902ac6e-7076-46f8-2ee0-d0970401682b,7eccc7aa-0310-42eb-987e-b436ddfe696e,sample_text_9873,sample_text_7891,sample_text_2440,245,449,300,328,617,true,sample_text_6862,sample_text_3493,9763,true,sample_text_2012,2025-04-28T13:32:42.361Z
9abf1f0d-d06a-4ac0-3cda-86c69b5f22c4,2bd4f3bc-df4b-49c7-997f-c11868da495a,24374f58-3b0c-4abe-057f-032ac1625ee7,sample_text_3857,sample_text_9044,sample_text_9121,272,737,427,846,223,true,sample_text_8715,sample_text_8961,9488,false,sample_text_3083,2025-10-12T00:00:38.958Z
5af5fae5-59f1-47d5-b1d6-2a8cf7082709,c41be56c-1b03-4f83-3798-7ff82c84c273,59c7b47a-d38b-43ad-26ee-c8dc14134009,sample_text_6023,sample_text_4288,sample_text_3026,922,861,233,354,89,true,sample_text_5213,sample_text_6273,7574,false,sample_text_36,2025-07-03T02:38:43.670Z
6da4defa-5212-4af0-ce76-b66822d4527f,b017f20d-2b75-45dd-64d2-722f145a78d0,733f5644-a2dd-4c81-2523-0c215a23b21f,sample_text_4955,sample_text_5374,sample_text_121,49,490,941,986,308,false,sample_text_5325,sample_text_7316,4245,true,sample_text_8247,2025-04-12T23:13:28.139Z
5566bfb4-f5bb-4d3c-7e90-3008eda9465f,343e4691-d779-4742-a9b6-c828fbb55b61,1ee4ec9d-9d7c-4d17-e484-f112d4e694f0,sample_text_3615,sample_text_9505,sample_text_5795,752,194,477,746,630,false,sample_text_7071,sample_text_5755,7014,true,sample_text_5928,2025-05-25T11:19:49.971Z
936ad073-2ed6-444b-1265-154845b9195a,10539e4e-19ad-49ff-5fb1-13c6a13a9cc0,dc2ef6d1-fcb0-491b-9538-4aeaea36da22,sample_text_796,sample_text_2495,sample_text_3415,1000,465,940,987,662,false,sample_text_8472,sample_text_9469,2497,true,sample_text_1413,2026-02-23T02:59:32.860Z
942fede3-3875-40c1-d80e-e4b71e00b951,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,3c8e215a-4e21-4fa9-3895-c261997d33f1,sample_text_767,sample_text_7870,sample_text_3882,157,624,5,347,663,false,sample_text_3411,sample_text_1956,9133,true,sample_text_6385,2026-03-30T22:48:15.884Z
f3f04082-4139-401b-9a9c-938c402954fa,343e4691-d779-4742-a9b6-c828fbb55b61,cfe989db-22be-47b8-dd1a-355c0cca8ca4,sample_text_500,sample_text_3166,sample_text_1027,964,287,389,458,683,false,sample_text_5827,sample_text_9520,5678,false,sample_text_7941,2025-10-10T11:20:57.287Z
0f6c93fe-5d47-4c99-65fd-f5d564e19172,af7db41b-a69f-4ae5-eb9c-f59fa17dcd26,b60e0671-ee92-46d3-1b39-379b3a44fbf1,sample_text_9431,sample_text_2266,sample_text_5287,189,296,548,745,329,false,sample_text_1575,sample_text_9701,8072,false,sample_text_2193,2025-06-11T23:10:38.670Z
8199b850-96d6-4585-89a0-b65483a1ab71,314cdd92-266e-488d-cf88-6e18f6db8ca6,fd884d48-869a-4c52-4341-513ca9d50f31,sample_text_1808,sample_text_3914,sample_text_3159,669,560,392,71,390,true,sample_text_859,sample_text_7254,5951,false,sample_text_5313,2025-08-05T03:16:49.189Z
6589c782-d7ea-406f-c924-5f99eed1e4ca,7006fd96-e3f8-4225-33e4-be34d610ffbb,6ccd935a-408a-4cc9-5b02-2eaffaa52215,sample_text_761,sample_text_5679,sample_text_5578,758,377,454,904,919,false,sample_text_5635,sample_text_1768,7915,true,sample_text_8477,2026-03-04T06:16:32.210Z
6c3d031e-1ed2-4933-2e4b-5eda010d34e9,2e858920-a13b-46d3-3f94-8050bb03f098,f4e755c1-aa06-4772-7717-8618a56a1a28,sample_text_2061,sample_text_4387,sample_text_3232,812,552,16,896,687,true,sample_text_3719,sample_text_1197,3772,true,sample_text_628,2026-02-04T10:39:30.360Z
