id,created_at,updated_at,name,slug,contact_email,is_active
b20e7ad5-1918-4cc9-bdee-64e7f0361567,2025-07-06T00:53:43.350Z,2025-07-22T18:17:38.346Z,Red Pepper Thai,sample_text_2801,masked_7o4kjl@example.com,false
3484facf-4af6-47ad-16c0-64da3a0a8481,2026-01-03T11:43:04.621Z,2025-04-30T02:11:58.320Z,Maple Street Diner,sample_text_6954,masked_b0qsa1@example.com,false
20030f37-ba62-449f-91f6-56c3e0c45256,2026-03-31T01:20:31.956Z,2026-02-03T19:00:37.924Z,City Kitchen,sample_text_4517,masked_ds9tu5@example.com,false
adff9f10-13ca-40c8-1b5d-5e0108765239,2026-02-02T20:07:48.829Z,2025-08-21T03:28:26.292Z,Blue Ocean Sushi,sample_text_9729,masked_ehye7r@example.com,true
f38f934b-49f5-4ff9-4dbc-ce0d646df838,2025-05-03T20:11:20.930Z,2025-09-18T11:43:12.446Z,City Kitchen,sample_text_6728,masked_epi09r@example.com,true
e5ead09e-316d-4ec3-042a-fbe97f5fc918,2025-07-08T07:38:23.312Z,2026-01-14T20:47:44.909Z,Oak & Vine,sample_text_1744,masked_0jbuv3@example.com,false
f35dd17a-0d47-4c37-bd5f-3ecfa6ee1d97,2026-02-21T05:18:15.129Z,2025-10-18T00:28:05.628Z,Blue Ocean Sushi,sample_text_6792,masked_awmdjb@example.com,true
ade5624f-3e22-4961-c5af-1d70cde80f3c,2025-10-07T22:34:13.088Z,2026-01-13T14:42:44.597Z,Sage & Thyme,sample_text_9582,masked_bcgsow@example.com,true
f328e4a9-483d-416b-74fd-ec6e6139c83f,2026-01-26T15:46:54.786Z,2025-10-24T01:56:39.547Z,Sage & Thyme,sample_text_1152,masked_14aubw@example.com,false
f8be7288-5294-4cd4-98d1-184c02347ce9,2025-09-15T12:09:59.507Z,2025-11-24T23:51:34.712Z,Blue Ocean Sushi,sample_text_9388,masked_y6dgef@example.com,false
435f4d1e-0e0e-4f41-617f-e42a8217dad4,2025-10-07T20:53:03.044Z,2025-09-07T09:32:22.663Z,The Rustic Fork,sample_text_8653,masked_x2pecn@example.com,true
42e606e3-c342-4277-22ec-a6940c357b55,2025-10-09T10:59:02.739Z,2026-01-10T03:13:13.763Z,Oak & Vine,sample_text_5439,masked_kl9aa9@example.com,false
74c994f4-bf38-4f5e-0f9a-50258ba5ed0d,2025-06-08T15:07:22.912Z,2025-11-26T00:43:14.238Z,The Rustic Fork,sample_text_3192,masked_n15gkc@example.com,true
e4f37af5-c0b7-41e1-ff3e-b85e987bce1d,2025-08-27T04:20:26.081Z,2025-09-01T06:31:57.272Z,Stone Oven Bakery,sample_text_5031,masked_0ojtj0@example.com,true
cc614544-1749-49b0-708d-3a56c0ef6821,2026-01-22T21:17:09.961Z,2025-07-19T06:03:42.736Z,Fresh & Co,sample_text_5275,masked_mg4jwl@example.com,false
efc1f7fc-ffd7-406e-f367-95e3f06f2a93,2025-05-10T19:15:44.606Z,2025-09-06T06:43:36.823Z,Fresh & Co,sample_text_3317,masked_4qqsiz@example.com,true
d27b7e75-faed-4af6-608c-9c2cd88174d7,2026-02-26T04:45:01.126Z,2025-09-04T05:51:48.927Z,City Kitchen,sample_text_1549,masked_4x4xnc@example.com,false
1f9fc601-6847-4ee5-865f-505804b1e5a7,2026-01-21T19:04:30.044Z,2025-11-16T04:21:43.732Z,Corner Deli,sample_text_9503,masked_t3ibc0@example.com,false
2a5e4b2a-6291-4aca-62cc-70cb42ca7c3e,2026-03-06T04:18:57.287Z,2025-09-10T15:57:25.927Z,Green Leaf Bistro,sample_text_7434,masked_ag1jsw@example.com,false
16cf05da-a883-4f32-d612-b4210987a9dd,2026-02-28T16:33:19.692Z,2026-02-01T16:26:19.673Z,The Brass Tap,sample_text_7105,masked_8dcr8w@example.com,false
a62cf3b1-dfe0-4655-ae01-91cde07a5006,2025-12-08T08:11:41.631Z,2025-12-17T17:54:55.476Z,Sage & Thyme,sample_text_4642,masked_4stch2@example.com,false
eeb6cbc4-c93c-4e81-6519-db5aba2ac562,2025-07-14T16:40:57.664Z,2026-01-05T00:00:00.591Z,Cloud Nine Cafe,sample_text_1038,masked_cjbkk5@example.com,true
3ae13e3e-26ac-4d02-382f-55b6b7b168a8,2025-10-23T01:00:04.198Z,2025-07-22T16:38:15.015Z,Blue Ocean Sushi,sample_text_2321,masked_1ppowg@example.com,true
51ffb38c-ed0c-4313-dad4-96ac1756bae5,2025-05-12T03:28:03.770Z,2025-09-10T22:52:51.596Z,Oak & Vine,sample_text_8704,masked_0lhpof@example.com,false
6ff4632c-eb46-4472-d939-dec6541a1e9c,2025-08-06T18:06:54.618Z,2025-04-24T17:15:43.461Z,Sage & Thyme,sample_text_3154,masked_1fgetd@example.com,false
a620f3b3-92b2-43d8-232b-b3ba84963f91,2025-10-10T03:58:52.174Z,2025-07-26T01:48:09.988Z,Firebird Pizza,sample_text_8940,masked_9b6plz@example.com,false
cb45fca7-a35b-490c-c3d1-02968b5f1e34,2026-02-04T22:20:54.683Z,2025-10-28T07:42:52.651Z,Harbor Grill,sample_text_2582,masked_2v7vcl@example.com,true
fdbfe40b-3e1e-40b5-3970-f730e4bd66aa,2025-11-26T18:07:17.117Z,2025-08-26T17:13:57.541Z,Corner Deli,sample_text_4940,masked_a9fc0v@example.com,true
d962a985-97c1-4121-01df-708a28fb2ac0,2026-01-18T10:39:15.779Z,2025-07-03T20:31:33.359Z,Golden Plate,sample_text_6673,masked_fka47u@example.com,true
cf6ecf6f-24e7-4b3e-1f25-19e78b45f151,2025-08-29T02:19:47.485Z,2025-04-14T11:41:42.321Z,Golden Plate,sample_text_4961,masked_kn3lcn@example.com,false
eb993436-057b-4c3c-0b86-87645b8dc653,2025-12-07T09:50:05.586Z,2025-09-08T23:40:06.642Z,Oak & Vine,sample_text_6359,masked_op9aio@example.com,false
b5b71873-db13-40e2-5de0-36c557927dcb,2025-07-20T03:16:01.707Z,2026-03-26T08:03:46.059Z,Green Leaf Bistro,sample_text_5512,masked_q9qqxb@example.com,false
804152e2-a6ea-43a0-6a37-310de14257a5,2025-09-30T23:49:33.425Z,2026-04-06T01:16:55.714Z,The Local Table,sample_text_2983,masked_4h3r3k@example.com,false
daed9c60-6117-4f4d-4c99-10d97d1f3e32,2025-10-21T04:55:05.397Z,2025-10-24T12:39:32.805Z,Luna Restaurant,sample_text_6024,masked_0pt0n9@example.com,false
c5f6c58a-c3c7-45f5-2a24-6a719c336c71,2025-11-28T09:42:09.654Z,2025-10-01T20:08:19.860Z,The Local Table,sample_text_907,masked_k7bwvk@example.com,true
43bc4d06-e5df-4456-a665-93bc819217eb,2025-04-30T10:54:42.848Z,2025-09-22T10:02:50.707Z,Stone Oven Bakery,sample_text_8979,masked_dw4rn0@example.com,false
3025333b-d4ea-46d9-3cd3-b190d58655e1,2025-08-29T13:49:21.070Z,2025-10-22T10:50:20.924Z,Mountain View Cafe,sample_text_1049,masked_6sfhnv@example.com,true
38b286e8-a2a8-48b7-5059-18b3cfe5d3dc,2025-12-23T18:14:58.041Z,2025-09-23T18:30:52.374Z,Sage & Thyme,sample_text_8541,masked_l04leq@example.com,true
937c0849-8e96-4876-a879-3fea4e12eabc,2026-02-02T09:04:14.209Z,2026-01-16T02:30:29.479Z,Corner Deli,sample_text_9325,masked_zb62z6@example.com,true
117e3f24-bb0b-4363-ec37-669c2aa3bb19,2025-10-17T01:10:21.900Z,2025-05-11T04:49:19.082Z,Oak & Vine,sample_text_4407,masked_4yqwjg@example.com,true
229087ac-0d83-4477-baeb-935bcac2efd0,2026-03-26T06:43:34.670Z,2025-11-26T04:36:15.733Z,Red Pepper Thai,sample_text_8985,masked_68hqjd@example.com,true
60df001c-552e-4448-81ed-1567b92dcac7,2025-05-11T03:53:35.841Z,2025-05-26T03:33:42.461Z,Stone Oven Bakery,sample_text_634,masked_epa1xy@example.com,true
140745f4-f6ec-406d-5432-4a62786ecc5d,2025-11-29T05:25:27.068Z,2025-06-18T16:37:28.139Z,Red Pepper Thai,sample_text_4441,masked_990u6y@example.com,false
63c95896-8b3c-4408-82d3-e398ced40e18,2025-08-26T02:44:40.206Z,2025-06-12T00:36:27.777Z,The Brass Tap,sample_text_6906,masked_vm6sha@example.com,true
12538371-413f-4e5c-4bfa-6c59b30cad65,2026-04-11T00:45:21.700Z,2025-11-19T11:02:53.084Z,Firebird Pizza,sample_text_8312,masked_1ntpzc@example.com,false
f94eacd2-e12e-4982-bf96-0317dad951c2,2026-03-05T20:49:41.884Z,2025-06-18T14:24:24.893Z,Green Leaf Bistro,sample_text_7246,masked_7c4pv1@example.com,false
d2c91460-74cd-4c12-7908-fcc34390d7b7,2025-10-24T15:26:44.660Z,2025-05-27T16:53:16.304Z,Golden Plate,sample_text_6820,masked_695lqc@example.com,false
3314ef1a-5341-45c3-971f-3e5c47145a1b,2025-09-11T09:29:07.830Z,2026-01-31T01:54:51.713Z,Golden Plate,sample_text_2668,masked_deptgg@example.com,false
b460019b-ef5a-4477-f834-66b86a7fe34f,2026-03-17T17:19:15.838Z,2025-11-26T13:31:15.768Z,Blue Ocean Sushi,sample_text_1296,masked_u74qtj@example.com,false
8c77f488-fc8d-451d-2d8b-ef9d25f82b31,2025-05-30T04:45:55.212Z,2025-10-20T00:31:26.593Z,Sage & Thyme,sample_text_1213,masked_di5v7y@example.com,false
06f7cb86-68b6-44ca-542c-569bb7d5ca61,2025-04-27T04:16:34.083Z,2025-08-22T06:22:53.777Z,Oak & Vine,sample_text_3726,masked_lip2tz@example.com,true
