id,intervention_id,school_id,student_id,planned_sessions_per_week,planned_minutes_per_session,planned_total_weeks,planned_total_sessions,planned_total_minutes,actual_sessions_completed,actual_sessions_partial,actual_sessions_cancelled,actual_sessions_no_show,actual_total_minutes,session_completion_rate,dosage_compliance_rate,attendance_rate,average_fidelity_score,fidelity_trend,weeks_elapsed,sessions_behind_schedule,minutes_behind_schedule,on_track,average_engagement_rate,dosage_status,inference_flags,first_session_date,last_session_date,next_session_date,computed_at,created_at,updated_at
34cce161-d251-4981-7f2d-c08fe8adb897,6e60c3c1-79e3-49f2-3701-c8f0fce81cb1,2bd4f3bc-df4b-49c7-997f-c11868da495a,40dc6875-50a3-4da6-8104-124ea7a529fb,211.23,404,138,650,189,946,791,663,569,681,72.99,39.68,14.64,481.9,stable,465,284,100,false,33.73,discontinued,sample_text_1703,2026-01-26T09:02:55.116Z,2025-11-27T20:25:13.931Z,2025-07-12T20:09:36.793Z,2025-06-04T12:27:28.053Z,2025-05-09T12:45:02.094Z,2025-06-19T16:02:26.286Z
8b489b40-3357-4b73-0b10-447e1abf1f2d,8f80124e-7fab-4583-99a9-6b1f15ac293c,837a9baf-7fed-4fe4-630e-eeaf60164bcb,230051a7-77f6-49c9-6d7a-c1c341da56c9,834.36,464,558,623,133,455,144,302,265,896,37.45,17.1,46.51,588.01,stable,873,43,48,true,74.81,behind,sample_text_1016,2025-11-22T19:19:49.087Z,2025-11-29T17:24:32.349Z,2026-03-01T00:03:45.770Z,2026-02-01T21:05:11.011Z,2025-07-12T07:35:41.098Z,2026-03-23T02:39:42.489Z
5f2e61ca-e141-436a-425b-188d9d9351d8,8e77bf83-cdbf-4e65-c0fd-b456dae5ca6e,4f68cba7-6170-4ab1-21f9-a7a23a74f8c0,31e6dcd8-7b5b-4c54-b419-66da1259c0d7,515.16,49,232,285,463,157,512,956,491,835,12.06,43.47,34.04,134.11,stable,489,734,639,false,89.14,completed,sample_text_6546,2026-03-17T17:38:58.859Z,2025-08-22T08:57:17.667Z,2026-03-03T00:55:44.092Z,2025-06-15T22:53:41.002Z,2025-08-26T18:26:38.068Z,2026-04-07T08:17:39.678Z
ddf01e19-48d1-4a7f-1926-4ae9a4e1cd6a,9bc1579d-9568-426b-e472-0da17f977ab5,661bcb95-f84e-4871-e1c4-675bf8171439,e66f5152-bb91-495c-70a1-919b8657aacd,481.92,914,762,741,320,654,492,362,317,767,33.25,74.15,55.7,836.78,improving,606,141,910,true,17.26,critical,sample_text_6674,2025-04-28T22:54:41.752Z,2025-09-20T06:40:12.617Z,2025-12-10T06:46:40.346Z,2026-02-07T21:08:47.391Z,2025-08-10T00:06:13.567Z,2025-12-04T07:03:43.780Z
756d9125-6e51-4d6d-3289-5a460b28d970,6e60c3c1-79e3-49f2-3701-c8f0fce81cb1,1612581f-ee93-42bd-8ca1-106ca3f5fb8d,74996144-2438-4454-03fb-d777b4c9db8b,492.08,71,148,504,437,290,893,275,388,268,57.76,50.28,66.92,784.47,declining,591,954,967,false,90.54,on_track,sample_text_4983,2026-01-03T16:42:21.001Z,2025-11-05T04:52:26.643Z,2025-12-17T08:53:04.074Z,2025-10-28T11:56:37.455Z,2026-02-22T03:40:35.194Z,2025-12-16T17:41:26.732Z
d30ebb11-5fcc-4031-a3d3-d0bcdadc734c,a27d74e2-2d9c-4728-84c3-cf4dbccaa5ee,24557b57-0c13-4c0c-a3e9-39903a1a94a3,43a0c009-5096-4beb-ceb2-2e90d29fa6d1,648.46,970,533,458,116,29,654,689,675,165,1.75,37.69,67.86,24.08,improving,171,815,504,false,64.83,behind,sample_text_722,2025-11-21T22:19:25.261Z,2025-05-18T16:27:03.705Z,2026-02-20T21:36:58.970Z,2025-12-06T11:25:35.283Z,2025-08-04T03:16:19.224Z,2025-10-12T23:32:04.987Z
7141da92-500a-4e12-c9d7-d9cc36e8bba8,f3245852-12e5-4379-8a66-102c2f3b17dc,521d1584-627e-495f-893e-82a12f5344be,ca649c96-10ee-4d76-dcea-e4beca9603df,141,773,749,206,682,255,185,384,934,487,10.53,5.56,0.88,806.23,stable,464,341,177,true,88.17,behind,sample_text_6087,2025-09-26T10:13:34.279Z,2025-06-25T02:46:01.453Z,2026-02-17T17:33:36.497Z,2026-02-28T18:22:14.042Z,2025-08-21T01:16:27.242Z,2025-10-27T05:52:46.640Z
8851b6f3-923f-4959-9426-ad3e12146599,3821dac3-4b74-4883-4b91-de100fbd6258,af7db41b-a69f-4ae5-eb9c-f59fa17dcd26,73e655b7-927f-4010-5d38-ed87d5958465,610.12,56,905,875,991,591,754,140,706,982,62.72,48.05,16.55,386.39,stable,550,206,904,false,56.19,on_track,sample_text_2009,2025-04-16T11:40:30.384Z,2026-02-14T20:47:57.893Z,2025-04-20T15:04:59.314Z,2025-05-07T09:07:42.005Z,2025-11-17T15:32:55.209Z,2025-06-10T20:19:00.960Z
3eb60bd6-7ca3-4887-aed7-34a401cc651c,e4e629c5-87d4-4ff9-a454-60a9e53957d8,7e8192d3-756a-4974-209e-dc1ea1cca26e,8a50d483-aa92-4384-4deb-3d5c6bf0f0f7,962.75,374,206,922,605,627,428,281,497,521,76.07,97.9,65.02,977.74,declining,112,241,595,true,99.22,discontinued,sample_text_380,2025-06-15T05:17:11.799Z,2025-12-22T16:22:24.337Z,2025-05-26T14:42:37.521Z,2025-09-13T02:23:34.119Z,2026-03-03T16:30:38.893Z,2025-05-19T20:51:08.280Z
c9805d07-72ea-4fee-148d-1dd207cd7ad1,04f767dc-1a7c-43e8-2019-c5577d3ae052,f56bd850-ae1d-4c12-1f67-ecd289df1620,7e33c19d-304d-44cf-6308-c84646b5b9b6,367.76,602,149,673,281,857,39,150,405,575,69.44,55.82,42.2,421.31,improving,786,36,110,true,54.56,on_track,sample_text_5127,2026-02-22T08:26:22.535Z,2025-07-18T18:28:58.477Z,2025-10-23T17:47:59.342Z,2026-01-01T09:15:43.564Z,2025-11-05T08:39:15.474Z,2025-10-17T04:50:38.648Z
6da98c81-1802-4897-eb34-34f5f64c7406,36a2bd98-8d6a-422c-04cc-be071c7128f3,13905047-dc05-4f11-21d1-ceb2ff2a4ead,40dc6875-50a3-4da6-8104-124ea7a529fb,733.82,933,249,841,370,237,245,519,533,900,50.72,51.97,28.43,205.09,improving,160,936,430,true,71.66,not_started,sample_text_9040,2025-12-09T08:03:23.672Z,2025-07-16T09:31:26.827Z,2025-09-26T16:12:59.050Z,2025-08-15T00:51:38.214Z,2025-08-10T11:15:13.568Z,2026-03-25T20:52:42.964Z
a88b0d04-6729-46c9-9712-e20a64d13f50,3821dac3-4b74-4883-4b91-de100fbd6258,2d706e75-fd47-4d6b-cc14-10a1bf804d62,f3bdc0f5-709a-4443-3bcd-690202dcd619,212.94,364,871,536,296,918,848,174,767,754,37.56,88.4,93.64,605.11,declining,145,576,456,false,66.09,behind,sample_text_4979,2025-06-08T19:31:57.448Z,2025-06-24T17:29:06.063Z,2025-04-29T15:28:17.193Z,2025-08-24T12:09:40.819Z,2025-10-21T08:17:21.641Z,2025-10-14T15:08:41.761Z
f058bb28-a8af-49d4-6dd8-90514ee8f8f4,0f853a45-92cb-4e08-bb3a-9f894364a97f,3f4d6f7d-05f7-4310-de9f-ae93e46984db,152072c0-f075-4a77-bebe-aaa40d5c36c5,215.26,685,784,415,830,33,179,961,731,179,54.73,22.85,49.85,36.74,improving,372,869,775,false,28.86,critical,sample_text_1177,2025-07-19T17:33:58.972Z,2025-08-26T05:53:43.104Z,2026-03-20T01:25:34.882Z,2025-12-26T15:55:52.826Z,2025-09-13T22:03:47.587Z,2025-04-28T00:16:01.384Z
55caeb00-cf29-4ccc-f357-dac357430f1b,e2e17755-5579-455b-5775-badd073cd6e2,291d99ad-c85c-4557-8915-25527607d5cf,8a50d483-aa92-4384-4deb-3d5c6bf0f0f7,78.43,695,785,329,336,365,205,586,307,519,63.31,82.86,57.11,440.07,stable,606,671,287,true,98.05,on_track,sample_text_4270,2025-07-03T06:35:43.775Z,2025-12-17T14:48:02.858Z,2026-03-18T22:32:20.201Z,2025-06-28T00:05:10.594Z,2025-08-05T17:52:07.471Z,2025-08-28T07:53:12.471Z
cbdce91a-71cf-45f7-bfdd-c626f58c4871,3e90a57e-4981-458b-1a9c-b59ffc169491,fe4720c1-f369-4760-b122-6b324f08f3a3,4459d0bc-ac12-45e0-2241-37b73184e150,586.96,96,484,284,361,402,347,683,344,437,33.42,57.2,21.16,886.03,declining,220,966,945,true,43.4,completed,sample_text_2883,2025-11-27T06:06:50.546Z,2025-10-17T08:15:27.708Z,2026-04-07T07:40:31.444Z,2025-05-17T22:53:29.539Z,2026-02-17T03:40:34.128Z,2025-04-17T23:58:20.604Z
a9b3dc31-2f1f-4387-2665-2c68c95c6eda,e2e17755-5579-455b-5775-badd073cd6e2,89bd14e2-cf78-45ab-904a-7a7f0f4a4010,31e6dcd8-7b5b-4c54-b419-66da1259c0d7,267.1,854,18,389,306,747,584,43,139,947,33,9.61,19.79,750.08,declining,885,510,37,false,17.31,not_started,sample_text_6755,2025-04-12T21:23:19.483Z,2025-09-27T01:25:50.091Z,2025-06-24T22:16:10.311Z,2025-07-05T11:30:51.846Z,2025-06-27T04:53:13.489Z,2026-02-22T08:34:33.682Z
221a54d4-6a52-47b6-c799-a85b4fb45c2e,ddaebb0c-208f-4c1d-99d6-3c94ad714d88,5eca5363-069f-462b-ef13-7dba299c99d9,2815d421-fa85-4846-4e67-32f2b052db68,153.39,683,140,584,402,312,581,740,553,26,4.88,59.82,9.46,19.37,improving,679,222,986,false,52.3,not_started,sample_text_4327,2025-07-21T08:30:06.878Z,2025-07-01T10:39:15.600Z,2025-07-10T10:08:59.553Z,2025-05-29T10:51:29.866Z,2025-09-14T18:31:44.886Z,2025-11-28T03:47:24.578Z
00687b7b-cb84-4d86-c009-9557d49ee1d0,e3365cd7-81d6-41a6-c786-86fd08bb2298,00e48b05-b6cb-410f-1525-6668c44bdb40,3f1eb67e-af2a-4430-00e8-036be32a0239,619.51,772,997,844,316,120,427,268,482,751,89.32,45.49,54.16,160.99,declining,174,601,459,true,28.57,behind,sample_text_1749,2025-04-15T08:36:36.287Z,2025-04-20T22:31:36.113Z,2026-01-03T10:45:39.450Z,2025-07-03T03:56:47.618Z,2026-01-05T03:20:27.247Z,2025-05-06T08:33:00.277Z
0ed20a08-418f-455e-1930-42910a60059f,5650edea-48a1-43b0-e4d1-f31c189db61d,f56bd850-ae1d-4c12-1f67-ecd289df1620,3e4e588f-bb13-48f9-ae27-231d699b174f,102.46,152,521,765,868,798,504,630,618,289,24.31,51.85,31.59,602.96,stable,194,667,457,false,49.01,on_track,sample_text_2842,2026-04-07T18:14:40.420Z,2025-07-05T09:38:05.307Z,2026-02-12T21:15:55.562Z,2025-09-27T19:46:36.655Z,2026-02-16T04:28:36.490Z,2026-03-14T17:44:43.653Z
01ec9153-a016-486e-6f4d-8aee27c8be01,04f767dc-1a7c-43e8-2019-c5577d3ae052,4c81bc97-321d-48c5-d316-8243b2e8187e,6fd51bd1-cbdc-4c3a-0686-e52d7fe6061c,386.19,322,5,216,464,482,388,861,954,569,12.58,6.01,8.13,76.43,improving,945,599,780,false,48.2,on_track,sample_text_5502,2025-08-02T06:27:15.917Z,2025-06-17T08:29:48.605Z,2025-05-23T10:28:16.117Z,2025-05-30T04:24:38.414Z,2025-11-22T04:45:11.769Z,2025-06-22T12:02:09.316Z
4010be69-c7b1-4197-c6d7-afed8f013bab,5650edea-48a1-43b0-e4d1-f31c189db61d,930d6afd-4225-4c87-6245-39cb7a7a0d26,12c936b7-76a2-4244-3342-f64b193771af,27.49,145,616,682,216,903,444,107,812,541,78.52,83.28,49.53,610.31,stable,914,799,875,true,19.88,not_started,sample_text_9060,2025-10-09T08:36:02.155Z,2026-02-04T16:29:36.080Z,2025-07-11T12:27:00.815Z,2025-05-30T23:36:43.805Z,2025-10-29T03:08:15.981Z,2025-10-17T10:48:54.141Z
31be5032-402a-4260-688e-c32547ebdc88,56ce6d7a-11a7-4010-eed8-0ac222e7299e,3d03d7a9-93e0-4b8e-6b5b-e7f8337fab48,440eba09-b8a9-4df2-7ce2-88916df0536d,709.04,139,742,344,74,387,474,841,901,502,27.29,22.32,23,960.48,declining,441,656,748,true,51.44,on_track,sample_text_9057,2026-04-09T23:34:45.521Z,2026-03-23T17:17:03.611Z,2025-05-08T14:58:07.567Z,2025-06-22T18:00:56.544Z,2025-05-08T14:21:28.623Z,2025-10-19T13:11:08.604Z
09c089ef-f14b-4277-9008-09b4e3f773bc,22a0a6d0-f90a-40bf-5c2c-2c0d989b6a0d,837a9baf-7fed-4fe4-630e-eeaf60164bcb,afb57115-93e2-41e4-19fb-726afc7dc847,450.26,252,573,355,875,457,422,122,839,642,89.74,74.68,95.47,832.97,declining,395,139,928,false,45.49,completed,sample_text_7670,2025-07-31T13:48:17.451Z,2025-11-06T00:55:12.691Z,2025-08-15T19:05:52.621Z,2025-08-07T19:20:21.006Z,2025-08-04T19:43:59.086Z,2025-11-18T18:57:12.881Z
90f80a42-74a8-4b64-ca7c-7e89abe9ae9d,53d17442-b477-40dd-7421-38a81cb807b4,e394ca10-b5a0-45cc-8730-3524aff8641a,40dc6875-50a3-4da6-8104-124ea7a529fb,991.33,870,910,822,173,598,771,401,232,785,24.5,71.07,91.25,773.56,stable,173,123,415,true,28.91,completed,sample_text_2194,2025-05-02T04:07:18.649Z,2025-10-11T13:15:50.435Z,2026-02-01T05:50:54.774Z,2025-12-06T04:11:06.621Z,2025-05-17T19:58:33.567Z,2025-09-13T01:42:31.960Z
05eec3c4-4069-49a7-9592-0bdb255c36d2,6e60c3c1-79e3-49f2-3701-c8f0fce81cb1,94dc4310-c140-4af7-8a5b-88c24ff5a5d3,72ea06ea-6647-4b34-faa9-4b6acc59b996,853.31,706,185,217,995,644,848,947,418,291,69.68,76.34,9.92,974.97,stable,992,537,804,false,20.32,discontinued,sample_text_4640,2025-07-12T20:51:11.948Z,2025-06-02T02:20:50.171Z,2025-04-13T20:48:01.698Z,2026-03-22T09:02:50.469Z,2026-02-25T05:34:13.791Z,2025-07-06T19:47:25.326Z
