id,created_at,updated_at,integration_id,name,category,base_monthly_cost,per_student_cost,per_sync_cost,per_record_cost,free_students_limit,free_syncs_limit,free_records_limit,starter_multiplier,pro_multiplier,enterprise_multiplier,is_active,metadata
97683751-b2c7-487c-8cfa-306e5a212a4f,2025-09-29T07:13:55.892Z,2025-09-11T11:33:53.837Z,clever,Google Classroom,assessment,842.42,454.75,522.84,398.89,598,343,100,508.27,529.57,296.29,true,sample_text_8154
bc32232b-c874-4575-c61d-d20bad71dc67,2025-09-17T13:22:41.988Z,2025-07-14T13:48:22.815Z,renaissance_star,iReady,sis,963.52,541.69,958.14,288.68,137,905,699,863.55,544.82,856.19,false,sample_text_8533
3773595b-77a7-408d-af3b-fea7c2518763,2025-11-13T01:27:49.405Z,2025-08-26T02:21:52.829Z,classlink,Clever,lms,258.35,927.61,579.79,576.73,668,60,388,427.24,369.88,535.68,false,sample_text_5224
0efd2eef-caa2-40ac-c75c-0a5e2958dcf7,2026-01-10T03:13:31.918Z,2026-03-09T20:21:18.390Z,clever,Renaissance STAR,assessment,704.77,692.88,233.83,912.94,736,139,269,92.86,125.91,832.36,true,sample_text_7878
ccf52454-781e-4ef2-84d5-cb103750424b,2025-04-13T04:52:33.329Z,2025-04-22T01:29:21.249Z,clever,iReady,assessment,450.32,734.59,174.21,190.75,214,92,848,454.59,653.7,625.77,true,sample_text_9400
204bbf07-0e28-47ff-8f2b-3af751f92a6e,2025-08-19T03:42:35.689Z,2026-02-03T04:41:40.236Z,powerschool,Renaissance STAR,sis,466.25,518.75,96.54,559.99,118,833,255,389.39,484.05,324.02,false,sample_text_1185
2a6a74d2-ee23-4878-1d8c-08ec53e2f99d,2025-04-13T21:35:38.494Z,2026-03-12T10:42:53.608Z,google_classroom,ClassLink,sis,51.37,290.06,453.93,70.68,568,6,63,580.13,767.73,502.45,false,sample_text_6140
2b39894c-9f2f-4a6e-36ba-f513ab6c0697,2026-02-28T20:04:40.468Z,2025-07-31T13:44:19.275Z,renaissance_star,NWEA MAP,lms,514.69,95.46,692.88,936.03,692,230,461,72.21,989.61,132.17,false,sample_text_3959
fc061138-f965-44f7-7450-40dc7f4099b8,2025-09-24T13:14:23.354Z,2026-04-01T07:05:30.029Z,google_classroom,NWEA MAP,sis,445.96,262.37,186.61,489.53,315,536,937,359.39,889.77,731.25,true,sample_text_3092
c5268296-88e9-479f-90d6-7046d98705b8,2025-07-20T02:36:19.146Z,2025-07-03T21:38:24.712Z,renaissance_star,NWEA MAP,assessment,272.23,614.67,772.39,345.52,482,862,738,793.48,388.02,195.91,false,sample_text_3928
0a88189d-ba2d-47e3-1b1c-8715c811e754,2025-11-15T08:59:18.481Z,2026-02-01T21:44:44.491Z,renaissance_star,Google Classroom,sis,320.08,108.42,400.15,688.05,413,508,177,369.39,773.11,694.35,true,sample_text_6398
16165b9c-43b0-413f-3266-19b95c857613,2025-06-21T21:37:46.739Z,2025-08-27T20:08:10.380Z,clever,ClassLink,assessment,762.15,888.77,921.15,859.67,118,969,964,646.4,850.93,155.56,true,sample_text_3617
2492cf23-1a8a-4fcb-f4ef-c81339d5b968,2025-05-22T08:33:17.556Z,2025-08-01T07:18:38.477Z,renaissance_star,ClassLink,sis,216.83,318.86,310.97,210.44,43,70,770,508.06,363.47,787.99,true,sample_text_6974
00954631-9379-42b6-5beb-475af92dfaec,2025-10-24T02:20:40.863Z,2026-01-31T02:31:29.334Z,renaissance_star,Google Classroom,sis,388.61,528.36,958.88,608.74,301,536,967,838.25,668.43,133.36,false,sample_text_4321
2c9135e1-d7ed-4afd-7366-9ccc0734b076,2026-02-21T14:37:03.477Z,2025-08-21T10:52:56.315Z,clever,iReady,sis,84.92,389.53,414.63,985.73,212,314,343,333.19,798.07,377.88,false,sample_text_6426
e1d1012d-c2e4-4dff-eef3-32f95effeb8f,2025-06-17T00:17:17.085Z,2025-05-31T19:27:35.603Z,canvas,Clever,assessment,806.87,34.02,581.91,787.57,882,413,110,866.47,168.14,808.87,true,sample_text_9505
a20c15ac-e869-439d-b167-f87060ba8b5a,2025-07-31T10:29:52.150Z,2025-05-06T15:07:34.913Z,google_classroom,Canvas LMS,assessment,671.73,755.94,902.27,322.81,395,885,800,755.65,188.75,511.78,false,sample_text_4665
67c04c7c-047a-40e6-6752-1eb740d1496f,2025-07-11T23:32:07.008Z,2025-08-27T12:03:19.247Z,google_classroom,iReady,sis,400.08,996.95,651.16,68.93,762,45,901,299.59,378.85,63.85,false,sample_text_4355
645f7eb1-a40a-4cf8-c6e2-c179324cb1bc,2025-12-30T00:10:34.347Z,2025-06-09T08:00:38.599Z,iready,PowerSchool,sis,312.09,140.21,767.9,721.7,123,94,781,923.56,232.76,509.91,true,sample_text_4392
daddf30d-8662-48b6-ddbd-7fa84f7be847,2026-03-31T01:55:52.330Z,2025-12-19T10:31:50.026Z,google_classroom,Clever,sis,974.55,826.8,283.06,755.27,461,161,69,664.2,262.87,976.61,true,sample_text_2004
4d422592-5da6-464c-b6b3-c0774c1b106c,2025-12-22T17:56:22.167Z,2026-03-14T19:47:58.875Z,canvas,Google Classroom,sis,93.43,926.28,722.78,543.4,265,596,984,996.81,352.83,658.48,false,sample_text_3372
c5d6fd3c-39f2-4d89-efef-ffb1a1fe3922,2026-02-13T00:43:05.803Z,2025-06-20T01:16:23.706Z,canvas,iReady,assessment,230.55,816.43,933.65,717.57,117,997,776,877,998.5,837.81,false,sample_text_9323
576fdb49-0ee6-4ece-00d2-67c6bf14cd7b,2025-06-07T10:50:38.654Z,2025-08-10T14:41:47.297Z,renaissance_star,Canvas LMS,lms,306.76,761.49,640.11,171.27,653,535,344,997.73,528.36,317.51,true,sample_text_4953
10ff7a09-e277-4244-7744-81f9cb05c6c0,2025-05-01T04:15:31.479Z,2025-04-26T18:23:52.232Z,renaissance_star,iReady,assessment,248.09,419.79,477.14,583.37,371,132,214,732.74,855.66,592.35,false,sample_text_8196
3c8a9d74-7ba3-49f3-21c9-57014296b1ea,2026-03-21T06:26:47.291Z,2025-12-16T23:27:41.247Z,nwea_map,Canvas LMS,sis,805.08,357.76,899.95,264.9,119,882,561,948.72,365.46,223.23,false,sample_text_7949
e3ff092d-76bd-4b92-72da-8918d69ff3c9,2025-11-11T06:24:26.127Z,2025-05-02T14:30:55.253Z,nwea_map,PowerSchool,sis,120.75,336.94,622.58,815.56,107,992,647,553.61,322.79,533.05,false,sample_text_441
e444921e-81e7-4f5e-d273-c65164817b66,2025-06-22T18:52:46.995Z,2026-03-31T05:22:51.633Z,google_classroom,Canvas LMS,assessment,598.65,805.22,961.07,249.06,517,724,998,163.38,314.21,290.69,true,sample_text_2673
5b854ec0-eb89-4d2d-0fc6-83dd0116c1c1,2025-11-18T03:11:42.515Z,2026-03-11T07:03:44.453Z,powerschool,ClassLink,assessment,553.93,709.7,192.42,870.43,353,100,85,532.89,182.69,924.86,false,sample_text_8850
4ebbb50d-2546-4844-2269-9ede73962023,2025-07-03T18:55:49.702Z,2025-09-10T20:20:35.250Z,nwea_map,iReady,lms,307.63,296.26,437.98,219.12,249,397,843,673.02,474.17,654.11,false,sample_text_556
b5e22f4e-d4d2-4980-04c9-6cfbb59f45c1,2026-01-16T18:50:33.308Z,2026-03-20T03:02:11.190Z,renaissance_star,iReady,lms,79.99,514.47,746.27,804.48,498,964,126,622.4,852.21,858.3,false,sample_text_6321
32b946db-b5f5-4ba0-c3cc-b4ec3e5fbfcb,2025-12-25T16:37:56.344Z,2025-08-23T15:21:16.057Z,nwea_map,Canvas LMS,sis,751.19,508.64,596.09,824.64,275,708,958,202.84,928.11,838.24,false,sample_text_839
115f5e2a-d4c1-44e5-d758-fe3ce7e912bf,2025-04-13T20:47:12.347Z,2025-04-15T06:46:46.992Z,nwea_map,PowerSchool,sis,535.65,766.05,542.73,74.15,493,170,353,63.13,580.03,899.83,true,sample_text_1718
38fbb4cd-ee36-4b8b-3f7a-5b9f4ee8c83f,2026-03-28T18:31:47.325Z,2025-07-30T04:46:43.872Z,iready,Google Classroom,assessment,455.86,202.37,316.5,322.81,538,654,494,30.89,375.99,930.75,false,sample_text_5999
529ceb64-754a-4f2c-2978-2309474f4e23,2025-09-29T09:35:04.364Z,2025-06-05T05:26:41.219Z,classlink,Renaissance STAR,assessment,763.81,8.37,923.52,676.51,819,741,496,27.08,260.26,145.24,false,sample_text_7777
8f2f5073-acc6-4501-1711-ad2afc090e14,2025-08-17T08:31:11.981Z,2026-03-10T05:41:54.384Z,google_classroom,iReady,assessment,916.29,882.77,502.53,617.78,917,73,980,625.53,219.06,579.94,true,sample_text_3006
0f3a0ace-c4f6-48ad-73c3-f5347ef46ae6,2026-01-04T23:22:06.355Z,2025-06-11T01:14:05.439Z,iready,Renaissance STAR,assessment,653.92,621.78,288.04,413.12,360,610,606,736.56,72.65,171.33,true,sample_text_7057
33237fec-a9ea-4371-6863-ecac060bda47,2025-05-20T15:52:05.166Z,2026-02-26T00:22:22.513Z,classlink,NWEA MAP,sis,894.94,561.16,434.73,506.17,465,746,901,37.32,764.66,944.49,true,sample_text_1048
ace5f66c-fd03-43c1-833e-af40c8f432de,2025-10-15T16:14:06.123Z,2025-04-17T22:03:32.803Z,nwea_map,Renaissance STAR,sis,680.85,351.3,174.08,732.52,345,579,109,246.28,84.53,172.24,false,sample_text_242
911ac9c5-30b5-4f2f-2f54-41c002c9a416,2026-03-28T08:44:35.535Z,2025-06-28T19:30:57.313Z,powerschool,ClassLink,sis,224.59,843.81,370.89,979.58,775,24,125,508.55,725.83,86.63,true,sample_text_4456
b0f94bf1-c0c5-4c9b-2b00-86815bdc0f3a,2025-06-11T18:20:37.852Z,2025-04-23T00:31:45.319Z,classlink,Clever,assessment,301.59,525.62,378.66,1.42,396,273,845,391.33,310.25,241.25,true,sample_text_37
09f7da6a-2583-46d5-9b03-e4347f64f2cf,2025-05-03T19:18:07.316Z,2026-03-24T06:24:04.881Z,nwea_map,PowerSchool,sis,537.18,651.84,731.08,807.54,469,293,499,896.15,845.27,3.27,false,sample_text_1548
9da77e29-6a41-40b7-e087-dfcc44fd4a22,2025-06-10T21:07:59.076Z,2026-01-19T07:07:35.536Z,renaissance_star,iReady,sis,396.34,683.23,15.84,843.23,192,12,132,96.99,175.76,240.94,false,sample_text_1513
